date,open,high,low,close,volume,Name
2013-02-25,70.5,71.34,70.44,70.44,11819590,WMT
2013-02-26,70.69,71.39,70.61,71.11,10558487,WMT
2013-02-27,70.92,71.955,70.58,71.66,8820257,WMT
2013-02-28,71.59,71.88,70.78,70.78,18874853,WMT
2013-03-01,70.78,71.9,70.78,71.74,8902516,WMT
2013-03-04,71.52,73.26,71.51,73.26,10567354,WMT
2013-03-05,73.47,74.04,72.99,73.72,9093856,WMT
2013-03-06,73.75,74.13,73.2515,73.38,7152681,WMT
2013-03-07,73.4899,73.61,73.2,73.32,6689031,WMT
2013-03-08,73.3,73.39,72.84,73.03,5744563,WMT
2013-03-11,73.09,73.24,72.81,72.98,5149550,WMT
2013-03-12,72.95,73.9,72.84,73.6,8156286,WMT
2013-03-13,73.89,74.2,73.54,73.65,5326032,WMT
2013-03-14,73.87,74.0,73.13,73.22,6353199,WMT
2013-03-15,73.01,73.5,72.435,72.5,17206161,WMT
2013-03-18,72.29,72.73,72.01,72.25,5771090,WMT
2013-03-19,72.42,72.87,72.19,72.45,5751083,WMT
2013-03-20,72.81,73.375,72.74,72.99,6309979,WMT
2013-03-21,72.87,73.47,72.85,73.13,5494804,WMT
2013-03-22,73.35,74.29,73.29,74.28,7246230,WMT
2013-03-25,74.14,75.11,74.12,74.85,10438663,WMT
2013-03-26,74.93,75.09,74.43,74.77,6642358,WMT
2013-03-27,74.31,74.965,74.24,74.78,5970553,WMT
2013-03-28,74.84,74.97,74.38,74.83,7341433,WMT
2013-04-01,75.0,75.93,74.9,75.43,8416097,WMT
2013-04-02,75.55,76.05,75.42,76.02,6642176,WMT
2013-04-03,76.31,76.68,75.72,76.0,7453922,WMT
2013-04-04,76.03,76.58,75.96,76.2,7508315,WMT
2013-04-05,75.55,76.41,75.4325,76.39,5861325,WMT
2013-04-08,76.1,77.445,75.83,77.29,8075057,WMT
2013-04-09,77.24,78.46,77.02,78.12,8652436,WMT
2013-04-10,78.28,78.38,77.37,77.37,8598933,WMT
2013-04-11,77.36,78.37,77.27,77.79,7127971,WMT
2013-04-12,77.63,78.85,77.58,78.56,6337965,WMT
2013-04-15,78.44,79.28,78.43,78.47,8549081,WMT
2013-04-16,78.23,78.86,78.0301,78.68,6854546,WMT
2013-04-17,78.53,79.07,78.11,78.51,7248636,WMT
2013-04-18,78.76,79.05,76.6101,77.16,14209056,WMT
2013-04-19,77.5,78.44,77.4,78.29,7827256,WMT
2013-04-22,78.29,78.44,77.5,77.97,5155003,WMT
2013-04-23,78.11,79.22,78.05,79.09,6654114,WMT
2013-04-24,79.23,79.5,77.92,78.03,8083545,WMT
2013-04-25,78.18,78.8275,77.881,78.65,5730230,WMT
2013-04-26,78.58,79.15,78.57,79.04,5923528,WMT
2013-04-29,79.08,79.25,78.15,78.39,6157808,WMT
2013-04-30,78.28,78.3,77.37,77.72,7961644,WMT
2013-05-01,77.85,78.66,77.69,78.06,6260681,WMT
2013-05-02,77.91,78.49,77.8,78.46,4515961,WMT
2013-05-03,78.92,79.34,78.9,79.25,5599388,WMT
2013-05-06,79.1,79.16,78.77,78.83,4807003,WMT
2013-05-07,79.1,79.143,78.77,78.83,6571101,WMT
2013-05-08,78.5599,78.66,77.78,78.25,8008719,WMT
2013-05-09,78.31,78.96,77.9,78.4,6516841,WMT
2013-05-10,78.47,78.91,78.28,78.89,5831224,WMT
2013-05-13,78.8,78.94,77.915,78.5,7714538,WMT
2013-05-14,77.98,78.86,77.67,78.78,10017969,WMT
2013-05-15,78.8,79.96,78.65,79.86,8000420,WMT
2013-05-16,78.1,78.86,77.34,78.5,12128798,WMT
2013-05-17,78.3,78.589,77.4,77.87,10671373,WMT
2013-05-20,77.88,77.9,77.355,77.4,5582600,WMT
2013-05-21,77.62,78.18,77.25,77.39,7484386,WMT
