date,open,high,low,close,volume,Name
2016-12-27,56.41,56.59,56.04,56.17,1545160,SYY
2016-12-28,56.17,56.33,55.59,55.73,1772796,SYY
2016-12-29,55.84,56.1,55.645,55.92,1687000,SYY
2016-12-30,55.92,56.06,55.205,55.37,2318516,SYY
2017-01-03,55.32,55.65,54.46,55.0,3876968,SYY
2017-01-04,54.72,55.33,54.72,55.17,2986699,SYY
2017-01-05,54.9,55.299,54.9,54.99,3629471,SYY
2017-01-06,54.86,55.66,54.77,55.38,4776599,SYY
2017-01-09,55.5,55.95,55.46,55.68,3933308,SYY
2017-01-10,55.56,55.65,55.15,55.33,2932844,SYY
2017-01-11,55.17,55.4,54.91,55.29,2866390,SYY
2017-01-12,55.12,55.29,54.67,54.9,2362648,SYY
2017-01-13,55.0,55.14,54.82,54.97,1794219,SYY
2017-01-17,54.65,55.12,54.59,54.88,2605511,SYY
2017-01-18,55.0,55.295,54.79,55.25,3412711,SYY
2017-01-19,55.34,55.35,53.51,53.62,6507815,SYY
2017-01-20,53.88,54.27,53.66,53.81,3789994,SYY
2017-01-23,53.8,53.8,53.35,53.52,2564481,SYY
2017-01-24,53.68,53.89,53.3,53.52,3681808,SYY
2017-01-25,53.59,53.87,53.01,53.05,2617971,SYY
2017-01-26,53.15,53.2,52.785,53.03,4063928,SYY
2017-01-27,53.17,53.24,52.66,52.7,3189047,SYY
2017-01-30,52.69,52.92,52.45,52.74,3992394,SYY
2017-01-31,52.73,52.965,52.41,52.46,4758170,SYY
2017-02-01,52.18,52.63,52.04,52.05,3448755,SYY
2017-02-02,52.47,52.6993,52.18,52.38,3898465,SYY
2017-02-03,52.59,52.86,52.21,52.54,4546646,SYY
2017-02-06,53.2,53.21,49.895,51.2,9488311,SYY
2017-02-07,52.2,53.02,51.83,52.23,7421343,SYY
2017-02-08,52.05,52.13,51.67,51.83,3457911,SYY
2017-02-09,51.75,52.26,51.75,52.25,3741782,SYY
2017-02-10,52.19,52.695,52.02,52.62,3475869,SYY
2017-02-13,52.62,52.945,52.54,52.81,5567075,SYY
2017-02-14,52.7,52.82,52.43,52.73,3867358,SYY
2017-02-15,52.61,52.86,52.22,52.75,4361148,SYY
2017-02-16,52.74,52.79,52.42,52.63,3569573,SYY
2017-02-17,52.37,52.61,52.035,52.35,3766874,SYY
2017-02-21,52.51,52.87,52.51,52.81,2977188,SYY
2017-02-22,52.6,52.79,52.53,52.75,2677372,SYY
2017-02-23,52.84,53.02,52.62,52.89,2233169,SYY
2017-02-24,52.86,53.39,52.83,53.2,2482177,SYY
2017-02-27,53.05,53.22,52.76,52.85,2091111,SYY
2017-02-28,52.76,52.98,52.625,52.72,3764065,SYY
2017-03-01,53.11,53.305,52.6,53.15,3935790,SYY
2017-03-02,52.88,53.17,52.69,52.78,2593507,SYY
2017-03-03,52.62,52.7,51.87,52.19,3480792,SYY
2017-03-06,51.87,52.21,51.78,52.16,3191105,SYY
2017-03-07,52.15,52.53,52.14,52.3,2367548,SYY
2017-03-08,52.12,52.55,52.1,52.33,2829209,SYY
2017-03-09,52.35,52.635,52.13,52.42,2839040,SYY
2017-03-10,52.73,52.8,52.09,52.16,2339020,SYY
2017-03-13,52.05,52.2,51.505,51.88,2934086,SYY
2017-03-14,51.87,51.9,51.42,51.87,2548510,SYY
2017-03-15,52.02,52.69,51.89,52.58,3069169,SYY
2017-03-16,52.43,52.56,52.09,52.31,2495935,SYY
2017-03-17,52.45,53.025,52.135,52.74,8964737,SYY
2017-03-20,52.69,52.84,51.97,52.12,3730365,SYY
2017-03-21,52.05,52.24,51.76,51.8,2914516,SYY
2017-03-22,51.84,52.56,51.6699,52.53,2363873,SYY
2017-03-23,52.43,53.01,52.23,52.65,2928855,SYY
2017-03-24,52.65,52.93,52.42,52.81,2941903,SYY
