date,open,high,low,close,volume,Name
2013-02-26,210.42,214.45,210.42,213.09,602746,EQIX
2013-02-27,213.26,214.71,212.26,212.67,717554,EQIX
2013-02-28,212.5,214.68,210.25,211.55,616393,EQIX
2013-03-01,210.17,213.13,207.81,212.94,750511,EQIX
2013-03-04,210.9,213.6,209.49,213.05,764559,EQIX
2013-03-05,213.31,218.49,213.29,217.4,796709,EQIX
2013-03-06,217.29,218.22,216.38,217.57,528474,EQIX
2013-03-07,218.0,218.5,213.85,216.07,492967,EQIX
2013-03-08,216.62,217.58,215.32,217.08,620105,EQIX
2013-03-11,217.45,218.86,216.37,217.43,241149,EQIX
2013-03-12,216.33,217.58,214.032,215.86,737074,EQIX
2013-03-13,215.76,215.99,212.7,215.31,406259,EQIX
2013-03-14,216.36,216.36,213.01,215.05,485977,EQIX
2013-03-15,214.77,215.54,209.58,210.17,1527118,EQIX
2013-03-18,208.17,208.74,205.7,206.31,596300,EQIX
2013-03-19,207.34,208.405,205.12,206.97,585618,EQIX
2013-03-20,209.02,211.86,207.12,210.866,557668,EQIX
2013-03-21,209.78,214.5,208.585,210.8,476518,EQIX
2013-03-22,211.88,212.1,210.53,211.74,455067,EQIX
2013-03-25,211.85,212.638,209.44,210.04,442947,EQIX
2013-03-26,211.39,212.37,208.85,211.92,357917,EQIX
2013-03-27,211.24,213.78,209.6,213.51,358379,EQIX
2013-03-28,212.75,216.5,210.4,216.31,462208,EQIX
2013-04-01,217.0,217.9999,213.67,214.93,560974,EQIX
2013-04-02,215.24,216.58,211.474,212.99,524851,EQIX
2013-04-03,212.82,213.56,208.12,208.34,559225,EQIX
2013-04-04,208.3,211.09,207.06,210.73,496478,EQIX
2013-04-05,207.22,216.45,205.0,214.03,755452,EQIX
2013-04-08,213.51,214.88,212.05,214.8,314543,EQIX
2013-04-09,214.92,215.24,210.51,211.2,657926,EQIX
2013-04-10,212.33,219.419,211.07,219.02,1031706,EQIX
2013-04-11,217.15,222.71,216.0406,221.69,1420308,EQIX
2013-04-12,221.53,222.44,217.18,217.49,466159,EQIX
2013-04-15,216.58,216.58,208.355,209.63,855793,EQIX
2013-04-16,210.66,217.67,210.205,214.85,1088065,EQIX
2013-04-17,212.22,214.49,211.08,212.78,544981,EQIX
2013-04-18,213.48,213.48,208.201,209.16,713181,EQIX
2013-04-19,209.08,212.05,207.75,210.15,582741,EQIX
2013-04-22,214.15,215.0,208.5,213.64,942198,EQIX
2013-04-23,214.11,219.94,214.11,219.41,845987,EQIX
2013-04-24,218.73,220.0,215.86,216.38,1492815,EQIX
2013-04-25,209.71,221.0,209.5,213.51,2498484,EQIX
2013-04-26,213.43,213.84,208.5,211.49,1040828,EQIX
2013-04-29,213.24,214.87,210.33,210.97,704961,EQIX
2013-04-30,211.88,214.42,210.91,214.1,1002884,EQIX
2013-05-01,214.75,217.59,212.15,216.05,994428,EQIX
2013-05-02,216.05,217.17,214.691,214.89,546735,EQIX
2013-05-03,217.1,217.673,214.08,214.5,615009,EQIX
2013-05-06,214.3,216.16,213.36,215.06,353023,EQIX
2013-05-07,214.0,217.6,213.89,217.6,1095866,EQIX
2013-05-08,217.8,226.53,217.35,224.92,1129927,EQIX
2013-05-09,221.37,222.95,217.06,221.87,1399508,EQIX
2013-05-10,222.0,224.23,221.41,223.73,459156,EQIX
2013-05-13,223.4,226.26,222.514,225.95,492984,EQIX
2013-05-14,225.9,230.0,225.49,229.02,621264,EQIX
2013-05-15,228.77,231.56,228.5,229.67,515644,EQIX
2013-05-16,229.54,230.69,226.749,227.93,845978,EQIX
2013-05-17,229.5,229.5,226.5,227.3,669489,EQIX
2013-05-20,226.29,227.93,223.01,223.88,503468,EQIX
2013-05-21,224.41,225.825,222.18,224.2,603869,EQIX
2013-05-22,224.38,225.21,217.36,218.21,601852,EQIX
