date,open,high,low,close,volume,Name
2017-04-25,121.13,121.7,120.92,121.32,1763313,TRV
2017-04-26,121.46,122.99,121.4,122.01,2433209,TRV
2017-04-27,122.11,122.44,121.62,122.16,1658222,TRV
2017-04-28,122.17,122.36,121.51,121.66,1290210,TRV
2017-05-01,121.79,121.79,121.15,121.18,1660802,TRV
2017-05-02,121.0,121.375,120.1101,120.36,1162987,TRV
2017-05-03,120.1,121.11,120.1,120.81,841464,TRV
2017-05-04,121.42,121.65,120.27,120.81,1035978,TRV
2017-05-05,121.02,121.32,120.6,121.3,1286323,TRV
2017-05-08,121.3,121.55,120.77,121.01,1390461,TRV
2017-05-09,120.93,121.16,119.8,119.95,1467555,TRV
2017-05-10,119.63,120.98,119.63,120.69,1448825,TRV
2017-05-11,120.16,120.7399,119.69,120.54,1370787,TRV
2017-05-12,120.15,120.98,120.021,120.59,1127477,TRV
2017-05-15,120.57,121.36,120.16,120.25,1174617,TRV
2017-05-16,120.27,120.67,119.76,119.93,1168694,TRV
2017-05-17,119.38,120.57,119.066,120.25,1399381,TRV
2017-05-18,120.13,121.87,119.75,120.88,2123477,TRV
2017-05-19,120.85,121.2,120.0,120.79,1573690,TRV
2017-05-22,120.83,122.13,120.68,121.65,1272565,TRV
2017-05-23,121.56,122.12,121.4,121.66,1128622,TRV
2017-05-24,121.77,122.166,121.57,122.05,1116659,TRV
2017-05-25,122.59,123.94,122.38,123.72,1849307,TRV
2017-05-26,123.59,123.92,123.34,123.66,925556,TRV
2017-05-30,123.36,124.23,123.16,123.73,1139156,TRV
2017-05-31,123.87,124.96,123.535,124.85,2124394,TRV
2017-06-01,124.97,125.45,124.45,125.4,1429154,TRV
2017-06-02,125.33,125.8,124.99,125.15,1210828,TRV
2017-06-05,125.0,125.74,124.925,125.38,1052393,TRV
2017-06-06,125.19,125.45,124.02,124.03,1277672,TRV
2017-06-07,123.87,124.11,123.24,123.5,1138891,TRV
2017-06-08,123.42,124.52,123.19,123.78,1826505,TRV
2017-06-09,123.86,125.25,123.78,125.23,1038530,TRV
2017-06-12,125.21,125.8,124.78,125.67,1534069,TRV
2017-06-13,125.57,126.1,125.32,126.1,1297601,TRV
2017-06-14,126.4,128.17,126.06,127.96,1573501,TRV
2017-06-15,127.94,129.285,127.83,129.02,1820623,TRV
2017-06-16,129.48,129.6,128.25,129.44,2471303,TRV
2017-06-19,129.4,129.49,128.02,128.27,1405926,TRV
2017-06-20,128.35,129.1529,128.3,128.75,1163701,TRV
2017-06-21,128.75,129.1,128.39,128.58,1115255,TRV
2017-06-22,128.17,128.71,128.15,128.31,1117052,TRV
2017-06-23,128.0,128.64,127.17,127.66,1899307,TRV
2017-06-26,127.6,128.17,127.29,127.95,1004866,TRV
2017-06-27,128.38,128.38,127.33,127.38,1027598,TRV
2017-06-28,127.73,128.43,127.39,127.78,1324710,TRV
2017-06-29,128.22,128.23,125.96,126.39,1909062,TRV
2017-06-30,126.52,126.92,125.8,126.53,1186460,TRV
2017-07-03,126.98,128.24,126.69,127.34,932749,TRV
2017-07-05,127.47,127.47,126.13,126.37,1402623,TRV
2017-07-06,126.51,127.05,126.0,126.18,1014593,TRV
2017-07-07,126.79,127.28,126.01,127.17,987142,TRV
2017-07-10,126.57,126.98,125.77,125.77,1518082,TRV
2017-07-11,125.96,126.02,124.35,125.05,937740,TRV
2017-07-12,125.61,125.9,124.98,125.25,1034520,TRV
2017-07-13,125.25,125.675,124.7648,125.43,886707,TRV
2017-07-14,125.25,125.97,124.62,125.72,1382377,TRV
2017-07-17,126.04,126.28,125.45,126.23,937396,TRV
2017-07-18,126.05,126.09,125.07,125.53,1407679,TRV
2017-07-19,125.97,126.58,124.59,126.46,1324127,TRV
2017-07-20,123.28,125.41,122.89,124.57,2219351,TRV
