date,open,high,low,close,volume,Name
2015-03-09,103.94,105.42,103.82,105.26,4868861,DIS
2015-03-10,104.27,104.35,103.09,103.09,6472601,DIS
2015-03-11,103.51,103.9999,102.865,102.89,4831861,DIS
2015-03-12,103.85,107.33,103.81,107.17,10730363,DIS
2015-03-13,107.28,107.28,105.52,106.44,8024216,DIS
2015-03-16,106.84,107.73,106.05,107.37,6407258,DIS
2015-03-17,107.0,107.21,106.15,106.96,4490192,DIS
2015-03-18,106.9,108.42,105.73,107.97,5520550,DIS
2015-03-19,107.84,108.48,107.14,107.37,4885562,DIS
2015-03-20,107.83,108.94,107.5,108.43,8710075,DIS
2015-03-23,108.6,108.85,108.04,108.22,5667034,DIS
2015-03-24,107.72,108.05,107.08,107.11,4493538,DIS
2015-03-25,107.45,107.4599,105.0,105.0,6964726,DIS
2015-03-26,104.47,105.82,104.1,105.24,5915844,DIS
2015-03-27,105.2,106.45,104.88,105.48,5330425,DIS
2015-03-30,106.06,106.945,106.05,106.12,3831883,DIS
2015-03-31,105.6,106.32,104.89,104.89,5701609,DIS
2015-04-01,105.43,106.0,104.25,105.44,6117195,DIS
2015-04-02,105.49,106.24,104.863,106.0,3651641,DIS
2015-04-06,105.31,106.57,105.04,105.63,4154218,DIS
2015-04-07,105.8,106.41,105.4,105.43,4694555,DIS
2015-04-08,105.23,106.69,105.16,106.36,4277383,DIS
2015-04-09,106.51,107.0,105.88,106.77,3924416,DIS
2015-04-10,106.73,107.1,106.41,106.95,3251487,DIS
2015-04-13,107.07,107.9,106.47,106.51,4201467,DIS
2015-04-14,106.41,107.3,106.11,106.66,5389283,DIS
2015-04-15,106.92,107.43,106.86,106.98,4307798,DIS
2015-04-16,107.15,108.3,106.9,108.1,6379102,DIS
2015-04-17,107.8,107.8,106.04,106.69,9663490,DIS
2015-04-20,107.83,108.5,107.32,108.22,8094174,DIS
2015-04-21,108.93,108.99,107.58,107.68,4579838,DIS
2015-04-22,108.02,108.25,106.97,107.94,4060485,DIS
2015-04-23,107.96,109.9,107.61,109.0,5983755,DIS
2015-04-24,109.53,110.48,109.19,109.53,6355616,DIS
2015-04-27,111.5,111.66,110.07,110.16,8479080,DIS
2015-04-28,110.75,111.1499,108.89,109.92,7324498,DIS
2015-04-29,109.66,110.38,109.26,109.81,6024741,DIS
2015-04-30,109.68,110.19,107.68,108.72,7770301,DIS
2015-05-01,109.95,110.67,109.27,110.52,6205116,DIS
2015-05-04,111.48,111.53,110.5,111.03,7566209,DIS
2015-05-05,113.27,113.3,110.56,110.81,14619307,DIS
2015-05-06,111.56,111.96,109.22,109.72,8975283,DIS
2015-05-07,109.6,109.78,108.715,109.26,8291198,DIS
2015-05-08,110.26,110.7,109.57,110.11,6260611,DIS
2015-05-11,110.14,110.14,108.49,108.6,6728542,DIS
2015-05-12,108.28,109.66,107.67,109.24,6345037,DIS
2015-05-13,109.7,109.87,108.78,109.19,4141357,DIS
2015-05-14,109.69,110.0,109.01,109.93,4662043,DIS
2015-05-15,110.1,110.69,109.68,110.3,5852173,DIS
2015-05-18,110.47,110.74,110.01,110.33,4868918,DIS
2015-05-19,110.69,110.9899,110.4705,110.56,4549640,DIS
2015-05-20,110.78,110.81,110.02,110.2,4393474,DIS
2015-05-21,110.04,110.64,109.9,110.39,4880577,DIS
2015-05-22,110.3,110.9,110.1203,110.26,4267697,DIS
2015-05-26,110.17,110.85,108.76,109.44,5970756,DIS
2015-05-27,109.51,110.61,109.3,110.37,3984196,DIS
2015-05-28,110.11,110.54,109.6,110.53,3391980,DIS
2015-05-29,110.33,110.52,109.41,110.37,5264878,DIS
2015-06-01,111.48,111.77,110.55,110.96,6778890,DIS
2015-06-02,110.92,111.25,110.02,110.75,4425947,DIS
2015-06-03,111.28,111.82,110.5,111.17,4510344,DIS
