date,open,high,low,close,volume,Name
2014-01-23,134.58,134.73,133.11,133.46,722232,CHTR
2014-01-24,132.41,133.56,130.58,131.42,1316735,CHTR
2014-01-27,131.31,140.74,131.31,136.92,4420024,CHTR
2014-01-28,137.85,139.464,136.34,136.65,1203857,CHTR
2014-01-29,135.87,138.95,135.27,138.24,3020205,CHTR
2014-01-30,138.46,139.78,137.43,138.77,1300998,CHTR
2014-01-31,137.1,138.72,136.84,137.0,1354997,CHTR
2014-02-03,137.73,140.24,135.02,136.12,1477237,CHTR
2014-02-04,136.85,139.32,136.15,138.86,1860126,CHTR
2014-02-05,138.75,138.8,136.95,137.35,802661,CHTR
2014-02-06,138.2,138.69,136.41,136.5,1443187,CHTR
2014-02-07,137.13,138.55,136.82,137.5,2632754,CHTR
2014-02-10,137.96,138.23,137.28,137.62,1699347,CHTR
2014-02-11,137.51,139.45,137.01,137.9,1814763,CHTR
2014-02-12,138.3,139.13,137.14,137.57,1664896,CHTR
2014-02-13,124.94,130.0,124.76,128.91,9910588,CHTR
2014-02-14,128.71,129.41,126.75,129.35,2925294,CHTR
2014-02-18,128.34,133.01,128.34,131.5,1617244,CHTR
2014-02-19,131.13,131.99,129.0,130.44,2774724,CHTR
2014-02-20,130.85,133.18,130.58,131.84,1592501,CHTR
2014-02-21,132.02,132.02,124.0,125.08,5432288,CHTR
2014-02-24,125.0,127.0563,122.5,123.58,3138204,CHTR
2014-02-25,123.37,123.96,120.5,121.34,2935322,CHTR
2014-02-26,121.76,122.37,120.86,121.25,2090746,CHTR
2014-02-27,121.79,124.44,121.5,124.14,1335632,CHTR
2014-02-28,124.07,127.09,124.02,126.77,2532853,CHTR
2014-03-03,125.4,125.69,122.3,125.69,1535417,CHTR
2014-03-04,126.19,128.33,125.55,128.22,1912970,CHTR
2014-03-05,128.4,129.61,126.86,127.41,1858802,CHTR
2014-03-06,127.1,128.08,125.81,126.64,1580307,CHTR
2014-03-07,128.66,128.99,125.47,127.0,1838556,CHTR
2014-03-10,128.27,129.75,126.18,128.54,1100866,CHTR
2014-03-11,128.2,129.15,127.36,127.74,1181683,CHTR
2014-03-12,127.22,128.82,126.0,127.27,911987,CHTR
2014-03-13,127.4,127.4,125.05,125.72,687442,CHTR
2014-03-14,126.5,127.68,125.97,127.0,919249,CHTR
2014-03-17,127.8,128.26,126.0,126.49,713944,CHTR
2014-03-18,126.66,128.05,125.8,125.99,831186,CHTR
2014-03-19,125.6,126.57,124.87,126.47,748202,CHTR
2014-03-20,126.02,127.33,125.51,126.7,1068603,CHTR
2014-03-21,127.42,127.965,126.32,127.25,1472248,CHTR
2014-03-24,127.38,127.525,124.79,125.75,1155546,CHTR
2014-03-25,126.17,126.72,123.79,124.12,722019,CHTR
2014-03-26,124.55,125.92,122.98,123.11,1389373,CHTR
2014-03-27,122.67,124.41,120.75,121.26,1585765,CHTR
2014-03-28,123.21,124.51,122.27,122.41,1299822,CHTR
2014-03-31,123.38,125.08,121.65,123.2,821667,CHTR
2014-04-01,123.71,125.86,123.39,125.64,867947,CHTR
2014-04-02,128.1,128.1,125.47,126.5,549153,CHTR
2014-04-03,126.4,127.15,124.23,124.9,980645,CHTR
2014-04-04,125.86,125.86,122.45,122.72,895155,CHTR
2014-04-07,123.24,123.91,118.385,118.94,1645575,CHTR
2014-04-08,119.01,121.53,117.2,121.15,1296782,CHTR
2014-04-09,121.95,124.15,121.36,124.04,998523,CHTR
2014-04-10,123.48,125.0,120.82,121.99,864474,CHTR
2014-04-11,120.66,121.87,118.33,118.46,1203303,CHTR
2014-04-14,119.47,120.779,118.21,119.41,1002442,CHTR
2014-04-15,119.65,120.14,116.78,118.07,812696,CHTR
2014-04-16,118.86,119.71,117.49,118.11,1249764,CHTR
2014-04-17,117.1,118.43,116.9,117.83,1726574,CHTR
2014-04-21,120.61,125.07,120.41,123.61,1307475,CHTR
