date,open,high,low,close,volume,Name
2016-10-21,156.5,156.5,154.76,156.18,439910,WAT
2016-10-24,157.07,158.66,156.74,157.75,649659,WAT
2016-10-25,147.32,147.32,138.41,138.6,3184613,WAT
2016-10-26,137.8,139.62,136.61,137.42,1428380,WAT
2016-10-27,138.39,142.0,138.39,140.8,987828,WAT
2016-10-28,140.5,141.38,138.705,139.81,706651,WAT
2016-10-31,139.03,140.36,138.73,139.14,599045,WAT
2016-11-01,139.15,139.51,136.39,137.43,781796,WAT
2016-11-02,137.56,137.92,136.38,136.42,462576,WAT
2016-11-03,136.79,137.46,136.01,136.79,631701,WAT
2016-11-04,137.16,139.86,137.16,138.04,603112,WAT
2016-11-07,139.81,140.94,139.62,140.29,581997,WAT
2016-11-08,139.97,141.76,139.11,141.15,447405,WAT
2016-11-09,143.5,144.63,140.565,142.38,742856,WAT
2016-11-10,144.9,145.27,141.97,143.32,574232,WAT
2016-11-11,142.39,143.35,141.225,142.09,376078,WAT
2016-11-14,142.74,143.75,139.66,140.18,812623,WAT
2016-11-15,139.82,142.08,139.03,141.47,588133,WAT
2016-11-16,141.64,143.58,140.32,140.7,445961,WAT
2016-11-17,140.25,141.51,137.22,138.85,1004524,WAT
2016-11-18,139.02,139.02,135.1,135.18,1048431,WAT
2016-11-21,135.98,137.69,135.29,137.65,782122,WAT
2016-11-22,136.96,137.87,134.82,135.3,824136,WAT
2016-11-23,134.86,138.51,133.9,138.35,607153,WAT
2016-11-25,138.37,139.04,138.0,138.72,144346,WAT
2016-11-28,138.62,138.71,136.12,136.56,506046,WAT
2016-11-29,136.81,139.28,136.59,137.63,577103,WAT
2016-11-30,137.8,138.06,134.55,134.57,758388,WAT
2016-12-01,134.44,135.1,133.59,133.71,553493,WAT
2016-12-02,133.64,135.43,133.35,134.73,445768,WAT
2016-12-05,135.89,136.72,134.77,134.83,510177,WAT
2016-12-06,135.38,139.59,134.56,138.88,790560,WAT
2016-12-07,137.85,138.11,134.08,136.67,954743,WAT
2016-12-08,136.24,138.13,135.01,138.07,462222,WAT
2016-12-09,138.34,140.28,137.915,139.51,362144,WAT
2016-12-12,138.61,141.93,138.61,139.44,710227,WAT
2016-12-13,139.87,140.6989,138.6,139.59,583149,WAT
2016-12-14,139.25,140.39,138.12,138.4,411813,WAT
2016-12-15,138.26,138.87,137.32,137.5,787671,WAT
2016-12-16,138.18,139.9036,136.7,137.08,1057325,WAT
2016-12-19,136.7,138.3075,135.61,136.13,495916,WAT
2016-12-20,135.98,137.65,135.94,136.33,403425,WAT
2016-12-21,136.78,136.78,135.11,135.64,402059,WAT
2016-12-22,135.37,136.48,134.695,135.72,313812,WAT
2016-12-23,136.22,136.5822,135.08,136.21,287608,WAT
2016-12-27,136.61,137.64,136.0,136.51,237970,WAT
2016-12-28,136.75,136.81,134.37,134.66,310265,WAT
2016-12-29,134.36,134.98,133.86,134.5,350358,WAT
2016-12-30,135.24,135.3,133.71,134.39,464274,WAT
2017-01-03,135.05,136.86,134.68,136.43,648782,WAT
2017-01-04,136.52,137.24,135.33,135.49,815484,WAT
2017-01-05,135.21,135.86,134.69,135.73,839388,WAT
2017-01-06,137.1,141.9,137.1,139.98,1054345,WAT
2017-01-09,140.04,141.02,138.27,139.18,890973,WAT
2017-01-10,138.98,139.355,137.34,137.56,844103,WAT
2017-01-11,137.12,139.23,136.14,139.13,868482,WAT
2017-01-12,138.93,138.93,137.56,138.35,624391,WAT
2017-01-13,140.24,142.68,139.78,141.32,730123,WAT
2017-01-17,140.3,142.14,140.14,141.53,719073,WAT
2017-01-18,142.72,143.3,141.7001,143.1,650490,WAT
2017-01-19,142.57,142.57,141.06,141.74,665592,WAT
