date,open,high,low,close,volume,Name
2018-02-05,61.62,62.68,59.08,59.13,1448380,BHF
2018-02-06,58.65,59.2,56.53,58.78,1545715,BHF
2018-02-07,58.53,60.26,58.53,59.0,1123287,BHF
2017-07-03,55.0,57.73,54.57,57.68,4124512,BHGE
2017-07-05,40.8,40.82,37.25,37.25,5883326,BHGE
2017-07-06,38.09,38.09,36.52,37.01,5133756,BHGE
2017-07-07,38.14,38.59,36.12,37.91,6085969,BHGE
2017-07-10,37.63,38.17,36.8,37.23,4721508,BHGE
2017-07-11,37.31,37.78,36.89,37.35,2796240,BHGE
2017-07-12,37.77,37.99,37.25,37.37,3268809,BHGE
2017-07-13,37.45,37.65,36.69,36.84,4086813,BHGE
2017-07-14,37.0,37.495,36.91,37.35,2874663,BHGE
2017-07-17,37.71,38.37,37.64,37.64,3926058,BHGE
2017-07-18,37.52,37.78,36.73,36.75,3278954,BHGE
2017-07-19,36.59,37.09,36.36,36.54,4235240,BHGE
2017-07-20,36.59,36.9,34.86,34.97,6623457,BHGE
2017-07-21,34.73,34.88,33.44,34.12,7851715,BHGE
2017-07-24,34.26,34.46,33.88,34.36,2851511,BHGE
2017-07-25,34.81,35.28,34.77,35.25,2979840,BHGE
2017-07-26,35.58,36.18,35.22,36.05,3826003,BHGE
2017-07-27,35.97,37.04,35.7,36.16,4730051,BHGE
2017-07-28,34.85,37.5,34.2257,37.1,4263752,BHGE
2017-07-31,37.14,37.17,36.43,36.89,3322672,BHGE
2017-08-01,35.42,35.54,35.06,35.23,3115457,BHGE
2017-08-02,35.36,35.55,35.035,35.35,3405796,BHGE
2017-08-03,35.26,35.51,35.07,35.31,3200150,BHGE
2017-08-04,35.42,35.54,35.06,35.23,3115457,BHGE
2017-08-07,35.1,35.27,34.4,34.56,2058552,BHGE
2017-08-08,34.75,35.47,34.6442,34.94,2155678,BHGE
2017-08-09,34.79,35.29,34.76,35.02,2267019,BHGE
2017-08-10,35.01,35.29,34.57,34.7,1984469,BHGE
2017-08-11,34.51,34.89,34.28,34.29,1193191,BHGE
2017-08-14,34.51,34.54,34.135,34.26,1933549,BHGE
2017-08-15,34.03,34.42,34.03,34.31,2158590,BHGE
2017-08-16,34.37,34.51,33.76,33.83,1383406,BHGE
2017-08-17,33.79,34.09,32.75,32.8,2230740,BHGE
2017-08-18,32.74,33.13,32.4301,32.77,3248495,BHGE
2017-08-21,32.77,32.99,32.46,32.54,2354727,BHGE
2017-08-22,32.62,32.945,32.43,32.69,1874751,BHGE
2017-08-23,32.51,33.24,32.51,33.04,1580026,BHGE
2017-08-24,33.09,33.09,32.54,32.82,1787191,BHGE
2017-08-25,32.88,33.41,32.8701,33.26,2037096,BHGE
2017-08-28,33.27,33.4,32.82,33.25,2518129,BHGE
2017-08-29,33.1,33.81,33.1,33.75,2252996,BHGE
2017-08-30,33.6,33.73,33.2376,33.51,1637489,BHGE
2017-08-31,33.99,34.35,33.46,33.9,3648374,BHGE
2017-09-01,33.97,34.44,33.73,34.3,1724403,BHGE
2017-09-05,34.83,35.45,34.49,34.97,4389683,BHGE
2017-09-06,35.39,35.74,34.72,34.74,3353311,BHGE
2017-09-07,34.77,35.25,34.29,34.75,2085980,BHGE
2017-09-08,34.77,34.98,34.06,34.42,3019167,BHGE
2017-09-11,34.52,35.6,34.37,35.48,2849534,BHGE
2017-09-12,35.38,36.4,35.24,35.96,3548583,BHGE
2017-09-13,35.94,36.73,35.9,36.09,4303419,BHGE
2017-09-14,36.35,37.14,36.2,36.38,4785721,BHGE
2017-09-15,36.37,36.91,36.37,36.9,8293145,BHGE
2017-09-18,36.91,37.49,36.78,37.36,3251905,BHGE
2017-09-19,37.31,37.45,37.06,37.39,2961456,BHGE
2017-09-20,37.55,37.68,37.24,37.5,2254136,BHGE
2017-09-21,37.17,37.26,36.365,36.58,2626484,BHGE
2017-09-22,36.53,36.74,36.28,36.67,3605847,BHGE
