date,open,high,low,close,volume,Name
2016-10-20,77.03,77.04,75.83,75.87,1664725,DLTR
2016-10-21,75.33,76.34,75.33,75.71,2182423,DLTR
2016-10-24,75.74,76.31,75.72,75.97,1718689,DLTR
2016-10-25,75.6,76.13,75.36,75.82,1649265,DLTR
2016-10-26,75.75,77.33,75.6,76.8,2344020,DLTR
2016-10-27,76.71,76.8079,74.44,74.45,2332991,DLTR
2016-10-28,74.37,75.81,74.36,75.21,1594489,DLTR
2016-10-31,75.52,75.95,75.28,75.55,1397443,DLTR
2016-11-01,75.76,75.97,74.58,74.88,1406672,DLTR
2016-11-02,75.06,75.72,74.86,75.36,1112081,DLTR
2016-11-03,75.29,75.72,73.84,74.07,1179273,DLTR
2016-11-04,73.64,74.91,73.57,73.62,1420769,DLTR
2016-11-07,74.76,75.89,74.14,75.54,1870177,DLTR
2016-11-08,75.67,76.05,75.0,75.81,2009910,DLTR
2016-11-09,72.68,76.19,72.55,76.04,3493422,DLTR
2016-11-10,76.47,78.0,76.16,77.2,3320128,DLTR
2016-11-11,77.05,78.73,76.93,77.81,1962556,DLTR
2016-11-14,78.02,79.51,77.615,78.34,2883099,DLTR
2016-11-15,78.69,79.25,77.97,79.17,2924679,DLTR
2016-11-16,79.87,81.34,79.65,80.54,3806831,DLTR
2016-11-17,79.82,81.925,79.73,81.65,3448225,DLTR
2016-11-18,81.53,82.14,80.68,81.91,3646787,DLTR
2016-11-21,81.97,83.13,80.88,81.99,6768570,DLTR
2016-11-22,88.33,91.41,87.6,88.68,12815510,DLTR
2016-11-23,88.66,89.89,87.51,88.86,4022467,DLTR
2016-11-25,88.51,89.54,88.4,89.18,1083104,DLTR
2016-11-28,88.7,90.17,88.25,89.58,3331672,DLTR
2016-11-29,89.98,90.61,89.29,89.67,3036037,DLTR
2016-11-30,89.29,89.96,88.04,88.16,4231621,DLTR
2016-12-01,86.79,88.07,86.09,86.57,4337609,DLTR
2016-12-02,86.82,88.509,86.05,87.76,2110560,DLTR
2016-12-05,88.42,88.76,87.04,88.2,3475008,DLTR
2016-12-06,88.96,88.975,87.535,87.93,2280406,DLTR
2016-12-07,87.4,88.22,87.03,87.84,3799222,DLTR
2016-12-08,87.84,87.875,86.72,87.12,3240572,DLTR
2016-12-09,87.02,88.13,86.55,87.76,1678213,DLTR
2016-12-12,87.56,87.94,86.06,86.09,2258756,DLTR
2016-12-13,86.17,86.81,85.41,86.16,2276592,DLTR
2016-12-14,86.4,86.62,84.62,84.72,3104039,DLTR
2016-12-15,84.83,86.11,84.32,85.7,2214985,DLTR
2016-12-16,85.61,85.85,84.035,84.2,3874768,DLTR
2016-12-19,84.2,85.33,83.805,84.27,1758718,DLTR
2016-12-20,84.42,85.83,84.35,85.09,1351694,DLTR
2016-12-21,84.68,85.05,83.28,84.06,1750958,DLTR
2016-12-22,84.02,84.02,78.94,79.31,5692210,DLTR
2016-12-23,79.46,80.21,78.38,78.7,2274271,DLTR
2016-12-27,78.97,79.7395,74.92,78.12,2426965,DLTR
2016-12-28,78.54,79.17,77.4,77.67,1676704,DLTR
2016-12-29,77.65,78.0798,76.81,77.34,1846622,DLTR
2016-12-30,77.57,77.722,76.42,77.18,1688482,DLTR
2017-01-03,77.57,78.14,76.415,77.45,2588001,DLTR
2017-01-04,77.52,80.23,77.52,79.45,3259699,DLTR
2017-01-05,78.42,79.5847,77.59,78.06,2831997,DLTR
2017-01-06,78.17,78.44,76.94,77.09,3104953,DLTR
2017-01-09,76.74,77.36,76.66,77.14,2074898,DLTR
2017-01-10,77.05,78.4,76.75,77.96,2381029,DLTR
2017-01-11,77.7,78.4,77.4358,77.81,1489025,DLTR
2017-01-12,77.81,77.81,76.92,77.53,1710211,DLTR
2017-01-13,77.49,77.71,76.88,77.13,1746252,DLTR
2017-01-17,77.77,81.92,77.24,79.51,5075016,DLTR
2017-01-18,78.51,79.12,76.4,77.31,4281069,DLTR
