date,open,high,low,close,volume,Name
2017-01-04,22.67,22.84,22.245,22.36,20426819,MU
2017-01-05,22.4,22.57,21.96,22.11,19759381,MU
2017-01-06,22.27,22.28,21.975,22.04,17782160,MU
2017-01-09,21.94,22.55,21.94,22.34,21537171,MU
2017-01-10,22.36,22.6861,22.3,22.48,20644345,MU
2017-01-11,22.61,22.88,22.56,22.79,20907746,MU
2017-01-12,22.46,22.48,21.7,22.31,27592288,MU
2017-01-13,22.27,22.31,21.985,22.18,14025660,MU
2017-01-17,21.88,22.0662,21.5839,21.74,20053761,MU
2017-01-18,21.68,22.34,21.53,22.32,19493417,MU
2017-01-19,21.5,22.3,21.49,21.71,31259017,MU
2017-01-20,21.9,22.33,21.89,21.96,19978669,MU
2017-01-23,21.96,22.31,21.74,21.89,16070257,MU
2017-01-24,22.27,23.085,22.26,22.85,29461353,MU
2017-01-25,23.4,23.98,23.19,23.56,33384707,MU
2017-01-26,23.8,23.99,23.29,23.52,19379092,MU
2017-01-27,23.53,24.1,23.45,23.97,18626054,MU
2017-01-30,23.82,24.24,23.43,24.18,30508099,MU
2017-01-31,23.95,24.1457,23.68,24.11,22712508,MU
2017-02-01,24.43,24.85,24.31,24.75,28728167,MU
2017-02-02,24.53,25.31,24.46,24.79,45499729,MU
2017-02-03,24.9,25.24,24.5,24.6,25054360,MU
2017-02-06,24.53,24.7287,24.21,24.34,18900002,MU
2017-02-07,24.59,24.69,24.21,24.6,19879272,MU
2017-02-08,24.25,24.375,23.91,24.21,21559205,MU
2017-02-09,24.75,24.89,24.42,24.45,27887385,MU
2017-02-10,24.71,24.76,23.9,24.05,28578398,MU
2017-02-13,24.07,24.2,23.82,23.9,16876390,MU
2017-02-14,23.36,23.37,22.68,23.12,60685229,MU
2017-02-15,23.07,23.26,22.79,23.02,28215808,MU
2017-02-16,23.04,23.34,22.85,22.98,23819848,MU
2017-02-17,23.01,23.38,23.01,23.35,22108736,MU
2017-02-21,23.62,23.98,23.58,23.77,20256331,MU
2017-02-22,23.86,24.06,23.65,23.75,16013317,MU
2017-02-23,23.92,23.97,23.225,23.48,20172926,MU
2017-02-24,22.96,23.26,22.64,23.24,22019587,MU
2017-02-27,23.36,23.77,23.15,23.76,17999814,MU
2017-02-28,23.79,23.95,23.315,23.44,21447514,MU
2017-03-01,24.16,24.58,24.07,24.55,27989312,MU
2017-03-02,24.88,25.25,24.375,24.7,45941859,MU
2017-03-03,25.2,25.68,24.98,25.57,37971610,MU
2017-03-06,25.5,25.92,25.17,25.71,25527754,MU
2017-03-07,25.56,25.75,25.28,25.64,20313002,MU
2017-03-08,25.64,25.83,25.04,25.38,24921136,MU
2017-03-09,25.23,25.49,24.85,25.15,21786556,MU
2017-03-10,25.275,25.75,24.81,25.18,28919045,MU
2017-03-13,25.39,25.82,25.29,25.7,23768209,MU
2017-03-14,25.59,25.7,25.25,25.58,14587546,MU
2017-03-15,25.15,26.15,24.935,26.12,29779850,MU
2017-03-16,26.2,26.23,25.83,26.04,19147312,MU
2017-03-17,25.86,25.91,25.4,25.8,19126498,MU
2017-03-20,25.99,26.61,25.81,26.21,26918811,MU
2017-03-21,26.3,26.44,25.43,25.52,28397518,MU
2017-03-22,25.73,26.15,25.63,26.06,25092530,MU
2017-03-23,26.36,26.49,26.04,26.47,47118274,MU
2017-03-24,29.71,29.87,28.1601,28.43,107481789,MU
2017-03-27,28.1,29.18,28.07,28.76,48189996,MU
2017-03-28,28.73,29.06,28.62,28.69,24776375,MU
2017-03-29,28.6,28.68,28.35,28.5,23060612,MU
2017-03-30,28.4,29.0,28.33,28.97,25092660,MU
2017-03-31,29.1,29.36,28.9,28.9,32337822,MU
