date,open,high,low,close,volume,Name
2013-02-25,68.3,68.8,66.575,66.59,4232614,UNP
2013-02-26,66.85,67.24,66.395,66.97,3681460,UNP
2013-02-27,66.975,68.63,66.725,68.355,4601750,UNP
2013-02-28,68.575,69.255,68.22,68.555,5580150,UNP
2013-03-01,68.205,68.775,67.7505,68.285,3060412,UNP
2013-03-04,68.135,69.27,68.04,69.175,3182486,UNP
2013-03-05,69.555,69.88,69.11,69.54,3330986,UNP
2013-03-06,70.0,70.42,69.185,69.48,2967376,UNP
2013-03-07,69.445,69.615,68.125,68.51,3782244,UNP
2013-03-08,68.825,69.565,68.5,69.35,2666676,UNP
2013-03-11,69.385,69.995,69.365,69.845,2554342,UNP
2013-03-12,70.0,70.085,69.15,69.5,2330288,UNP
2013-03-13,69.43,69.9,69.06,69.78,2479096,UNP
2013-03-14,70.0,70.56,69.7601,70.5,3148882,UNP
2013-03-15,70.18,70.89,70.075,70.845,4889532,UNP
2013-03-18,69.95,70.7825,69.91,70.105,4153900,UNP
2013-03-19,70.115,70.386,69.39,69.79,3781762,UNP
2013-03-20,70.375,70.48,69.35,69.565,3969394,UNP
2013-03-21,69.125,69.625,68.8625,69.185,4513076,UNP
2013-03-22,69.365,69.665,69.035,69.57,3637362,UNP
2013-03-25,69.98,70.13,68.45,68.595,4657764,UNP
2013-03-26,69.14,69.86,69.01,69.74,3189574,UNP
2013-03-27,69.305,70.46,69.11,70.415,3909292,UNP
2013-03-28,70.55,71.5,70.41,71.205,4166750,UNP
2013-04-01,71.205,71.485,69.96,70.05,2735522,UNP
2013-04-02,70.51,71.33,70.22,70.41,4067844,UNP
2013-04-03,70.41,70.69,69.175,69.42,4446062,UNP
2013-04-04,69.295,69.4075,68.43,69.23,5252990,UNP
2013-04-05,68.145,69.395,68.0,69.27,3861246,UNP
2013-04-08,69.2,69.98,69.135,69.81,2522326,UNP
2013-04-09,70.015,70.325,69.44,69.865,2687136,UNP
2013-04-10,70.0,70.775,69.9075,70.65,3430352,UNP
2013-04-11,70.865,71.21,70.245,70.7,3627988,UNP
2013-04-12,70.7,71.185,70.255,70.635,3634210,UNP
2013-04-15,70.23,70.26,67.875,67.88,5058722,UNP
2013-04-16,68.505,69.92,68.435,69.805,4191400,UNP
2013-04-17,69.385,69.455,68.085,68.47,5513648,UNP
2013-04-18,70.23,71.815,69.91,71.23,7812184,UNP
2013-04-19,71.615,73.02,71.23,72.925,5384060,UNP
2013-04-22,73.025,74.1,72.635,73.72,4932174,UNP
2013-04-23,73.975,74.195,73.17,73.715,3959910,UNP
2013-04-24,73.915,74.05,73.055,73.65,3960772,UNP
2013-04-25,74.065,74.635,73.72,74.11,2914986,UNP
2013-04-26,74.21,74.355,73.665,73.76,1927154,UNP
2013-04-29,73.535,73.965,73.24,73.71,3148592,UNP
2013-04-30,73.745,74.0,73.16,73.98,3405900,UNP
2013-05-01,73.835,74.3,72.695,72.835,2630608,UNP
2013-05-02,72.945,73.925,72.93,73.585,3015698,UNP
2013-05-03,74.375,75.57,74.305,74.715,4007708,UNP
2013-05-06,74.8,75.87,74.78,75.7,3009908,UNP
2013-05-07,75.995,77.0,75.83,76.86,3687260,UNP
2013-05-08,76.525,77.725,76.25,77.69,3576296,UNP
2013-05-09,77.345,77.64,76.575,76.835,3411942,UNP
2013-05-10,77.0,77.435,76.505,77.15,2285514,UNP
2013-05-13,76.985,77.545,76.29,76.95,2296890,UNP
2013-05-14,76.9,78.545,76.77,78.47,3341102,UNP
2013-05-15,78.07,79.055,77.92,79.015,2731010,UNP
2013-05-16,78.745,79.415,78.3325,78.52,2703548,UNP
2013-05-17,78.895,79.97,78.43,79.955,3081574,UNP
2013-05-20,79.85,80.3,79.45,79.815,3068178,UNP
2013-05-21,79.755,80.23,79.05,79.23,4002486,UNP
