date,open,high,low,close,volume,Name
2017-06-30,83.91,84.68,83.54,84.37,982137,VRSK
2017-07-03,84.87,84.96,84.15,84.17,507213,VRSK
2017-07-05,84.22,84.54,83.92,84.29,781014,VRSK
2017-07-06,83.74,83.855,83.375,83.48,830306,VRSK
2017-07-07,83.48,83.86,83.38,83.65,1077724,VRSK
2017-07-10,83.63,83.69,83.325,83.45,769602,VRSK
2017-07-11,83.48,83.51,82.94,83.48,494821,VRSK
2017-07-12,84.01,84.62,83.965,84.55,601911,VRSK
2017-07-13,84.4,84.5538,83.56,84.4,508479,VRSK
2017-07-14,84.76,85.53,84.69,85.44,851998,VRSK
2017-07-17,85.45,85.75,85.07,85.24,912542,VRSK
2017-07-18,85.07,85.94,84.73,85.87,864683,VRSK
2017-07-19,85.86,86.01,84.96,85.99,674547,VRSK
2017-07-20,86.05,86.35,85.0,86.27,410183,VRSK
2017-07-21,86.14,86.96,86.1365,86.51,881499,VRSK
2017-07-24,86.48,87.21,85.95,87.11,864392,VRSK
2017-07-25,87.3,87.42,86.66,86.88,590335,VRSK
2017-07-26,86.97,87.18,86.77,87.06,404134,VRSK
2017-07-27,87.03,87.47,86.58,87.15,721683,VRSK
2017-07-28,87.06,87.62,86.77,87.32,510354,VRSK
2017-07-31,87.32,88.0,87.0,87.26,739626,VRSK
2017-08-01,85.475,88.17,85.475,87.17,1081633,VRSK
2017-08-02,85.43,85.43,82.55,83.84,2072360,VRSK
2017-08-03,83.45,83.7441,82.12,82.31,1470351,VRSK
2017-08-04,82.56,82.98,82.0301,82.88,1043056,VRSK
2017-08-07,82.99,83.24,82.15,82.52,749878,VRSK
2017-08-08,82.33,82.75,81.86,81.89,597378,VRSK
2017-08-09,81.91,82.03,81.41,81.53,722311,VRSK
2017-08-10,81.23,81.41,80.56,80.58,788552,VRSK
2017-08-11,80.96,81.2,80.59,80.62,551070,VRSK
2017-08-14,81.15,81.7,80.94,81.44,504812,VRSK
2017-08-15,81.48,81.67,81.2,81.4,552512,VRSK
2017-08-16,81.61,81.89,81.275,81.65,559507,VRSK
2017-08-17,81.51,81.9,80.82,80.9,1111368,VRSK
2017-08-18,80.39,80.96,80.12,80.65,851006,VRSK
2017-08-21,80.8,81.3,80.431,81.07,535917,VRSK
2017-08-22,81.21,82.36,81.06,82.05,633515,VRSK
2017-08-23,81.87,81.87,81.18,81.21,603061,VRSK
2017-08-24,81.3,81.3,79.87,80.26,717297,VRSK
2017-08-25,80.75,80.75,79.59,79.67,994589,VRSK
2017-08-28,80.0,80.15,79.08,79.23,652977,VRSK
2017-08-29,79.29,79.61,78.97,79.52,813138,VRSK
2017-08-30,79.62,80.35,79.2,80.16,957638,VRSK
2017-08-31,80.25,81.19,80.16,81.05,660407,VRSK
2017-09-01,81.38,81.38,80.81,80.98,631326,VRSK
2017-09-05,80.82,81.24,80.42,80.62,1056090,VRSK
2017-09-06,80.72,81.18,80.59,81.06,767721,VRSK
2017-09-07,81.16,82.35,81.16,82.0,893363,VRSK
2017-09-08,81.73,82.8,80.89,82.48,665388,VRSK
2017-09-11,82.92,82.93,81.87,82.03,796285,VRSK
2017-09-12,82.02,83.0,81.5,82.9,628125,VRSK
2017-09-13,82.64,82.65,81.33,81.45,557396,VRSK
2017-09-14,81.25,81.4879,80.32,80.69,817281,VRSK
2017-09-15,80.72,81.4,80.53,81.03,1191693,VRSK
2017-09-18,81.1,81.81,80.915,81.77,621041,VRSK
2017-09-19,81.81,81.81,81.38,81.71,390303,VRSK
2017-09-20,81.7,82.49,81.45,82.09,571118,VRSK
2017-09-21,82.01,82.32,81.7,81.95,463938,VRSK
2017-09-22,81.58,82.38,81.58,82.31,393588,VRSK
2017-09-25,82.21,82.4,81.8202,82.03,595946,VRSK
2017-09-26,82.5,82.5,81.7,81.9,1049422,VRSK
