date,open,high,low,close,volume,Name
2016-09-29,31.77,32.11,30.74,31.04,12529741,MS
2016-09-30,31.27,32.32,31.0,32.06,16269726,MS
2016-10-03,32.02,32.15,31.465,31.95,10324254,MS
2016-10-04,32.07,32.4,31.81,32.04,9525387,MS
2016-10-05,32.17,32.725,32.1,32.56,11157666,MS
2016-10-06,32.48,32.65,32.2,32.39,11347166,MS
2016-10-07,32.34,32.52,31.95,32.31,11406104,MS
2016-10-10,32.62,32.71,32.41,32.56,6609180,MS
2016-10-11,32.49,32.755,31.95,32.18,6827702,MS
2016-10-12,32.18,32.38,31.8794,31.91,6743261,MS
2016-10-13,31.49,33.0,30.96,31.73,13893520,MS
2016-10-14,32.24,32.79,31.89,32.07,13734116,MS
2016-10-17,32.05,32.17,31.61,31.79,10114266,MS
2016-10-18,32.25,32.51,32.04,32.32,13091636,MS
2016-10-19,32.84,33.0,32.18,32.93,18522741,MS
2016-10-20,32.84,33.19,32.575,32.9,10650671,MS
2016-10-21,32.6,33.52,32.54,33.44,13910338,MS
2016-10-24,33.57,33.68,33.34,33.38,9221301,MS
2016-10-25,33.39,33.59,33.2,33.35,7912666,MS
2016-10-26,33.15,33.65,33.06,33.59,9112972,MS
2016-10-27,33.82,34.005,33.58,33.82,12608435,MS
2016-10-28,33.69,34.03,33.17,33.52,10183535,MS
2016-10-31,33.71,33.88,33.49,33.57,8687190,MS
2016-11-01,33.68,33.83,32.91,33.36,8988743,MS
2016-11-02,33.12,33.17,32.73,32.92,8900448,MS
2016-11-03,33.07,33.23,32.77,32.81,8172454,MS
2016-11-04,32.82,33.21,32.56,32.78,7897846,MS
2016-11-07,33.57,34.0,33.57,34.0,11328047,MS
2016-11-08,33.81,34.28,33.54,34.1,7370494,MS
2016-11-09,34.7,36.91,34.47,36.52,28311033,MS
2016-11-10,36.72,38.94,36.72,38.02,38587204,MS
2016-11-11,37.37,38.75,37.34,38.49,22845455,MS
2016-11-14,38.88,39.88,38.78,39.35,25618994,MS
2016-11-15,38.81,40.035,38.405,40.0,18608046,MS
2016-11-16,39.01,39.48,38.955,39.19,18234923,MS
2016-11-17,39.02,39.97,38.72,39.97,12676901,MS
2016-11-18,40.0,40.665,39.89,40.43,16413329,MS
2016-11-21,40.44,40.8,40.11,40.56,10122257,MS
2016-11-22,40.56,40.77,39.97,40.54,12341112,MS
2016-11-23,40.5,41.179,40.22,41.04,9853631,MS
2016-11-25,41.1,41.2,40.79,41.1,4027471,MS
2016-11-28,40.63,40.995,40.345,40.44,10123600,MS
2016-11-29,40.44,40.92,40.29,40.6,8602864,MS
2016-11-30,41.02,41.64,41.01,41.36,14726566,MS
2016-12-01,41.76,42.54,41.58,42.16,14053940,MS
2016-12-02,42.091,42.091,41.14,41.83,11288363,MS
2016-12-05,42.3,42.845,41.811,42.09,12264184,MS
2016-12-06,42.49,42.74,41.97,42.51,11769504,MS
2016-12-07,42.5,42.79,42.285,42.64,16213352,MS
2016-12-08,42.9,43.72,42.6962,43.58,14972868,MS
2016-12-09,43.49,44.04,43.23,43.73,12115063,MS
2016-12-12,43.5,43.91,42.66,42.98,12048574,MS
2016-12-13,43.12,43.3,42.16,42.56,16674850,MS
2016-12-14,42.27,43.65,42.12,42.86,15136470,MS
2016-12-15,43.37,43.51,42.89,43.01,15725728,MS
2016-12-16,43.12,43.55,42.61,42.71,19076896,MS
2016-12-19,42.66,42.86,42.14,42.83,12663474,MS
2016-12-20,43.13,43.58,43.13,43.5,8647434,MS
2016-12-21,43.64,43.66,43.28,43.37,6859264,MS
2016-12-22,43.3,43.39,42.76,42.79,8200299,MS
2016-12-23,42.86,43.07,42.75,43.06,6732960,MS
