date,open,high,low,close,volume,Name
2013-12-17,38.5,38.9,38.33,38.81,933340,SNPS
2013-12-18,38.91,39.43,38.79,39.42,788207,SNPS
2013-12-19,39.26,39.39,39.1216,39.14,869478,SNPS
2013-12-20,39.19,39.69,39.19,39.63,1436243,SNPS
2013-12-23,39.66,40.2,39.65,40.0,1462860,SNPS
2013-12-24,39.76,40.19,39.575,40.06,435138,SNPS
2013-12-26,40.08,40.25,39.88,39.98,406754,SNPS
2013-12-27,40.0,40.3,39.98,40.17,438051,SNPS
2013-12-30,40.1,40.62,40.1,40.6,632899,SNPS
2013-12-31,40.59,40.79,40.42,40.57,526642,SNPS
2014-01-02,40.33,40.6,40.06,40.42,802775,SNPS
2014-01-03,40.51,40.7,40.34,40.62,818415,SNPS
2014-01-06,40.58,40.79,40.16,40.25,749691,SNPS
2014-01-07,40.34,40.49,40.185,40.34,1161490,SNPS
2014-01-08,40.39,40.78,39.99,40.78,663870,SNPS
2014-01-09,40.73,40.98,40.55,40.94,606971,SNPS
2014-01-10,40.96,41.15,40.8,41.13,497776,SNPS
2014-01-13,40.96,41.15,40.52,40.64,488204,SNPS
2014-01-14,40.86,41.08,40.65,41.04,466161,SNPS
2014-01-15,41.18,41.36,41.046,41.18,731403,SNPS
2014-01-16,41.12,41.18,40.84,40.95,512998,SNPS
2014-01-17,40.88,41.19,40.66,41.09,479522,SNPS
2014-01-21,41.25,41.62,41.15,41.57,661621,SNPS
2014-01-22,41.56,41.56,41.26,41.3,777949,SNPS
2014-01-23,41.05,41.11,40.76,40.96,741538,SNPS
2014-01-24,40.85,40.895,40.09,40.11,519121,SNPS
2014-01-27,39.54,40.27,39.48,39.5,771828,SNPS
2014-01-28,39.6,39.88,39.48,39.87,669449,SNPS
2014-01-29,39.5,40.18,39.5,39.99,837089,SNPS
2014-01-30,39.58,40.6,39.48,40.52,988684,SNPS
2014-01-31,39.94,40.28,39.46,39.86,933815,SNPS
2014-02-03,39.8,39.9025,38.28,38.4,1337760,SNPS
2014-02-04,38.53,39.12,38.25,39.11,1139521,SNPS
2014-02-05,39.06,39.14,38.61,38.98,737627,SNPS
2014-02-06,38.99,39.23,38.81,39.1,353291,SNPS
2014-02-07,39.27,39.77,39.21,39.77,397265,SNPS
2014-02-10,39.7,39.95,39.35,39.95,620283,SNPS
2014-02-11,40.07,40.61,39.98,40.59,538932,SNPS
2014-02-12,40.73,40.84,40.33,40.61,521115,SNPS
2014-02-13,40.43,41.1,40.271,41.1,412976,SNPS
2014-02-14,41.07,41.2,40.84,40.98,645262,SNPS
2014-02-18,41.18,41.18,40.575,40.84,1257210,SNPS
2014-02-19,40.76,41.05,40.5725,40.76,930239,SNPS
2014-02-20,41.24,41.25,39.2,39.85,1123186,SNPS
2014-02-21,39.83,40.535,39.76,40.4,1015243,SNPS
2014-02-24,40.41,40.61,40.14,40.27,1197303,SNPS
2014-02-25,40.22,40.4,39.85,39.97,833087,SNPS
2014-02-26,40.02,40.35,39.62,39.95,813937,SNPS
2014-02-27,39.87,40.12,39.85,40.0,979110,SNPS
2014-02-28,40.14,40.47,39.97,40.4,1557994,SNPS
2014-03-03,39.42,39.97,39.32,39.84,900199,SNPS
2014-03-04,40.13,40.59,40.1,40.58,1097966,SNPS
2014-03-05,40.69,40.69,40.36,40.47,662419,SNPS
2014-03-06,40.37,40.645,40.19,40.48,870287,SNPS
2014-03-07,40.56,40.69,40.32,40.4,691043,SNPS
2014-03-10,40.19,40.63,40.04,40.46,477060,SNPS
2014-03-11,40.37,40.55,39.89,39.99,429683,SNPS
2014-03-12,39.71,39.98,39.5,39.9,598279,SNPS
2014-03-13,40.07,40.07,39.51,39.6,690931,SNPS
2014-03-14,39.59,39.84,39.45,39.49,824061,SNPS
2014-03-17,39.61,40.0,39.45,39.75,1009253,SNPS
