date,open,high,low,close,volume,Name
2013-04-23,106.51,107.6947,105.63,106.23,747961,MCK
2013-04-24,106.44,107.15,106.281,107.01,960937,MCK
2013-04-25,107.04,108.16,104.58,104.95,1941881,MCK
2013-04-26,104.94,105.37,103.954,104.18,1202743,MCK
2013-04-29,104.17,105.17,102.68,104.49,1282957,MCK
2013-04-30,104.45,105.83,103.53,105.82,1487958,MCK
2013-05-01,105.81,106.1,105.19,105.75,1153276,MCK
2013-05-02,106.25,107.44,105.77,107.44,1286519,MCK
2013-05-03,108.05,108.6,107.15,108.14,773627,MCK
2013-05-06,108.04,109.02,108.0,108.23,859526,MCK
2013-05-07,108.4,108.72,107.78,108.63,1210159,MCK
2013-05-08,112.21,116.15,112.02,116.11,3149860,MCK
2013-05-09,116.07,116.94,115.17,115.77,1336423,MCK
2013-05-10,115.59,115.78,114.85,115.29,1879235,MCK
2013-05-13,114.97,115.05,114.19,114.61,1119247,MCK
2013-05-14,114.51,115.63,114.51,115.12,1084998,MCK
2013-05-15,115.32,117.2,115.32,116.24,1101228,MCK
2013-05-16,115.74,116.32,115.3,115.41,725777,MCK
2013-05-17,115.66,117.0,115.48,116.89,915137,MCK
2013-05-20,116.63,118.82,116.63,118.02,1263728,MCK
2013-05-21,118.0,118.57,117.11,118.41,1401989,MCK
2013-05-22,118.2,119.32,117.2,117.55,1193160,MCK
2013-05-23,116.72,117.75,116.18,117.28,838375,MCK
2013-05-24,116.79,117.64,116.09,117.31,665528,MCK
2013-05-28,117.8,118.3,115.22,116.31,1505799,MCK
2013-05-29,113.4,114.79,113.01,114.37,1665176,MCK
2013-05-30,114.21,115.42,113.58,114.94,1047644,MCK
2013-05-31,114.59,115.67,113.81,113.86,1237108,MCK
2013-06-03,114.28,114.28,111.83,112.74,1679771,MCK
2013-06-04,112.54,113.33,111.37,112.31,1454476,MCK
2013-06-05,111.62,112.86,111.39,111.67,949152,MCK
2013-06-06,111.79,112.31,111.13,111.81,1047167,MCK
2013-06-07,112.68,114.85,112.65,113.96,1037511,MCK
2013-06-10,114.1,115.32,114.07,114.66,993234,MCK
2013-06-11,113.63,114.31,112.72,112.87,1025107,MCK
2013-06-12,113.8,114.0,111.99,112.02,737144,MCK
2013-06-13,112.18,113.95,111.31,113.85,769873,MCK
2013-06-14,113.63,115.23,113.48,114.29,1163020,MCK
2013-06-17,115.01,115.19,113.72,114.38,1111651,MCK
2013-06-18,114.83,115.77,114.39,114.62,1112873,MCK
2013-06-19,114.79,115.95,113.92,113.93,1159270,MCK
2013-06-20,113.28,113.43,110.42,110.79,1688152,MCK
2013-06-21,111.84,112.88,110.53,110.97,2465231,MCK
2013-06-24,110.57,111.97,109.821,111.55,1140885,MCK
2013-06-25,112.04,112.04,110.56,110.7,1369527,MCK
2013-06-26,111.51,115.66,110.8,115.54,2385016,MCK
2013-06-27,115.83,117.21,115.37,115.57,1214952,MCK
2013-06-28,115.64,115.99,114.5,114.5,1514356,MCK
2013-07-01,115.77,116.78,115.3,116.18,1388220,MCK
2013-07-02,115.98,116.08,113.82,114.28,1161780,MCK
2013-07-03,113.82,114.87,113.26,114.62,761156,MCK
2013-07-05,115.7,115.78,114.64,115.73,507728,MCK
2013-07-08,116.0,117.05,115.79,115.94,867400,MCK
2013-07-09,116.5,117.25,115.92,116.01,954158,MCK
2013-07-10,116.07,117.66,114.725,116.89,956731,MCK
2013-07-11,118.0,118.5,117.765,118.23,734051,MCK
2013-07-12,118.46,118.74,117.55,118.64,727614,MCK
2013-07-15,118.96,119.53,118.34,119.51,607686,MCK
2013-07-16,119.4,119.5601,117.9701,118.3,809328,MCK
2013-07-17,118.42,118.62,117.63,118.06,850213,MCK
2013-07-18,118.39,119.06,118.01,118.48,714043,MCK
