date,open,high,low,close,volume,Name
2018-01-12,137.95,138.14,137.61,137.83,1255965,COL
2018-01-16,137.73,138.19,136.54,136.65,1618589,COL
2018-01-17,136.9,137.07,136.4,136.85,1113854,COL
2018-01-18,136.8,137.58,136.51,137.4,999566,COL
2018-01-19,137.65,137.8,136.61,137.67,1241322,COL
2018-01-22,137.46,137.56,136.94,137.35,692405,COL
2018-01-23,137.29,137.66,136.94,137.45,873157,COL
2018-01-24,137.45,138.45,137.32,137.85,1257561,COL
2018-01-25,138.0,138.93,137.95,138.56,621042,COL
2018-01-26,139.23,139.37,138.3956,139.37,1760171,COL
2018-01-29,138.66,139.0,138.21,138.26,788287,COL
2018-01-30,137.98,138.115,137.36,137.79,1219249,COL
2018-01-31,137.8,138.75,137.51,138.49,1248343,COL
2018-02-01,138.31,139.63,138.06,139.41,1284694,COL
2018-02-02,139.0,139.23,137.68,137.68,845136,COL
2018-02-05,137.05,137.37,133.77,134.25,2738996,COL
2018-02-06,133.0,135.78,132.8,135.02,2730826,COL
2018-02-07,134.76,136.84,134.65,135.4,1662641,COL
2013-02-08,103.01,105.2,103.0,104.26,309118,COO
2013-02-11,104.09,104.74,103.75,104.05,141705,COO
2013-02-12,104.15,104.72,104.15,104.61,282991,COO
2013-02-13,105.03,105.75,103.89,104.25,287580,COO
2013-02-14,104.21,104.42,103.59,103.79,208787,COO
2013-02-15,103.85,104.53,103.5701,104.01,112034,COO
2013-02-19,103.89,105.19,103.38,104.66,184969,COO
2013-02-20,104.62,104.665,103.04,103.14,205527,COO
2013-02-21,103.11,103.12,101.57,102.59,285806,COO
2013-02-22,103.05,103.42,102.64,102.91,113679,COO
2013-02-25,103.31,104.83,102.33,102.33,252581,COO
2013-02-26,102.82,104.34,102.14,103.96,265207,COO
2013-02-27,104.07,106.14,104.04,105.5,181765,COO
2013-02-28,105.49,106.75,105.49,106.06,191665,COO
2013-03-01,105.68,105.97,104.41,105.08,360016,COO
2013-03-04,104.83,105.53,104.19,105.19,233711,COO
2013-03-05,105.81,106.31,105.53,105.87,483572,COO
2013-03-06,106.21,106.52,105.11,105.55,346419,COO
2013-03-07,105.69,105.905,103.88,104.7,701502,COO
2013-03-08,104.3,109.56,103.57,108.23,881040,COO
2013-03-11,106.54,106.98,105.875,106.25,373071,COO
2013-03-12,105.67,106.37,104.96,105.4,415372,COO
2013-03-13,105.39,105.39,104.92,105.25,290016,COO
2013-03-14,105.0,105.75,104.44,104.82,276026,COO
2013-03-15,104.66,104.93,103.46,103.82,373806,COO
2013-03-18,103.42,104.42,102.72,104.09,242434,COO
2013-03-19,104.34,104.76,103.65,104.42,246906,COO
2013-03-20,105.06,109.82,104.43,105.48,303459,COO
2013-03-21,104.92,109.65,103.68,103.98,169599,COO
2013-03-22,104.37,104.49,103.73,104.16,125373,COO
2013-03-25,104.64,104.97,103.68,104.39,215952,COO
2013-03-26,104.28,104.99,103.87,104.93,262887,COO
2013-03-27,104.37,106.79,104.2,106.74,312668,COO
2013-03-28,106.74,108.04,106.48,107.88,333885,COO
2013-04-01,107.8,108.25,105.76,106.55,203155,COO
2013-04-02,107.2,108.29,107.2,107.71,235546,COO
2013-04-03,107.7,107.935,106.65,107.05,323800,COO
2013-04-04,107.22,108.01,106.74,107.98,288908,COO
2013-04-05,107.0,107.55,105.76,106.17,532867,COO
2013-04-08,106.21,106.55,105.39,106.39,207421,COO
2013-04-09,106.31,106.98,105.95,106.61,193283,COO
2013-04-10,106.7,108.48,106.4,108.17,330970,COO
2013-04-11,108.5,109.93,107.94,109.89,313517,COO
