date,open,high,low,close,volume,Name
2013-02-11,69.575,69.85,69.075,69.675,8051602,PPG
2013-02-12,69.195,69.195,67.726,68.225,8948190,PPG
2013-02-13,68.51,69.885,68.475,69.555,7626192,PPG
2013-02-14,69.33,69.68,68.955,69.5,4826062,PPG
2013-02-15,69.89,70.035,69.25,69.695,3477408,PPG
2013-02-19,69.34,69.6249,67.765,67.855,5937096,PPG
2013-02-20,67.64,67.75,65.745,65.755,5181060,PPG
2013-02-21,65.325,65.325,64.1,65.04,4398228,PPG
2013-02-22,65.185,66.185,65.05,66.16,3289780,PPG
2013-02-25,66.425,66.89,65.14,65.15,3971544,PPG
2013-02-26,65.315,66.53,65.315,66.34,3457126,PPG
2013-02-27,66.055,67.71,65.93,67.33,2088788,PPG
2013-02-28,67.46,67.94,67.305,67.33,2701654,PPG
2013-03-01,66.82,67.71,66.3555,67.405,1854386,PPG
2013-03-04,67.3,67.825,67.09,67.795,1575178,PPG
2013-03-05,68.0,68.475,67.895,68.11,1673672,PPG
2013-03-06,68.28,68.455,67.38,67.725,2598468,PPG
2013-03-07,67.86,67.98,67.455,67.735,1932642,PPG
2013-03-08,68.105,68.77,67.74,68.67,2104544,PPG
2013-03-11,68.455,68.98,68.455,68.89,1740720,PPG
2013-03-12,68.775,69.645,68.775,69.57,2597584,PPG
2013-03-13,69.53,70.83,69.48,70.76,2650176,PPG
2013-03-14,70.9,71.615,70.805,71.115,1950388,PPG
2013-03-15,71.06,71.75,69.555,70.65,3185020,PPG
2013-03-18,69.505,70.93,69.36,70.55,1337096,PPG
2013-03-19,70.845,70.855,69.7725,70.435,1732012,PPG
2013-03-20,70.68,71.08,70.42,70.505,1729182,PPG
2013-03-21,69.565,70.03,68.635,68.645,2032658,PPG
2013-03-22,68.495,69.12,67.8,67.985,1468780,PPG
2013-03-25,68.155,68.235,66.32,66.945,2310680,PPG
2013-03-26,67.345,67.95,66.915,67.02,2388124,PPG
2013-03-27,66.535,66.8475,65.9755,66.71,1872896,PPG
2013-03-28,66.665,67.045,66.435,66.97,2106832,PPG
2013-04-01,66.825,67.235,66.6,67.08,3317252,PPG
2013-04-02,67.38,67.495,66.595,66.845,1681862,PPG
2013-04-03,67.025,67.025,66.1,66.36,2736170,PPG
2013-04-04,66.52,67.445,66.25,66.95,1830428,PPG
2013-04-05,65.865,66.375,65.315,65.865,1768510,PPG
2013-04-08,65.8,66.03,65.28,65.725,2031980,PPG
2013-04-09,65.76,66.475,65.69,66.325,2561712,PPG
2013-04-10,66.555,67.44,66.41,67.33,2082072,PPG
2013-04-11,67.345,69.065,67.31,68.805,2173992,PPG
2013-04-12,68.475,68.72,67.76,68.125,1379992,PPG
2013-04-15,67.585,67.73,65.695,65.72,2477380,PPG
2013-04-16,66.355,67.335,66.055,67.275,2622866,PPG
2013-04-17,66.695,66.988,65.875,66.2,2198600,PPG
2013-04-18,67.83,71.0,67.83,70.325,4780864,PPG
2013-04-19,70.33,71.115,69.8,70.795,3607058,PPG
2013-04-22,70.81,72.025,70.405,71.775,2211396,PPG
2013-04-23,71.975,72.44,71.56,72.4,1593378,PPG
2013-04-24,72.5,72.925,72.175,72.49,1783676,PPG
2013-04-25,73.0,74.28,72.73,73.455,1935782,PPG
2013-04-26,73.38,73.425,72.125,72.465,1144632,PPG
2013-04-29,72.82,73.605,72.44,73.51,1112252,PPG
2013-04-30,73.55,73.6785,72.8155,73.57,1635908,PPG
2013-05-01,72.91,73.545,72.555,72.6,2144338,PPG
2013-05-02,72.94,74.44,72.655,74.24,1647158,PPG
2013-05-03,75.3,76.29,75.005,76.14,2041078,PPG
2013-05-06,76.065,76.065,75.305,75.88,1144236,PPG
2013-05-07,75.94,76.69,75.89,76.61,1017446,PPG
2013-05-08,76.48,77.59,76.19,77.57,1932238,PPG
