date,open,high,low,close,volume,Name
2016-05-25,735.0,739.89,732.6,738.1,1616624,GOOGL
2016-05-26,736.0,741.1,733.0,736.93,1360119,GOOGL
2016-05-27,737.51,747.91,737.01,747.6,1740130,GOOGL
2016-05-31,748.76,753.48,745.57,748.85,2124248,GOOGL
2016-06-01,748.47,751.37,744.34,748.46,1039847,GOOGL
2016-06-02,746.1,747.3,737.0,744.27,1695824,GOOGL
2016-06-03,741.49,741.49,733.91,735.86,1230376,GOOGL
2016-06-06,738.5,738.5,728.29,730.06,1499648,GOOGL
2016-06-07,733.27,736.71,730.8,731.09,1215741,GOOGL
2016-06-08,739.5,743.81,735.765,742.93,1615727,GOOGL
2016-06-09,737.07,743.93,736.5,742.52,958963,GOOGL
2016-06-10,735.95,739.64,730.51,733.19,1452456,GOOGL
2016-06-13,729.82,739.0,729.82,731.88,1167736,GOOGL
2016-06-14,729.31,736.0,726.5,733.25,1329176,GOOGL
2016-06-15,734.92,737.15,731.31,732.19,1161701,GOOGL
2016-06-16,727.96,730.39,715.54,724.25,2250083,GOOGL
2016-06-17,721.39,721.39,701.12,704.25,4113085,GOOGL
2016-06-20,710.31,715.87,705.41,706.13,2282725,GOOGL
2016-06-21,710.05,715.38,704.66,708.88,1515918,GOOGL
2016-06-22,714.05,714.21,705.88,710.47,1452884,GOOGL
2016-06-23,710.55,714.88,700.25,714.87,2125028,GOOGL
2016-06-24,690.17,705.0,684.91,685.2,4771780,GOOGL
2016-06-27,682.49,683.325,672.66,681.14,2919486,GOOGL
2016-06-28,691.37,692.7399,684.85,691.26,1912280,GOOGL
2016-06-29,694.26,699.5,692.6834,695.19,2156218,GOOGL
2016-06-30,697.65,703.77,694.9015,703.53,2112513,GOOGL
2016-07-01,705.1,712.53,703.73,710.25,1549160,GOOGL
2016-07-05,705.01,708.12,699.13,704.89,1422028,GOOGL
2016-07-06,699.84,713.0,699.0,708.97,1445126,GOOGL
2016-07-07,710.11,710.17,700.67,707.26,1058698,GOOGL
2016-07-08,710.56,717.9,708.11,717.78,1497323,GOOGL
2016-07-11,719.42,728.9289,718.865,727.2,1441113,GOOGL
2016-07-12,731.92,735.6,727.5,732.51,1328680,GOOGL
2016-07-13,735.52,735.52,729.02,729.48,1021827,GOOGL
2016-07-14,733.94,736.14,730.59,735.8,1070351,GOOGL
2016-07-15,741.0,741.0,734.64,735.63,1617087,GOOGL
2016-07-18,737.91,755.1369,736.51,753.2,1934900,GOOGL
2016-07-19,749.87,756.59,748.489,753.41,1521795,GOOGL
2016-07-20,754.05,760.64,754.05,757.08,1125117,GOOGL
2016-07-21,757.0,758.15,751.52,754.41,953053,GOOGL
2016-07-22,757.32,759.45,752.655,759.28,1046024,GOOGL
2016-07-25,757.68,759.8249,754.07,757.52,1073310,GOOGL
2016-07-26,757.52,759.26,752.7503,757.65,1189573,GOOGL
2016-07-27,758.97,764.45,755.93,761.97,1608589,GOOGL
2016-07-28,768.84,768.97,759.09,765.84,3673221,GOOGL
2016-07-29,797.71,803.94,790.0,791.34,5090527,GOOGL
2016-08-01,786.67,807.49,785.04,800.94,3029658,GOOGL
2016-08-02,797.33,802.32,794.53,800.12,1996354,GOOGL
2016-08-03,796.47,799.54,793.02,798.92,1461025,GOOGL
2016-08-04,798.24,800.2,793.92,797.25,1076031,GOOGL
2016-08-05,800.11,807.22,797.81,806.93,1807271,GOOGL
2016-08-08,806.0,807.6,801.69,805.23,1221609,GOOGL
2016-08-09,804.49,813.33,804.06,807.48,1607685,GOOGL
2016-08-10,807.05,810.879,806.49,808.49,918514,GOOGL
2016-08-11,810.47,813.879,806.0,808.2,1282274,GOOGL
2016-08-12,805.09,807.19,803.64,807.05,897283,GOOGL
2016-08-15,807.21,811.36,804.03,805.96,930074,GOOGL
2016-08-16,803.5,804.26,797.0,801.19,1057897,GOOGL
2016-08-17,800.0,805.63,796.3,805.42,1066070,GOOGL
2016-08-18,805.36,808.0,801.63,802.75,865160,GOOGL
2016-08-19,799.79,801.23,796.88,799.65,1120763,GOOGL
