date,open,high,low,close,volume,Name
2016-09-21,55.86,56.12,55.26,55.93,11651434,BMY
2016-09-22,56.03,56.65,55.87,56.42,10611009,BMY
2016-09-23,56.3,56.95,56.26,56.48,8569054,BMY
2016-09-26,56.26,56.31,55.4,55.48,8599822,BMY
2016-09-27,55.68,55.89,55.5,55.74,8619892,BMY
2016-09-28,55.81,55.81,54.93,55.09,13768416,BMY
2016-09-29,55.26,55.27,53.76,53.87,17228510,BMY
2016-09-30,53.93,54.37,53.9,53.92,13326712,BMY
2016-10-03,53.94,54.7,53.56,54.66,9697216,BMY
2016-10-04,54.9,55.82,54.8,55.21,14042673,BMY
2016-10-05,54.9,55.2,54.49,54.79,10964066,BMY
2016-10-06,54.57,55.36,54.48,55.05,10955332,BMY
2016-10-07,55.22,55.9,55.06,55.43,12714378,BMY
2016-10-10,50.79,51.3,49.54,49.81,65259694,BMY
2016-10-11,49.67,50.23,49.5,49.55,24532533,BMY
2016-10-12,49.82,50.97,49.74,50.01,18137465,BMY
2016-10-13,49.63,50.49,49.12,50.24,15095991,BMY
2016-10-14,50.35,50.65,49.755,49.77,13848384,BMY
2016-10-17,49.69,49.79,49.1,49.34,11577968,BMY
2016-10-18,49.48,50.35,49.34,50.05,8773340,BMY
2016-10-19,49.95,50.18,49.8,49.87,7636179,BMY
2016-10-20,49.81,50.48,49.76,50.36,9310189,BMY
2016-10-21,50.11,50.45,49.88,50.02,8558673,BMY
2016-10-24,50.11,50.1675,49.04,49.23,12107557,BMY
2016-10-25,49.22,50.13,49.03,49.55,10212818,BMY
2016-10-26,49.58,49.76,49.07,49.29,8331095,BMY
2016-10-27,52.42,53.1672,50.66,51.96,31896653,BMY
2016-10-28,52.11,52.22,50.66,51.0,13798712,BMY
2016-10-31,51.05,51.62,50.65,50.91,11326176,BMY
2016-11-01,50.93,51.36,50.375,50.8,8740777,BMY
2016-11-02,50.93,50.98,50.53,50.57,8197345,BMY
2016-11-03,50.51,50.8841,50.1,50.21,14924787,BMY
2016-11-04,50.5,51.45,50.46,51.01,12817975,BMY
2016-11-07,51.7,53.1,51.59,52.62,12825281,BMY
2016-11-08,52.29,53.34,52.02,53.16,10093969,BMY
2016-11-09,55.25,57.3,54.9,56.3,28681017,BMY
2016-11-10,57.0,57.55,56.22,56.66,17744691,BMY
2016-11-11,56.31,56.73,55.88,56.37,12438294,BMY
2016-11-14,56.66,56.85,56.02,56.56,7234945,BMY
2016-11-15,56.73,56.785,55.76,56.69,9312808,BMY
2016-11-16,56.7,56.72,55.925,56.2,8935479,BMY
2016-11-17,56.75,57.0961,56.06,56.68,6820451,BMY
2016-11-18,56.58,56.84,56.25,56.76,7387424,BMY
2016-11-21,56.71,56.845,56.4,56.73,11312292,BMY
2016-11-22,56.66,56.9,56.26,56.55,10349954,BMY
2016-11-23,56.05,56.78,55.78,56.75,10159776,BMY
2016-11-25,56.85,57.14,56.71,56.98,6228571,BMY
2016-11-28,56.92,56.96,56.25,56.51,8724213,BMY
2016-11-29,56.62,56.89,56.135,56.36,9818891,BMY
2016-11-30,56.29,56.69,56.0,56.44,16418924,BMY
2016-12-01,55.94,56.27,55.44,55.8,12719553,BMY
2016-12-02,55.69,56.11,55.3,55.96,9281504,BMY
2016-12-05,55.86,55.96,55.23,55.55,9904426,BMY
2016-12-06,55.71,56.04,55.56,56.03,5924415,BMY
2016-12-07,55.55,55.68,54.36,55.24,12210792,BMY
2016-12-08,54.93,55.42,54.7805,55.23,8191230,BMY
2016-12-09,55.16,57.18,55.1,57.04,11782750,BMY
2016-12-12,56.83,56.97,56.4,56.55,8828960,BMY
2016-12-13,57.0,57.3423,56.7,57.17,6902818,BMY
2016-12-14,57.3,58.52,57.27,58.5,12603939,BMY
2016-12-15,58.51,59.8,58.28,58.65,13210797,BMY
