date,open,high,low,close,volume,Name
2015-06-02,49.61,49.84,49.4999,49.56,1699578,WM
2015-06-03,49.28,49.34,49.06,49.25,1696228,WM
2015-06-04,49.0,49.27,48.47,48.68,3159719,WM
2015-06-05,48.6,48.67,48.33,48.41,2020037,WM
2015-06-08,48.37,48.615,48.3,48.46,1363621,WM
2015-06-09,48.46,48.563,48.23,48.32,1431818,WM
2015-06-10,48.39,48.755,48.39,48.44,1810652,WM
2015-06-11,48.59,48.771,48.31,48.49,1906429,WM
2015-06-12,48.45,48.5,48.193,48.44,1876364,WM
2015-06-15,48.11,48.11,47.63,47.71,1686829,WM
2015-06-16,47.79,47.9,47.69,47.8,1489421,WM
2015-06-17,47.93,48.015,47.57,47.88,2002122,WM
2015-06-18,48.0,48.39,48.0,48.3,1504245,WM
2015-06-19,48.25,48.25,47.74,47.76,2121472,WM
2015-06-22,48.07,48.11,47.57,47.7,1643739,WM
2015-06-23,47.68,47.845,47.3,47.34,1629384,WM
2015-06-24,47.25,47.4,47.115,47.17,1881707,WM
2015-06-25,47.28,47.29,46.88,46.94,1161061,WM
2015-06-26,46.98,47.19,46.82,47.03,1268529,WM
2015-06-29,46.75,46.8999,46.33,46.35,1606830,WM
2015-06-30,46.7,46.8,46.31,46.35,1345961,WM
2015-07-01,46.64,46.68,46.24,46.51,1241150,WM
2015-07-02,46.57,46.67,46.2236,46.37,884581,WM
2015-07-06,46.04,46.54,45.86,46.53,1228540,WM
2015-07-07,46.53,47.11,46.41,47.02,1986316,WM
2015-07-08,46.66,47.26,46.6,46.81,2051667,WM
2015-07-09,47.17,47.34,47.07,47.15,2254252,WM
2015-07-10,47.56,47.89,47.31,47.75,1920274,WM
2015-07-13,48.14,48.1699,47.78,47.93,2082372,WM
2015-07-14,47.86,48.665,47.83,48.6,2285072,WM
2015-07-15,48.63,48.74,48.32,48.4,1573892,WM
2015-07-16,48.67,49.23,48.48,48.94,2299899,WM
2015-07-17,48.83,48.89,48.51,48.68,1602073,WM
2015-07-20,48.64,48.73,48.44,48.53,1022934,WM
2015-07-21,48.51,48.61,48.02,48.23,1269456,WM
2015-07-22,48.22,48.47,47.55,47.8,2750066,WM
2015-07-23,47.76,49.36,47.76,49.08,4709274,WM
2015-07-24,49.21,49.5558,48.73,48.83,3129720,WM
2015-07-27,48.73,49.54,48.69,49.06,3871662,WM
2015-07-28,49.71,50.25,49.52,50.16,3520456,WM
2015-07-29,50.27,50.79,50.21,50.7,3278939,WM
2015-07-30,50.54,51.38,50.54,51.2,2769387,WM
2015-07-31,51.43,51.46,51.04,51.13,1658329,WM
2015-08-03,51.05,51.13,50.67,50.8,2178613,WM
2015-08-04,50.87,51.38,50.79,50.97,1854808,WM
2015-08-05,51.21,51.83,51.18,51.6,2052227,WM
2015-08-06,51.6,51.8,50.95,50.98,1820746,WM
2015-08-07,50.96,51.12,50.56,50.76,2309141,WM
2015-08-10,51.03,51.43,50.95,51.39,1606822,WM
2015-08-11,51.01,51.57,50.94,51.52,1590608,WM
2015-08-12,51.24,51.91,51.1501,51.85,2531555,WM
2015-08-13,51.72,52.27,51.61,51.9,1872906,WM
2015-08-14,51.96,52.29,51.83,52.25,1104621,WM
2015-08-17,51.92,52.7,51.63,52.64,1428350,WM
2015-08-18,52.54,53.055,52.5,52.7,2028810,WM
2015-08-19,52.43,52.95,52.17,52.6,2285060,WM
2015-08-20,52.29,53.04,52.1,52.57,3257094,WM
2015-08-21,52.06,52.36,51.631,51.64,3558664,WM
2015-08-24,49.18,50.68,48.79,49.47,4431559,WM
2015-08-25,50.37,50.77,49.12,49.15,3039221,WM
2015-08-26,50.32,50.34,49.12,49.5,4369616,WM
