date,open,high,low,close,volume,Name
2013-02-19,45.35,45.55,45.23,45.54,295441,HII
2013-02-20,45.45,45.95,45.38,45.44,480001,HII
2013-02-21,45.35,45.44,44.6,44.63,225792,HII
2013-02-22,44.85,45.19,44.8,44.95,263967,HII
2013-02-25,45.1,45.59,44.27,44.29,290073,HII
2013-02-26,44.35,45.74,44.35,45.47,279332,HII
2013-02-27,45.47,47.14,44.77,47.12,365594,HII
2013-02-28,46.77,48.52,46.76,48.04,385872,HII
2013-03-01,47.78,48.57,47.29,47.91,415491,HII
2013-03-04,47.73,47.79,47.18,47.25,314805,HII
2013-03-05,47.47,48.1,47.26,48.07,187127,HII
2013-03-06,48.37,49.18,48.35,49.17,224718,HII
2013-03-07,49.16,49.2,48.805,49.05,319591,HII
2013-03-08,49.35,50.76,49.35,50.56,294669,HII
2013-03-11,50.25,50.98,50.01,50.9,217166,HII
2013-03-12,50.7,51.425,50.66,51.34,227461,HII
2013-03-13,51.38,53.11,51.38,52.85,320253,HII
2013-03-14,52.89,54.12,52.59,54.08,283378,HII
2013-03-15,54.21,54.22,53.61,54.02,530082,HII
2013-03-18,53.53,53.9,53.25,53.64,190758,HII
2013-03-19,52.91,53.33,52.27,52.5,364085,HII
2013-03-20,52.59,52.98,52.48,52.82,199325,HII
2013-03-21,52.64,52.96,51.83,52.05,206168,HII
2013-03-22,52.44,53.06,52.19,52.41,174187,HII
2013-03-25,52.63,53.19,52.11,52.36,181150,HII
2013-03-26,52.4,53.34,52.4,53.2,190432,HII
2013-03-27,52.89,53.08,52.63,52.96,121414,HII
2013-03-28,53.08,53.47,52.94,53.33,122777,HII
2013-04-01,53.52,54.16,53.19,53.78,218437,HII
2013-04-02,53.94,53.96,52.29,52.48,228373,HII
2013-04-03,52.56,53.31,51.89,51.95,440087,HII
2013-04-04,52.19,52.67,51.79,51.91,163335,HII
2013-04-05,51.19,51.78,50.8775,51.58,134340,HII
2013-04-08,51.92,51.92,50.91,51.3,188395,HII
2013-04-09,51.26,51.44,50.41,51.08,213909,HII
2013-04-10,50.98,51.86,50.96,51.86,240673,HII
2013-04-11,51.86,52.3,51.8,52.13,109898,HII
2013-04-12,52.17,53.68,52.17,53.65,543391,HII
2013-04-15,53.28,53.58,51.5,51.87,321763,HII
2013-04-16,52.42,52.63,50.66,51.5,177088,HII
2013-04-17,51.12,51.315,50.03,50.63,137975,HII
2013-04-18,50.87,50.87,49.84,50.11,214935,HII
2013-04-19,50.23,50.62,49.905,50.27,149812,HII
2013-04-22,50.23,50.31,49.73,50.12,126359,HII
2013-04-23,50.28,51.01,50.28,50.98,142507,HII
2013-04-24,51.0,51.39,50.89,51.28,140020,HII
2013-04-25,51.51,52.51,51.36,52.48,201246,HII
2013-04-26,52.52,52.75,51.71,51.88,194380,HII
2013-04-29,52.08,52.99,52.08,52.91,190653,HII
2013-04-30,52.91,53.11,52.64,52.9,195621,HII
2013-05-01,52.73,53.06,51.88,51.93,132256,HII
2013-05-02,52.05,53.02,51.4273,52.95,169609,HII
2013-05-03,53.26,53.66,53.12,53.34,116444,HII
2013-05-06,53.23,53.75,52.84,53.44,137404,HII
2013-05-07,53.57,54.1,53.38,54.0,250170,HII
2013-05-08,54.0,54.45,52.55,53.52,179252,HII
2013-05-09,53.74,53.92,52.86,53.66,189638,HII
2013-05-10,53.7,54.0518,53.49,53.81,145078,HII
2013-05-13,53.64,53.8,53.3928,53.51,203631,HII
2013-05-14,53.56,54.24,53.5,54.15,227742,HII
2013-05-15,54.0,54.7,53.85,54.58,156987,HII
