date,open,high,low,close,volume,Name
2014-02-04,64.02,64.08,63.45,63.71,6660315,COP
2014-02-05,63.68,63.81,62.74,63.46,6528502,COP
2014-02-06,63.68,64.4,63.46,64.3,5546770,COP
2014-02-07,64.79,65.0,64.1643,64.97,5358528,COP
2014-02-10,64.96,64.96,64.13,64.58,5854828,COP
2014-02-11,64.65,65.7,64.595,65.57,5755216,COP
2014-02-12,66.63,66.79,65.09,65.22,6965405,COP
2014-02-13,64.44,65.11,64.23,64.71,5845309,COP
2014-02-14,64.66,65.65,64.5,65.53,4631145,COP
2014-02-18,65.57,65.726,65.2,65.37,4878197,COP
2014-02-19,65.26,66.0,64.99,65.0,6146035,COP
2014-02-20,64.98,65.2,64.87,64.92,6111916,COP
2014-02-21,64.99,65.03,64.63,64.68,6576402,COP
2014-02-24,65.0,66.79,64.98,66.42,8054529,COP
2014-02-25,66.3,66.85,66.14,66.52,5871703,COP
2014-02-26,66.63,66.8,65.8301,66.13,5160235,COP
2014-02-27,66.0,66.25,65.335,66.25,4988969,COP
2014-02-28,66.29,66.88,65.62,66.5,6263906,COP
2014-03-03,66.36,67.2,65.98,66.31,6218251,COP
2014-03-04,66.8,66.89,66.35,66.5,4907785,COP
2014-03-05,66.58,67.0,66.25,66.3,4675365,COP
2014-03-06,66.6,66.67,66.3,66.39,3998101,COP
2014-03-07,66.64,67.0,66.31,66.51,4938663,COP
2014-03-10,66.4,66.94,66.1,66.89,3712577,COP
2014-03-11,67.0,67.39,66.28,66.53,4415862,COP
2014-03-12,66.17,66.75,66.01,66.54,4135372,COP
2014-03-13,66.78,66.84,66.09,66.32,4531924,COP
2014-03-14,66.09,66.71,66.04,66.6,4648371,COP
2014-03-17,66.74,67.29,66.65,67.29,4664755,COP
2014-03-18,67.42,68.12,67.354,68.1,5658555,COP
2014-03-19,68.38,68.41,67.03,67.5,4322587,COP
2014-03-20,67.41,68.0,67.11,67.9,3968567,COP
2014-03-21,68.46,68.48,67.47,67.48,9094655,COP
2014-03-24,67.68,68.07,67.405,67.56,5340395,COP
2014-03-25,67.94,68.47,67.68,68.39,5986757,COP
2014-03-26,68.71,69.19,68.49,68.6,5732194,COP
2014-03-27,68.61,69.61,68.61,69.29,6049859,COP
2014-03-28,69.43,70.4,69.17,70.35,5763144,COP
2014-03-31,70.76,70.99,70.13,70.35,5020814,COP
2014-04-01,70.47,70.669,70.13,70.31,4958195,COP
2014-04-02,70.31,71.0,70.25,70.89,5672875,COP
2014-04-03,70.92,70.92,70.18,70.2,5161057,COP
2014-04-04,70.83,71.0,70.04,70.22,5520428,COP
2014-04-07,70.24,70.24,69.33,69.48,5528759,COP
2014-04-08,70.01,70.23,69.46,70.07,5757911,COP
2014-04-09,70.11,71.56,70.07,71.54,7536417,COP
2014-04-10,70.73,70.83,69.71,69.71,7581419,COP
2014-04-11,70.28,71.36,69.98,70.87,8390891,COP
2014-04-14,71.63,71.63,70.59,71.51,6240662,COP
2014-04-15,71.47,73.02,71.29,72.94,7615021,COP
2014-04-16,73.38,73.87,73.19,73.78,7285223,COP
2014-04-17,73.57,74.89,73.55,74.77,7230420,COP
2014-04-21,74.73,74.949,74.2,74.6,6329578,COP
2014-04-22,74.69,74.69,73.94,74.17,5092504,COP
2014-04-23,74.16,74.54,73.95,74.02,5285870,COP
2014-04-24,74.42,74.64,73.95,74.49,5250324,COP
2014-04-25,74.44,74.5,74.145,74.4,4658452,COP
2014-04-28,74.56,74.83,74.08,74.65,5190765,COP
2014-04-29,74.99,75.34,74.67,74.68,5293717,COP
2014-04-30,75.03,75.03,74.165,74.31,6854081,COP
2014-05-01,75.01,75.33,74.05,75.03,5895884,COP
