date,open,high,low,close,volume,Name
2016-12-30,56.66,57.81,56.49,57.48,2024048,O
2017-01-03,57.74,57.77,56.91,57.49,1973258,O
2017-01-04,57.65,58.45,57.4,58.35,1808582,O
2017-01-05,58.16,60.32,57.8,59.92,2276476,O
2017-01-06,59.64,60.31,59.19,59.84,1856824,O
2017-01-09,59.3,59.96,59.19,59.4,1938349,O
2017-01-10,59.39,59.66,58.6,58.69,1753437,O
2017-01-11,58.59,59.32,58.49,58.53,1575322,O
2017-01-12,58.49,59.68,58.256,59.57,1409692,O
2017-01-13,59.55,59.55,58.75,59.07,1046568,O
2017-01-17,59.18,60.32,59.17,60.13,1465159,O
2017-01-18,60.13,60.31,59.635,59.78,1908317,O
2017-01-19,59.56,59.67,58.91,59.18,1442260,O
2017-01-20,59.26,59.81,59.2,59.69,1562299,O
2017-01-23,59.75,60.59,59.644,60.26,1790643,O
2017-01-24,60.11,60.34,59.55,59.78,1593266,O
2017-01-25,59.9,60.09,59.2,59.62,1641644,O
2017-01-26,59.56,60.03,59.46,59.81,1794259,O
2017-01-27,59.95,60.04,59.1354,59.44,1933983,O
2017-01-30,59.17,59.66,58.86,59.29,2200928,O
2017-01-31,59.38,59.995,59.09,59.63,4800729,O
2017-02-01,59.43,59.73,58.05,58.31,5653126,O
2017-02-02,58.31,59.56,58.26,59.42,1634646,O
2017-02-03,59.88,60.4,59.46,59.82,1770376,O
2017-02-06,59.91,60.09,59.4901,59.82,1271071,O
2017-02-07,59.82,60.5,59.82,60.15,1690443,O
2017-02-08,60.06,60.92,59.97,60.5,1360234,O
2017-02-09,60.5,60.95,60.27,60.58,891123,O
2017-02-10,60.4,61.51,60.29,61.28,1091259,O
2017-02-13,61.15,61.775,61.0,61.62,1167322,O
2017-02-14,61.44,61.59,60.23,60.78,1602293,O
2017-02-15,60.49,60.55,59.71,60.32,1436414,O
2017-02-16,60.4,60.86,60.32,60.58,1629417,O
2017-02-17,60.61,61.24,60.43,60.8,1192045,O
2017-02-21,60.85,61.7335,60.6,61.52,1256262,O
2017-02-22,61.58,61.83,60.83,61.14,1132470,O
2017-02-23,61.72,62.93,61.225,62.86,1287423,O
2017-02-24,62.85,63.19,62.44,63.19,1658220,O
2017-02-27,63.01,63.6,62.48,63.14,1846341,O
2017-02-28,61.31,61.73,61.24,61.28,9907137,O
2017-03-01,61.06,61.2,60.33,60.6,3427983,O
2017-03-02,60.56,61.27,60.42,60.56,2902958,O
2017-03-03,60.6,60.78,59.25,60.34,2932032,O
2017-03-06,60.14,60.14,58.93,59.67,2482838,O
2017-03-07,59.47,59.89,59.32,59.84,1424573,O
2017-03-08,59.22,59.39,57.62,57.7,2528472,O
2017-03-09,57.71,58.47,56.9521,57.15,1941443,O
2017-03-10,57.49,58.26,57.1,57.39,1630708,O
2017-03-13,57.44,58.23,57.4,57.82,1797666,O
2017-03-14,57.67,57.98,57.38,57.74,1698575,O
2017-03-15,58.14,59.69,58.09,59.23,2304753,O
2017-03-16,59.23,59.63,58.97,59.06,1659110,O
2017-03-17,59.26,59.95,58.98,59.86,4593957,O
2017-03-20,59.85,60.06,59.43,59.46,1122690,O
2017-03-21,59.73,60.36,59.501,60.04,1913187,O
2017-03-22,60.38,60.43,59.31,59.94,1504874,O
2017-03-23,59.61,60.4099,59.53,59.68,1856761,O
2017-03-24,59.68,60.08,59.2,59.46,1896848,O
2017-03-27,59.43,60.4,58.853,59.07,1996955,O
2017-03-28,59.03,59.17,58.13,58.89,2278939,O
2017-03-29,58.9,59.23,58.59,59.07,1541795,O
