date,open,high,low,close,volume,Name
2013-02-13,46.84,47.18,46.63,47.1,638905,HRS
2013-02-14,46.96,47.87,46.87,47.74,932812,HRS
2013-02-15,47.94,47.97,47.45,47.61,900043,HRS
2013-02-19,47.57,48.06,47.3,47.65,971742,HRS
2013-02-20,47.18,47.88,47.18,47.46,847755,HRS
2013-02-21,47.21,47.21,46.68,47.0,878315,HRS
2013-02-22,47.13,48.2,47.13,47.98,858359,HRS
2013-02-25,48.26,48.37,47.1,47.1,978969,HRS
2013-02-26,47.09,47.46,46.901,47.31,775554,HRS
2013-02-27,47.34,48.49,47.34,48.06,924441,HRS
2013-02-28,47.92,48.44,47.92,48.07,816072,HRS
2013-03-01,47.85,48.17,47.33,47.71,684098,HRS
2013-03-04,47.51,47.73,47.05,47.33,490730,HRS
2013-03-05,47.33,47.51,47.02,47.23,620834,HRS
2013-03-06,46.79,46.8,45.39,45.73,1754181,HRS
2013-03-07,45.75,46.23,45.48,45.74,785884,HRS
2013-03-08,45.94,46.0,45.08,45.42,1025981,HRS
2013-03-11,45.38,45.45,44.59,44.82,1315876,HRS
2013-03-12,44.8,44.95,44.47,44.93,1218620,HRS
2013-03-13,44.94,45.425,44.66,45.26,878616,HRS
2013-03-14,45.44,45.5,44.77,44.89,854291,HRS
2013-03-15,44.74,44.93,44.22,44.36,1581432,HRS
2013-03-18,43.92,44.605,43.75,44.3,811491,HRS
2013-03-19,44.47,46.11,44.11,44.61,1141419,HRS
2013-03-20,44.89,45.16,44.7,44.98,763441,HRS
2013-03-21,44.58,44.91,44.13,44.13,963340,HRS
2013-03-22,44.26,44.31,43.7,43.99,940626,HRS
2013-03-25,44.05,44.71,44.03,44.63,1092381,HRS
2013-03-26,44.82,45.045,44.67,44.9,925337,HRS
2013-03-27,44.66,45.375,44.32,45.29,851265,HRS
2013-03-28,45.35,46.58,45.01,46.34,1314906,HRS
2013-04-01,46.29,46.29,45.75,46.04,1050284,HRS
2013-04-02,46.36,46.5,45.93,46.25,778169,HRS
2013-04-03,46.32,46.66,45.59,45.8,774738,HRS
2013-04-04,45.64,45.785,45.1,45.27,597366,HRS
2013-04-05,44.76,44.88,44.37,44.52,616287,HRS
2013-04-08,44.67,44.74,44.33,44.74,508681,HRS
2013-04-09,44.67,45.38,44.48,44.95,802474,HRS
2013-04-10,45.15,45.845,45.075,45.81,705696,HRS
2013-04-11,45.68,46.58,45.56,46.56,1023249,HRS
2013-04-12,44.8,45.75,43.85,44.06,2523086,HRS
2013-04-15,43.78,43.93,42.56,42.8,2147016,HRS
2013-04-16,42.97,43.1,42.15,42.36,1827837,HRS
2013-04-17,42.21,42.45,41.29,41.71,1755082,HRS
2013-04-18,41.63,41.83,41.08,41.66,1269203,HRS
2013-04-19,41.75,42.08,41.62,41.98,933018,HRS
2013-04-22,42.04,43.04,41.8,42.74,1221120,HRS
2013-04-23,42.99,43.22,42.72,43.1,1234646,HRS
2013-04-24,43.12,43.76,42.92,43.58,792022,HRS
2013-04-25,43.78,44.33,43.64,44.26,842208,HRS
2013-04-26,44.18,44.3,43.72,43.93,872679,HRS
2013-04-29,44.18,44.62,43.95,44.59,804952,HRS
2013-04-30,44.99,46.51,43.95,46.2,1602693,HRS
2013-05-01,45.92,45.92,45.2,45.22,983927,HRS
2013-05-02,45.41,46.07,45.3,45.9,900586,HRS
2013-05-03,46.39,46.65,46.26,46.47,690140,HRS
2013-05-06,46.42,46.785,46.18,46.6,603016,HRS
2013-05-07,46.68,47.31,46.49,47.2,644745,HRS
2013-05-08,47.06,48.45,47.01,48.29,963009,HRS
2013-05-09,48.26,48.96,48.11,48.52,963717,HRS
2013-05-10,48.57,48.98,48.32,48.79,716755,HRS
