date,open,high,low,close,volume,Name
2015-06-23,21.81,21.9,21.58,21.69,8715807,FITB
2015-06-24,21.65,21.7,21.485,21.52,5866735,FITB
2015-06-25,21.62,21.68,21.38,21.41,6666867,FITB
2015-06-26,21.41,21.53,21.24,21.27,7734775,FITB
2015-06-29,20.86,21.16,20.69,20.75,7856657,FITB
2015-06-30,20.99,21.16,20.655,20.82,9015455,FITB
2015-07-01,21.04,21.16,20.94,21.14,7907647,FITB
2015-07-02,21.03,21.08,20.71,20.93,9885975,FITB
2015-07-06,20.7,21.02,20.57,21.0,9560927,FITB
2015-07-07,20.94,20.96,20.34,20.71,8466947,FITB
2015-07-08,20.57,20.66,20.4,20.46,7299025,FITB
2015-07-09,20.73,20.8599,20.57,20.66,5393253,FITB
2015-07-10,20.9,21.02,20.7301,20.895,3688067,FITB
2015-07-13,21.11,21.16,20.965,21.09,3964698,FITB
2015-07-14,20.95,21.23,20.87,21.14,4972510,FITB
2015-07-15,21.2,21.38,21.13,21.26,4908134,FITB
2015-07-16,21.45,21.5,21.29,21.355,5380184,FITB
2015-07-17,21.25,21.26,20.97,21.13,4910874,FITB
2015-07-20,21.18,21.31,21.115,21.28,5979098,FITB
2015-07-21,21.4,21.93,21.4,21.52,10235702,FITB
2015-07-22,21.54,21.745,21.33,21.59,10230146,FITB
2015-07-23,21.54,21.7,21.24,21.3,6625268,FITB
2015-07-24,21.32,21.32,21.065,21.14,4526783,FITB
2015-07-27,20.99,21.08,20.79,20.85,5026281,FITB
2015-07-28,20.92,20.98,20.705,20.9,4614865,FITB
2015-07-29,20.86,21.14,20.84,21.11,4938308,FITB
2015-07-30,21.05,21.21,20.98,21.15,4108098,FITB
2015-07-31,21.15,21.21,21.01,21.07,4343010,FITB
2015-08-03,21.07,21.18,20.91,21.075,3783031,FITB
2015-08-04,21.05,21.43,20.91,21.16,6239138,FITB
2015-08-05,21.25,21.54,21.18,21.35,5123733,FITB
2015-08-06,21.39,21.46,21.15,21.23,4141283,FITB
2015-08-07,21.18,21.4,20.98,21.14,4831194,FITB
2015-08-10,21.33,21.74,21.28,21.71,4954300,FITB
2015-08-11,21.46,21.58,21.06,21.17,5129932,FITB
2015-08-12,20.97,20.98,20.46,20.68,6448984,FITB
2015-08-13,20.73,20.87,20.62,20.84,3464426,FITB
2015-08-14,20.85,21.18,20.76,21.11,6300777,FITB
2015-08-17,21.02,21.27,20.845,21.13,3951242,FITB
2015-08-18,21.12,21.28,21.03,21.16,4090845,FITB
2015-08-19,21.06,21.2,20.87,20.99,7777014,FITB
2015-08-20,20.84,20.85,20.435,20.46,8326847,FITB
2015-08-21,20.19,20.34,19.79,19.805,12231581,FITB
2015-08-24,18.71,19.305,18.32,18.69,13677159,FITB
2015-08-25,19.23,19.44,18.21,18.23,11572454,FITB
2015-08-26,18.82,19.24,18.64,19.19,15747788,FITB
2015-08-27,19.41,19.999,19.38,19.94,14027655,FITB
2015-08-28,19.87,20.02,19.78,19.97,6959525,FITB
2015-08-31,19.8,20.0,19.78,19.92,5887239,FITB
2015-09-01,19.42,19.5501,18.985,19.09,11162727,FITB
2015-09-02,19.43,19.49,19.0626,19.34,4977072,FITB
2015-09-03,19.38,19.74,19.26,19.5,5242424,FITB
2015-09-04,19.26,19.365,19.08,19.22,5228450,FITB
2015-09-08,19.68,19.82,19.25,19.81,4472501,FITB
2015-09-09,20.1,20.16,19.63,19.67,6713488,FITB
2015-09-10,19.56,19.96,19.28,19.78,5298176,FITB
2015-09-11,19.61,19.78,19.58,19.77,4384078,FITB
2015-09-14,19.74,19.995,19.69,19.84,4637400,FITB
2015-09-15,19.87,20.085,19.81,20.04,6206269,FITB
2015-09-16,20.1,20.15,19.83,20.11,5747381,FITB
2015-09-17,20.14,20.1701,19.305,19.4,10643818,FITB
