date,open,high,low,close,volume,Name
2013-03-11,176.87,177.44,176.29,176.5,452665,RL
2013-03-12,175.85,176.58,174.35,174.41,426890,RL
2013-03-13,175.07,175.57,172.65,173.03,879411,RL
2013-03-14,173.66,174.22,172.6101,173.16,671724,RL
2013-03-15,172.32,174.295,171.19,171.3,625088,RL
2013-03-18,169.67,171.278,168.87,169.22,700598,RL
2013-03-19,169.66,170.26,165.77,167.2,772471,RL
2013-03-20,168.55,171.11,167.28,170.51,883153,RL
2013-03-21,169.15,170.71,168.23,168.59,644150,RL
2013-03-22,169.72,170.49,167.64,168.41,706466,RL
2013-03-25,168.86,169.3299,165.9,167.44,751882,RL
2013-03-26,167.42,167.9,165.87,167.57,538010,RL
2013-03-27,166.97,170.03,165.91,169.71,725684,RL
2013-03-28,169.27,169.6,167.91,169.31,558707,RL
2013-04-01,169.12,169.6,166.29,166.75,748439,RL
2013-04-02,167.02,169.0199,166.9,167.93,559831,RL
2013-04-03,168.38,170.47,167.35,168.73,676181,RL
2013-04-04,168.7,169.64,168.31,169.62,313138,RL
2013-04-05,166.89,169.2,165.33,168.73,481603,RL
2013-04-08,168.52,169.87,167.5,169.6,293364,RL
2013-04-09,169.65,170.82,168.82,170.08,264577,RL
2013-04-10,170.68,173.15,170.23,172.6,280001,RL
2013-04-11,172.99,175.94,172.51,174.99,426301,RL
2013-04-12,174.22,174.69,172.33,174.02,350403,RL
2013-04-15,173.26,174.91,170.76,170.85,602167,RL
2013-04-16,172.0,172.3,169.21,171.28,391874,RL
2013-04-17,169.81,169.91,167.344,168.57,514358,RL
2013-04-18,168.95,169.05,166.34,167.35,381355,RL
2013-04-19,168.24,169.96,167.97,169.14,446031,RL
2013-04-22,169.01,169.46,165.38,165.93,779583,RL
2013-04-23,167.51,171.1197,167.51,170.75,865294,RL
2013-04-24,171.07,171.95,169.86,171.44,494223,RL
2013-04-25,171.88,176.08,171.88,175.38,501335,RL
2013-04-26,174.97,175.71,173.85,175.6,350180,RL
2013-04-29,175.72,177.34,174.57,177.0,589153,RL
2013-04-30,176.92,181.83,176.5,181.58,1117741,RL
2013-05-01,181.31,181.42,178.17,178.57,605273,RL
2013-05-02,179.17,179.75,176.64,177.54,544574,RL
2013-05-03,178.73,180.85,178.73,179.26,320206,RL
2013-05-06,179.29,181.805,178.6,180.92,474222,RL
2013-05-07,181.3,185.09,181.3,185.01,613386,RL
2013-05-08,184.96,185.5,184.09,185.37,268256,RL
2013-05-09,184.97,186.63,183.31,183.62,612681,RL
2013-05-10,184.0,185.1,183.44,185.0,274487,RL
2013-05-13,184.59,185.38,183.67,183.79,256615,RL
2013-05-14,184.29,186.77,183.64,186.55,652791,RL
2013-05-15,186.3,187.44,185.07,186.71,470313,RL
2013-05-16,186.5,187.09,183.33,184.8,758106,RL
2013-05-17,185.1,187.88,185.025,187.01,413075,RL
2013-05-20,186.89,187.5,186.19,186.68,742088,RL
2013-05-21,187.01,190.0,186.51,189.56,579759,RL
2013-05-22,189.28,192.03,187.91,188.06,1122122,RL
2013-05-23,179.99,184.49,177.81,183.69,1439380,RL
2013-05-24,182.64,183.2,180.1,180.97,1038533,RL
2013-05-28,182.75,183.29,178.37,178.47,1091713,RL
2013-05-29,178.39,179.68,176.71,177.33,811030,RL
2013-05-30,177.52,178.51,175.26,175.57,961139,RL
2013-05-31,175.39,177.92,174.84,175.09,847673,RL
2013-06-03,175.24,175.8899,172.45,175.65,774097,RL
2013-06-04,175.36,178.39,174.72,176.32,695037,RL
2013-06-05,175.15,175.97,173.6,173.74,331555,RL
