date,open,high,low,close,volume,Name
2014-01-08,21.02,21.225,21.0,21.13,7551353,FITB
2014-01-09,21.14,21.45,21.14,21.32,8873058,FITB
2014-01-10,21.25,21.545,21.25,21.53,8715286,FITB
2014-01-13,21.5,21.62,21.21,21.25,8251423,FITB
2014-01-14,21.31,21.525,21.21,21.36,7441279,FITB
2014-01-15,21.41,21.635,21.4,21.57,5218396,FITB
2014-01-16,21.49,21.55,21.31,21.37,5595082,FITB
2014-01-17,21.46,21.825,21.41,21.55,6735538,FITB
2014-01-21,21.63,21.89,21.63,21.82,6866616,FITB
2014-01-22,21.96,21.96,21.78,21.92,7739804,FITB
2014-01-23,21.65,21.91,21.35,21.52,11224659,FITB
2014-01-24,21.35,21.54,21.28,21.32,9540872,FITB
2014-01-27,21.9,21.91,21.09,21.13,9455841,FITB
2014-01-28,21.16,21.425,21.14,21.3,9397863,FITB
2014-01-29,21.14,21.335,20.9,20.95,12289989,FITB
2014-01-30,21.09,21.32,21.045,21.24,5822331,FITB
2014-01-31,20.98,21.27,20.81,21.02,7693354,FITB
2014-02-03,20.94,21.13,20.42,20.5,18238611,FITB
2014-02-04,20.55,20.87,20.37,20.59,10596703,FITB
2014-02-05,20.6,20.8,20.46,20.65,7677472,FITB
2014-02-06,20.98,21.11,20.835,21.08,7596799,FITB
2014-02-07,21.12,21.25,20.91,21.1,6826570,FITB
2014-02-10,21.5,21.5,21.14,21.27,8595313,FITB
2014-02-11,21.23,21.44,20.94,21.37,9048410,FITB
2014-02-12,21.46,21.665,21.28,21.36,9049391,FITB
2014-02-13,21.29,21.54,21.19,21.54,6968174,FITB
2014-02-14,21.46,21.72,21.42,21.63,5548480,FITB
2014-02-18,21.68,21.8,21.58,21.66,6896202,FITB
2014-02-19,21.63,21.66,21.26,21.31,10907426,FITB
2014-02-20,21.29,21.395,21.12,21.34,7189716,FITB
2014-02-21,21.39,21.605,21.34,21.44,8206416,FITB
2014-02-24,21.45,21.7,21.45,21.61,9382763,FITB
2014-02-25,21.66,21.74,21.44,21.61,7967540,FITB
2014-02-26,21.67,21.73,21.4999,21.66,7200968,FITB
2014-02-27,21.67,21.72,21.51,21.72,6945764,FITB
2014-02-28,21.76,21.86,21.56,21.695,12470540,FITB
2014-03-03,21.53,21.58,21.41,21.52,8702066,FITB
2014-03-04,21.78,22.05,21.66,21.96,10185610,FITB
2014-03-05,21.94,22.23,21.88,22.2,7129934,FITB
2014-03-06,22.25,22.42,22.23,22.3,5626541,FITB
2014-03-07,22.42,22.75,22.42,22.63,7670944,FITB
2014-03-10,22.56,22.7,22.46,22.7,6099768,FITB
2014-03-11,22.72,22.745,22.4401,22.51,5603209,FITB
2014-03-12,22.39,22.57,22.29,22.53,6214526,FITB
2014-03-13,22.56,22.73,22.345,22.43,6998000,FITB
2014-03-14,22.37,22.53,22.23,22.34,6313858,FITB
2014-03-17,22.81,22.83,22.42,22.6,5794283,FITB
2014-03-18,22.61,22.84,22.51,22.78,7586932,FITB
2014-03-19,22.76,23.0,22.64,22.83,6884687,FITB
2014-03-20,22.84,23.49,22.8,23.36,9007649,FITB
2014-03-21,23.63,23.9,23.31,23.39,17741967,FITB
2014-03-24,23.49,23.68,23.24,23.38,6801801,FITB
2014-03-25,23.42,23.515,23.3,23.34,7236521,FITB
2014-03-26,23.51,23.56,23.25,23.26,6929301,FITB
2014-03-27,23.12,23.24,22.41,22.55,13658554,FITB
2014-03-28,22.58,22.85,22.48,22.72,5163714,FITB
2014-03-31,22.93,23.03,22.83,22.955,6437766,FITB
2014-04-01,23.09,23.18,22.89,23.08,5466522,FITB
2014-04-02,23.14,23.185,22.95,23.06,5085757,FITB
2014-04-03,23.17,23.215,23.04,23.19,7500018,FITB
2014-04-04,23.25,23.405,22.89,22.92,6820678,FITB
