date,open,high,low,close,volume,Name
2016-10-06,166.33,167.79,165.79,166.9,1904070,AMGN
2016-10-07,167.94,168.1499,166.3,167.5,1679823,AMGN
2016-10-10,168.2,168.59,167.67,168.31,1628204,AMGN
2016-10-11,167.82,167.82,163.51,164.32,2761896,AMGN
2016-10-12,164.32,165.59,163.611,163.88,2251091,AMGN
2016-10-13,162.85,165.09,162.51,164.29,2430900,AMGN
2016-10-14,165.05,165.25,161.84,161.9,2817469,AMGN
2016-10-17,162.2,163.45,161.14,162.62,2348428,AMGN
2016-10-18,163.74,163.86,162.75,162.8,2001839,AMGN
2016-10-19,163.42,163.61,161.02,161.08,2502725,AMGN
2016-10-20,161.0,163.35,161.0,161.5,2922591,AMGN
2016-10-21,160.69,161.22,158.35,158.51,3540978,AMGN
2016-10-24,159.36,159.7,158.24,158.76,2920217,AMGN
2016-10-25,158.84,159.27,157.7962,157.895,2414661,AMGN
2016-10-26,158.68,160.05,158.03,158.99,2716811,AMGN
2016-10-27,159.71,161.6,159.64,160.57,3366867,AMGN
2016-10-28,151.69,151.76,142.64,145.18,18311555,AMGN
2016-10-31,146.55,146.68,140.94,141.16,8693717,AMGN
2016-11-01,141.17,142.41,139.31,140.76,5589294,AMGN
2016-11-02,140.31,140.61,138.64,138.7,4622489,AMGN
2016-11-03,139.7,139.77,135.0,135.22,5791248,AMGN
2016-11-04,133.71,137.6102,133.64,135.4,5051463,AMGN
2016-11-07,137.85,140.23,137.16,139.21,5146015,AMGN
2016-11-08,139.55,140.0,137.35,138.45,3668544,AMGN
2016-11-09,146.75,152.85,142.75,146.42,11793445,AMGN
2016-11-10,150.4,152.23,148.76,151.57,8933669,AMGN
2016-11-11,150.05,150.84,146.8,149.04,5159413,AMGN
2016-11-14,148.47,149.15,146.01,146.42,5059964,AMGN
2016-11-15,146.87,148.46,145.01,147.06,4515112,AMGN
2016-11-16,147.57,148.5,146.4433,147.23,4108195,AMGN
2016-11-17,147.73,148.45,146.51,147.36,3957285,AMGN
2016-11-18,147.05,148.35,144.9,145.23,3764649,AMGN
2016-11-21,145.99,146.17,145.11,145.55,2860513,AMGN
2016-11-22,146.82,146.95,142.82,144.33,3586160,AMGN
2016-11-23,142.94,145.17,142.84,145.03,3217158,AMGN
2016-11-25,145.22,146.0,144.76,145.43,2004017,AMGN
2016-11-28,145.25,145.9199,144.5,145.07,2411697,AMGN
2016-11-29,145.36,146.79,145.31,146.0,2939137,AMGN
2016-11-30,145.7,146.32,144.07,144.07,4296889,AMGN
2016-12-01,144.24,144.24,142.14,142.39,3893950,AMGN
2016-12-02,142.29,144.91,141.5,144.01,3517303,AMGN
2016-12-05,145.45,146.37,143.72,145.29,3855532,AMGN
2016-12-06,145.8,145.99,144.28,145.11,2399021,AMGN
2016-12-07,143.52,143.88,139.66,141.19,7031325,AMGN
2016-12-08,140.83,141.0981,138.83,140.59,4387570,AMGN
2016-12-09,141.5,144.58,141.0,143.45,4638007,AMGN
2016-12-12,142.92,146.04,142.79,145.76,3310134,AMGN
2016-12-13,146.81,149.97,146.55,148.37,4308659,AMGN
2016-12-14,148.16,149.55,147.42,148.69,3196690,AMGN
2016-12-15,149.18,150.47,148.78,150.39,2950495,AMGN
2016-12-16,150.92,151.21,148.81,149.37,6356824,AMGN
2016-12-19,149.75,150.35,147.21,147.74,3013834,AMGN
2016-12-20,146.82,147.99,146.47,147.22,2615588,AMGN
2016-12-21,147.07,147.625,145.7,146.17,2491817,AMGN
2016-12-22,146.31,146.61,145.12,146.36,1820943,AMGN
2016-12-23,146.35,147.73,146.24,147.55,2169741,AMGN
2016-12-27,147.77,150.11,147.77,148.36,1940952,AMGN
2016-12-28,148.63,149.15,147.36,147.67,1803975,AMGN
2016-12-29,147.37,148.6931,147.37,147.78,1655469,AMGN
2016-12-30,147.63,148.75,145.62,146.21,3193143,AMGN
2017-01-03,147.86,151.0,147.12,150.73,3640901,AMGN
