date,open,high,low,close,volume,Name
2016-10-03,67.02,67.1,66.635,66.96,1392513,MMC
2016-10-04,66.92,66.96,66.11,66.33,2244489,MMC
2016-10-05,66.53,66.92,66.19,66.32,2128696,MMC
2016-10-06,65.97,66.61,65.6,66.39,2253729,MMC
2016-10-07,66.49,66.87,66.225,66.65,2029271,MMC
2016-10-10,67.0,67.23,66.41,66.43,1499308,MMC
2016-10-11,66.1,66.37,65.39,65.53,1596000,MMC
2016-10-12,65.7,66.34,65.66,66.17,1503569,MMC
2016-10-13,65.8,66.1,65.44,65.68,1866749,MMC
2016-10-14,66.17,66.69,65.99,65.99,1914442,MMC
2016-10-17,66.13,66.13,65.28,65.33,1803177,MMC
2016-10-18,66.0,66.03,65.09,65.14,2493340,MMC
2016-10-19,65.34,65.81,65.16,65.8,2297071,MMC
2016-10-20,65.55,65.57,65.04,65.22,1585393,MMC
2016-10-21,64.66,65.17,64.37,65.03,1617385,MMC
2016-10-24,65.38,65.59,64.91,64.97,1748986,MMC
2016-10-25,64.22,64.56,62.33,62.7,5327185,MMC
2016-10-26,62.46,63.5,62.41,63.22,3427322,MMC
2016-10-27,63.42,63.57,62.855,63.18,2804517,MMC
2016-10-28,63.37,64.225,63.25,63.45,2350215,MMC
2016-10-31,63.69,63.78,63.04,63.39,1804173,MMC
2016-11-01,63.6,63.65,62.61,62.86,2652123,MMC
2016-11-02,62.95,63.43,62.87,62.96,3108312,MMC
2016-11-03,63.21,63.995,63.148,63.64,1963409,MMC
2016-11-04,63.96,64.27,63.47,63.9,2361480,MMC
2016-11-07,64.91,65.11,64.5,65.09,2202190,MMC
2016-11-08,65.04,65.68,64.85,65.38,2020880,MMC
2016-11-09,65.79,67.145,64.5,66.91,4302414,MMC
2016-11-10,67.48,68.28,66.85,67.8,3746610,MMC
2016-11-11,67.65,68.34,67.38,67.78,2424910,MMC
2016-11-14,68.1,68.3401,67.26,67.61,2803903,MMC
2016-11-15,67.42,67.83,67.325,67.73,1777412,MMC
2016-11-16,67.56,68.0299,67.42,67.7,1789487,MMC
2016-11-17,67.75,69.155,67.75,69.07,1960739,MMC
2016-11-18,69.05,69.434,68.83,69.23,2058586,MMC
2016-11-21,69.41,69.69,68.95,69.21,1924604,MMC
2016-11-22,69.32,69.58,69.03,69.4,1876559,MMC
2016-11-23,69.51,69.6,68.87,69.46,1967969,MMC
2016-11-25,69.42,69.77,69.21,69.77,928184,MMC
2016-11-28,69.33,69.74,68.87,68.91,2043053,MMC
2016-11-29,69.12,69.22,68.83,68.98,1772373,MMC
2016-11-30,69.38,69.76,69.0,69.31,2927113,MMC
2016-12-01,69.39,69.47,68.64,68.9,2267353,MMC
2016-12-02,69.13,69.13,68.23,68.39,1560533,MMC
2016-12-05,68.94,69.41,68.49,68.69,1894084,MMC
2016-12-06,68.76,68.94,68.36,68.78,2675016,MMC
2016-12-07,68.91,69.56,68.65,69.43,2677315,MMC
2016-12-08,69.57,69.64,68.92,69.33,2622548,MMC
2016-12-09,69.25,69.66,69.09,69.47,3119180,MMC
2016-12-12,69.35,69.5801,69.135,69.46,2953020,MMC
2016-12-13,69.55,69.74,69.13,69.32,3797707,MMC
2016-12-14,69.22,69.57,68.39,68.54,3207759,MMC
2016-12-15,68.69,69.23,68.375,68.56,2446386,MMC
2016-12-16,68.35,68.96,68.1,68.46,4240768,MMC
2016-12-19,68.56,69.05,68.385,68.68,3181830,MMC
2016-12-20,68.93,68.95,68.16,68.39,2433719,MMC
2016-12-21,68.31,68.8,68.22,68.31,1762695,MMC
2016-12-22,68.24,68.56,68.07,68.41,1268190,MMC
2016-12-23,68.5,68.73,68.37,68.52,1796582,MMC
2016-12-27,68.55,68.61,68.16,68.2,1214800,MMC
2016-12-28,68.39,68.535,67.72,67.72,1180458,MMC
