date,open,high,low,close,volume,Name
2018-02-01,109.27,113.12,109.07,111.15,1451224,KLAC
2018-02-02,110.04,110.18,106.47,106.52,1504833,KLAC
2018-02-05,106.0,107.3,101.19,101.2,1885779,KLAC
2018-02-06,99.12,105.3,98.73,105.23,2185559,KLAC
2018-02-07,104.37,105.43,102.07,102.66,1631087,KLAC
2013-02-08,90.98,91.57,90.63,90.9,1652253,KMB
2013-02-11,90.24,90.92,90.21,90.4,1837930,KMB
2013-02-12,90.54,90.58,89.75,89.9,1961296,KMB
2013-02-13,89.85,90.08,89.38,89.89,1889876,KMB
2013-02-14,89.87,90.545,89.79,90.19,1813835,KMB
2013-02-15,90.43,91.27,90.26,91.2,2202160,KMB
2013-02-19,91.33,92.22,91.3101,92.21,2391553,KMB
2013-02-20,92.21,92.67,91.73,91.74,2464757,KMB
2013-02-21,91.51,92.27,91.13,91.86,1779436,KMB
2013-02-22,91.88,94.51,91.8775,94.5,4713572,KMB
2013-02-25,94.61,95.9,94.24,94.24,4724966,KMB
2013-02-26,94.36,95.035,93.82,94.22,3877010,KMB
2013-02-27,94.0,95.47,93.74,95.19,1838834,KMB
2013-02-28,95.18,95.91,94.28,94.28,2814530,KMB
2013-03-01,94.22,94.56,93.75,94.3,2323754,KMB
2013-03-04,94.3,95.05,94.17,95.04,1566882,KMB
2013-03-05,95.36,96.5,95.36,95.87,1919431,KMB
2013-03-06,95.25,95.45,94.4,94.64,1661104,KMB
2013-03-07,94.8,95.22,93.97,93.97,2030793,KMB
2013-03-08,94.32,94.38,93.62,94.19,2315766,KMB
2013-03-11,94.23,94.68,93.79,93.88,2222064,KMB
2013-03-12,93.68,94.415,93.62,94.08,1919877,KMB
2013-03-13,94.0,94.24,93.3,93.4,2113132,KMB
2013-03-14,93.64,94.075,93.6,93.78,1874690,KMB
2013-03-15,93.52,93.98,92.66,93.26,3313271,KMB
2013-03-18,92.2,93.21,91.91,92.9,2171628,KMB
2013-03-19,92.9,94.0,92.89,93.9,1862762,KMB
2013-03-20,94.04,95.75,94.03,95.54,2748354,KMB
2013-03-21,95.31,95.35,94.31,94.93,2710853,KMB
2013-03-22,95.0,95.9,94.96,95.66,1702238,KMB
2013-03-25,95.9,95.95,94.44,94.54,2852990,KMB
2013-03-26,94.99,97.375,94.99,97.32,3397403,KMB
2013-03-27,96.75,97.16,96.37,96.91,1949629,KMB
2013-03-28,96.67,97.99,96.47,97.98,2361549,KMB
2013-04-01,97.57,98.11,97.3,97.93,1558558,KMB
2013-04-02,98.29,99.89,97.81,99.79,2590535,KMB
2013-04-03,99.88,100.0,97.55,97.89,2766234,KMB
2013-04-04,98.15,98.61,97.85,98.47,1818011,KMB
2013-04-05,97.61,99.71,97.35,99.31,2859226,KMB
2013-04-08,99.12,99.45,98.23,99.45,1424034,KMB
2013-04-09,99.4,99.56,98.75,99.31,1551568,KMB
2013-04-10,99.62,100.45,99.44,100.3,1726349,KMB
2013-04-11,100.36,101.21,100.07,101.12,2230008,KMB
2013-04-12,100.87,101.68,100.64,101.23,1384091,KMB
2013-04-15,100.9,101.84,100.19,100.21,1778858,KMB
2013-04-16,100.81,102.03,100.44,101.58,1739026,KMB
2013-04-17,101.28,101.68,100.33,100.66,1850556,KMB
2013-04-18,100.64,102.48,100.64,101.36,2618228,KMB
2013-04-19,105.0,106.541,103.88,106.1,4551619,KMB
2013-04-22,105.23,105.72,104.611,105.59,3502291,KMB
2013-04-23,105.8,106.24,104.2601,105.49,4466375,KMB
2013-04-24,105.16,105.4,103.31,103.4,3413430,KMB
2013-04-25,104.13,104.13,103.32,103.46,2058342,KMB
2013-04-26,103.55,104.09,102.98,103.12,2317916,KMB
2013-04-29,103.07,103.61,102.8,103.31,2240783,KMB
2013-04-30,102.99,103.32,102.536,103.19,1750213,KMB
