date,open,high,low,close,volume,Name
2016-01-07,57.42,59.04,57.03,57.83,3030842,WDC
2016-01-08,57.96,58.06,54.79,55.39,3829431,WDC
2016-01-11,55.88,56.23,52.25,52.8,5479528,WDC
2016-01-12,53.19,54.23,51.5,52.36,5217010,WDC
2016-01-13,52.38,53.08,49.47,49.99,7352871,WDC
2016-01-14,50.33,50.43,48.14,49.25,6007837,WDC
2016-01-15,47.84,48.22,45.9,47.24,7173772,WDC
2016-01-19,48.13,48.26,45.54,46.45,4642076,WDC
2016-01-20,45.58,46.05,43.11,45.79,6382494,WDC
2016-01-21,46.09,46.09,43.135,43.94,7295247,WDC
2016-01-22,45.23,45.88,43.94,44.75,5539086,WDC
2016-01-25,44.74,44.74,42.28,42.47,5467115,WDC
2016-01-26,42.69,46.5,42.4732,45.34,7895045,WDC
2016-01-27,45.62,45.91,43.5,43.67,6026102,WDC
2016-01-28,44.19,46.05,43.96,45.69,6465546,WDC
2016-01-29,46.15,51.09,46.01,47.98,11064889,WDC
2016-02-01,47.61,49.86,47.0,49.19,6419228,WDC
2016-02-02,48.85,49.25,46.6,46.89,3661401,WDC
2016-02-03,47.25,48.14,46.47,48.04,4073407,WDC
2016-02-04,47.92,51.16,47.89,49.14,6379392,WDC
2016-02-05,48.89,49.31,45.79,45.86,5234483,WDC
2016-02-08,45.37,45.45,40.94,41.91,7397732,WDC
2016-02-09,41.81,41.93,39.61,40.18,6549346,WDC
2016-02-10,40.48,41.03,39.7,40.23,4508949,WDC
2016-02-11,39.77,40.97,38.64,40.1,4903098,WDC
2016-02-12,40.51,41.3,39.15,41.08,3818391,WDC
2016-02-16,41.61,42.96,41.58,42.78,4197360,WDC
2016-02-17,43.08,44.19,42.69,43.29,4520208,WDC
2016-02-18,43.46,44.84,42.52,44.41,4605997,WDC
2016-02-19,44.23,44.35,42.63,44.12,3958501,WDC
2016-02-22,44.73,46.35,44.67,46.1,4253608,WDC
2016-02-23,43.31,45.5,42.6,42.77,8429775,WDC
2016-02-24,42.57,43.97,41.58,43.92,5516096,WDC
2016-02-25,43.68,44.2588,42.18,43.99,4806196,WDC
2016-02-26,44.32,44.94,43.68,43.89,3387825,WDC
2016-02-29,43.07,44.1299,42.62,43.53,5454736,WDC
2016-03-01,44.14,46.13,43.23,46.1,6967065,WDC
2016-03-02,46.18,47.475,45.32,47.35,5748599,WDC
2016-03-03,47.34,49.01,47.27,48.66,4405160,WDC
2016-03-04,48.62,49.75,47.69,48.86,5019435,WDC
2016-03-07,48.21,51.27,48.17,50.07,6168261,WDC
2016-03-08,50.0,50.07,46.35,46.44,6851288,WDC
2016-03-09,46.77,48.28,46.41,47.44,4792668,WDC
2016-03-10,47.88,48.37,46.2,47.89,4642024,WDC
2016-03-11,48.87,49.93,48.71,49.88,5183923,WDC
2016-03-14,49.43,49.8,47.39,48.19,4357960,WDC
2016-03-15,47.89,48.0955,45.54,45.61,5349182,WDC
2016-03-16,45.52,46.5,44.735,46.13,4990947,WDC
2016-03-17,45.82,46.99,45.7011,46.0,4226105,WDC
2016-03-18,46.29,49.09,46.0,49.02,11777714,WDC
2016-03-21,49.15,49.69,48.501,49.29,4098881,WDC
2016-03-22,48.53,51.68,48.51,51.34,6943369,WDC
2016-03-23,51.2,51.35,48.62,48.72,6578824,WDC
2016-03-24,48.63,48.7,46.71,48.12,5932904,WDC
2016-03-28,47.61,48.64,47.415,48.08,4257662,WDC
2016-03-29,48.0,48.5832,46.78,48.32,4850945,WDC
2016-03-30,48.22,48.34,44.9,46.14,9783250,WDC
2016-03-31,46.11,47.4,45.59,47.24,5202119,WDC
2016-04-01,46.88,46.9999,45.8,46.6,4008106,WDC
2016-04-04,46.41,47.0,45.97,46.27,3553688,WDC
2016-04-05,45.75,45.9,43.815,44.13,6061641,WDC
