date,open,high,low,close,volume,Name
2013-02-11,55.32,55.55,54.68,54.98,1318592,EFX
2013-02-12,55.08,55.15,54.15,54.32,1205178,EFX
2013-02-13,54.37,54.49,53.73,54.01,1381949,EFX
2013-02-14,53.93,54.517,53.641,54.25,716891,EFX
2013-02-15,54.39,55.295,54.19,55.17,1035030,EFX
2013-02-19,55.16,56.26,53.47,55.8,1215607,EFX
2013-02-20,55.74,56.146,54.04,54.05,1580616,EFX
2013-02-21,54.01,54.31,53.6521,53.98,1451823,EFX
2013-02-22,54.17,54.63,53.94,54.15,762232,EFX
2013-02-25,54.37,54.71,53.13,53.13,1110506,EFX
2013-02-26,53.28,53.58,52.79,53.33,907293,EFX
2013-02-27,53.53,54.42,53.33,54.41,1120597,EFX
2013-02-28,54.4,55.13,54.19,55.12,1303900,EFX
2013-03-01,54.79,56.13,54.77,55.86,1431187,EFX
2013-03-04,55.96,56.46,55.68,56.28,1173617,EFX
2013-03-05,56.35,57.02,56.275,56.67,977908,EFX
2013-03-06,56.95,57.16,56.76,56.82,727948,EFX
2013-03-07,56.84,56.865,56.34,56.5,679174,EFX
2013-03-08,56.76,56.89,55.95,56.82,897878,EFX
2013-03-11,56.83,56.9825,56.47,56.72,882968,EFX
2013-03-12,56.73,56.85,56.12,56.54,1132359,EFX
2013-03-13,56.43,56.71,55.39,56.5,984492,EFX
2013-03-14,56.72,56.84,56.38,56.49,913967,EFX
2013-03-15,56.28,56.63,56.1,56.43,1381977,EFX
2013-03-18,56.01,56.45,55.62,56.17,977306,EFX
2013-03-19,56.36,56.78,55.88,56.23,807783,EFX
2013-03-20,56.36,57.23,56.07,56.86,716382,EFX
2013-03-21,56.56,56.83,56.42,56.61,456703,EFX
2013-03-22,56.8,56.8,56.215,56.41,465220,EFX
2013-03-25,56.49,56.6,56.05,56.24,879139,EFX
2013-03-26,56.48,56.53,56.28,56.46,527913,EFX
2013-03-27,56.18,56.7,55.83,56.63,516529,EFX
2013-03-28,56.59,57.675,56.44,57.59,792142,EFX
2013-04-01,57.46,57.63,56.34,56.74,416603,EFX
2013-04-02,56.99,57.41,56.59,57.36,738241,EFX
2013-04-03,57.27,57.39,56.18,56.21,749410,EFX
2013-04-04,56.35,56.71,56.0,56.69,597865,EFX
2013-04-05,56.04,56.31,55.87,56.28,586170,EFX
2013-04-08,56.22,57.02,56.22,56.97,668800,EFX
2013-04-09,57.14,58.17,57.13,57.96,557080,EFX
2013-04-10,58.08,59.08,57.73,58.84,779159,EFX
2013-04-11,58.81,59.37,58.59,59.12,808766,EFX
2013-04-12,58.95,59.2,58.7,58.95,709285,EFX
2013-04-15,58.69,58.85,57.81,57.84,873375,EFX
2013-04-16,58.33,58.64,57.97,58.48,763027,EFX
2013-04-17,58.26,58.725,57.88,58.59,852089,EFX
2013-04-18,58.69,58.9,58.24,58.76,762275,EFX
2013-04-19,58.89,58.98,57.71,58.62,1242344,EFX
2013-04-22,58.7,59.61,58.14,59.26,1136633,EFX
2013-04-23,59.38,60.11,58.14,59.94,1115154,EFX
2013-04-24,60.25,60.315,59.85,59.92,1379406,EFX
2013-04-25,60.34,62.0,60.34,61.63,949930,EFX
2013-04-26,61.84,61.842,61.241,61.33,551849,EFX
2013-04-29,61.35,61.4,60.66,60.92,806994,EFX
2013-04-30,60.94,61.34,60.76,61.2,1274554,EFX
2013-05-01,60.99,61.71,60.99,61.34,973296,EFX
2013-05-02,61.37,61.72,61.02,61.43,911323,EFX
2013-05-03,61.91,62.81,61.75,62.14,978931,EFX
2013-05-06,62.05,62.58,62.014,62.58,576955,EFX
2013-05-07,62.64,63.24,62.6125,62.99,498923,EFX
2013-05-08,62.91,63.12,62.675,62.82,598922,EFX
