date,open,high,low,close,volume,Name
2013-02-11,17.79,17.95,17.66,17.79,4462824,MAS
2013-02-12,19.3,20.435,19.04,20.01,23556699,MAS
2013-02-13,20.1,20.7,20.08,20.36,8811253,MAS
2013-02-14,20.45,20.45,20.08,20.11,5630945,MAS
2013-02-15,20.22,20.25,19.94,20.0,4604123,MAS
2013-02-19,20.04,20.13,19.75,19.98,6407770,MAS
2013-02-20,19.88,19.89,18.64,18.73,8109855,MAS
2013-02-21,18.63,18.76,18.41,18.64,7450878,MAS
2013-02-22,18.76,19.03,18.75,18.92,3642479,MAS
2013-02-25,19.03,19.18,17.98,18.01,5852790,MAS
2013-02-26,18.19,18.81,17.98,18.72,6840548,MAS
2013-02-27,18.74,19.32,18.73,19.2,4056253,MAS
2013-02-28,19.2,19.49,19.1,19.26,2950198,MAS
2013-03-01,19.12,19.37,18.815,19.22,4112099,MAS
2013-03-04,19.1,19.51,19.04,19.51,3258272,MAS
2013-03-05,19.66,20.18,19.6105,20.02,4859659,MAS
2013-03-06,20.14,20.24,19.705,19.89,3776204,MAS
2013-03-07,19.97,20.24,19.74,19.96,4745079,MAS
2013-03-08,20.16,20.28,19.88,19.94,4084416,MAS
2013-03-11,20.21,20.26,19.82,19.85,5071144,MAS
2013-03-12,19.85,19.89,19.39,19.56,3898472,MAS
2013-03-13,19.6,20.23,19.51,20.19,4992824,MAS
2013-03-14,20.24,20.55,20.22,20.27,4599021,MAS
2013-03-15,20.24,20.39,19.93,19.96,5621030,MAS
2013-03-18,19.71,20.44,19.62,20.22,4652950,MAS
2013-03-19,20.36,20.62,20.11,20.41,4061054,MAS
2013-03-20,20.54,21.065,20.54,20.94,4622364,MAS
2013-03-21,20.78,20.85,20.09,20.54,6762669,MAS
2013-03-22,20.59,20.69,20.39,20.6,2778662,MAS
2013-03-25,20.68,20.94,20.36,20.55,3292672,MAS
2013-03-26,20.63,20.82,20.34,20.64,3701530,MAS
2013-03-27,20.46,20.535,20.155,20.5,2483043,MAS
2013-03-28,20.52,20.55,20.13,20.25,3620457,MAS
2013-04-01,20.27,20.29,19.76,19.89,2667064,MAS
2013-04-02,19.95,20.09,19.51,19.64,2714002,MAS
2013-04-03,19.57,19.745,18.96,19.2,4538437,MAS
2013-04-04,19.23,19.59,19.01,19.23,5569648,MAS
2013-04-05,18.91,19.35,18.46,19.28,4466813,MAS
2013-04-08,19.27,19.64,19.11,19.6,4412186,MAS
2013-04-09,19.66,19.77,19.43,19.59,3810925,MAS
2013-04-10,19.61,19.85,19.49,19.83,3370076,MAS
2013-04-11,19.85,20.245,19.81,20.16,4157545,MAS
2013-04-12,20.1,20.29,19.84,20.11,3230895,MAS
2013-04-15,19.94,19.96,18.57,18.65,7203860,MAS
2013-04-16,18.96,19.39,18.8,19.33,5055629,MAS
2013-04-17,19.1,19.1,18.51,19.0,4946585,MAS
2013-04-18,19.09,19.115,18.6,18.79,4147785,MAS
2013-04-19,18.87,19.4,18.79,19.27,3258659,MAS
2013-04-22,19.32,19.34,18.86,19.21,3001176,MAS
2013-04-23,19.41,20.04,19.41,20.03,5114164,MAS
2013-04-24,20.12,20.47,19.96,20.31,4098827,MAS
2013-04-25,20.41,20.591,20.29,20.35,4194346,MAS
2013-04-26,20.31,20.69,20.1701,20.62,5185375,MAS
2013-04-29,20.71,20.92,20.405,20.42,7679034,MAS
2013-04-30,20.15,20.44,19.2,19.44,12641976,MAS
2013-05-01,19.43,20.29,19.43,20.11,8326681,MAS
2013-05-02,20.12,21.1,20.12,20.96,6169948,MAS
2013-05-03,21.27,22.1,21.265,21.6,7423328,MAS
2013-05-06,21.61,21.75,21.42,21.59,5294515,MAS
2013-05-07,21.68,21.74,21.23,21.58,5405746,MAS
2013-05-08,21.59,21.59,21.27,21.4,3768270,MAS
