date,open,high,low,close,volume,Name
2016-09-28,283.82,283.82,280.63,281.92,658686,SHW
2016-09-29,281.77,282.5,276.26,277.3,733263,SHW
2016-09-30,278.73,279.7,274.89,276.66,724765,SHW
2016-10-03,275.92,276.39,274.93,275.84,609536,SHW
2016-10-04,276.04,276.72,271.0,271.0,929434,SHW
2016-10-05,271.86,273.02,270.62,272.09,746008,SHW
2016-10-06,271.7,274.71,270.51,274.07,831410,SHW
2016-10-07,271.18,271.18,261.39,268.74,2340734,SHW
2016-10-10,271.53,274.97,270.0,270.74,744639,SHW
2016-10-11,269.64,270.04,265.6,267.41,1250634,SHW
2016-10-12,267.48,269.68,266.49,269.03,521365,SHW
2016-10-13,267.18,270.52,266.07,269.46,617419,SHW
2016-10-14,271.1,271.23,268.38,268.4,534687,SHW
2016-10-17,268.48,270.43,268.32,269.59,507967,SHW
2016-10-18,271.31,271.54,268.7,270.85,419245,SHW
2016-10-19,270.76,272.15,269.02,271.5,628785,SHW
2016-10-20,272.56,277.22,272.255,275.83,957486,SHW
2016-10-21,273.64,277.63,272.98,277.14,736093,SHW
2016-10-24,278.53,279.07,276.22,277.88,923158,SHW
2016-10-25,255.55,258.0,246.68,247.61,6005407,SHW
2016-10-26,247.54,251.92,247.0,249.23,1614189,SHW
2016-10-27,249.29,250.04,246.13,247.6,1173887,SHW
2016-10-28,247.11,248.71,241.74,244.73,1713248,SHW
2016-10-31,246.28,247.41,243.76,244.86,964504,SHW
2016-11-01,245.85,245.85,239.48,240.63,1341992,SHW
2016-11-02,240.95,243.72,240.4,242.48,931284,SHW
2016-11-03,243.95,245.05,241.28,241.52,678562,SHW
2016-11-04,242.78,245.47,242.5,242.54,815938,SHW
2016-11-07,246.47,248.68,245.09,247.97,1005966,SHW
2016-11-08,248.8,253.09,248.51,252.19,1268601,SHW
2016-11-09,249.7,258.095,248.1,257.74,1357194,SHW
2016-11-10,258.21,269.08,258.1656,265.01,2067690,SHW
2016-11-11,263.91,265.35,260.56,261.76,988451,SHW
2016-11-14,262.44,263.63,261.24,263.38,1286527,SHW
2016-11-15,264.62,266.63,262.65,265.73,1053292,SHW
2016-11-16,264.29,264.78,261.76,261.98,750947,SHW
2016-11-17,263.26,264.56,262.07,262.71,847460,SHW
2016-11-18,262.71,264.33,260.0,260.29,809933,SHW
2016-11-21,260.24,266.3,260.0515,266.14,874193,SHW
2016-11-22,265.99,269.95,265.6922,268.78,1107990,SHW
2016-11-23,268.21,273.01,268.21,272.41,794598,SHW
2016-11-25,272.06,275.0,271.77,274.97,377205,SHW
2016-11-28,273.7,275.16,272.94,274.02,1026084,SHW
2016-11-29,274.34,277.49,272.561,276.32,838146,SHW
2016-11-30,276.64,277.01,268.4601,268.67,1184932,SHW
2016-12-01,268.16,269.455,264.0,265.88,1260563,SHW
2016-12-02,265.87,265.8799,261.65,265.06,1066160,SHW
2016-12-05,264.68,266.53,263.06,266.4,846913,SHW
2016-12-06,267.04,268.47,265.23,266.46,622239,SHW
2016-12-07,265.82,269.78,263.89,269.78,789520,SHW
2016-12-08,268.68,272.0,267.61,271.36,825041,SHW
2016-12-09,271.09,273.42,270.43,270.92,701471,SHW
2016-12-12,271.29,271.29,266.56,270.76,857026,SHW
2016-12-13,272.43,272.59,269.27,269.59,769501,SHW
2016-12-14,269.66,270.24,265.57,266.49,938469,SHW
2016-12-15,266.54,269.18,266.48,267.72,952679,SHW
2016-12-16,267.32,272.86,267.04,271.76,1294892,SHW
2016-12-19,271.82,272.27,266.58,268.88,895395,SHW
2016-12-20,267.97,268.41,265.14,266.19,806231,SHW
2016-12-21,266.94,271.63,265.52,271.21,778887,SHW
2016-12-22,272.41,272.74,269.12,270.21,417661,SHW
