date,open,high,low,close,volume,Name
2013-02-13,29.88,30.28,29.88,30.16,3307787,LNC
2013-02-14,29.92,30.53,29.59,30.45,2868353,LNC
2013-02-15,30.34,30.58,30.18,30.33,4023710,LNC
2013-02-19,30.49,30.79,30.44,30.75,3311678,LNC
2013-02-20,30.76,30.82,29.54,29.62,3916319,LNC
2013-02-21,29.48,29.53,29.0,29.22,2313855,LNC
2013-02-22,29.51,29.76,29.47,29.73,2510397,LNC
2013-02-25,29.92,29.97,28.33,28.33,4264918,LNC
2013-02-26,28.52,28.63,27.82,28.49,4008068,LNC
2013-02-27,28.86,29.37,28.77,29.29,4529147,LNC
2013-02-28,29.31,29.95,29.22,29.54,3513025,LNC
2013-03-01,29.26,29.81,28.91,29.8,3823568,LNC
2013-03-04,29.6,30.22,29.5,30.21,3091281,LNC
2013-03-05,30.41,31.22,30.32,30.88,3221218,LNC
2013-03-06,31.07,31.56,31.04,31.3,3093263,LNC
2013-03-07,31.4,31.755,31.23,31.63,2950677,LNC
2013-03-08,31.95,33.105,31.95,33.0,7906541,LNC
2013-03-11,32.9,33.33,32.62,33.14,4477899,LNC
2013-03-12,33.06,33.185,32.77,33.0,2933633,LNC
2013-03-13,33.09,33.3,32.78,33.24,2818191,LNC
2013-03-14,33.47,33.66,33.29,33.47,2640584,LNC
2013-03-15,33.32,33.545,33.065,33.44,4428622,LNC
2013-03-18,32.66,33.19,32.42,32.83,2931040,LNC
2013-03-19,33.06,33.18,32.01,32.35,4313918,LNC
2013-03-20,32.71,33.02,32.6,32.85,3008937,LNC
2013-03-21,32.56,32.725,32.245,32.37,2287766,LNC
2013-03-22,32.61,32.73,32.31,32.67,1207297,LNC
2013-03-25,32.92,33.018,32.08,32.27,3504010,LNC
2013-03-26,32.6,32.705,32.425,32.6,2316979,LNC
2013-03-27,32.24,32.52,31.93,32.45,2286838,LNC
2013-03-28,32.5,32.675,32.22,32.61,2138134,LNC
2013-04-01,32.6,32.745,32.1,32.24,1401878,LNC
2013-04-02,32.53,32.9,32.4,32.6,1604192,LNC
2013-04-03,32.61,32.67,31.69,31.85,2641621,LNC
2013-04-04,32.01,32.016,31.16,31.53,4798093,LNC
2013-04-05,30.77,30.89,30.04,30.87,4394840,LNC
2013-04-08,30.96,31.21,30.67,31.21,2366103,LNC
2013-04-09,31.38,32.02,31.26,31.9,2911223,LNC
2013-04-10,32.21,33.1,32.1225,33.1,3401108,LNC
2013-04-11,33.16,33.455,33.0,33.31,2578539,LNC
2013-04-12,32.96,33.04,32.52,32.88,1957488,LNC
2013-04-15,32.69,32.72,31.6,31.61,3439082,LNC
2013-04-16,32.1,32.66,31.87,32.62,3376000,LNC
2013-04-17,32.16,32.25,31.355,31.41,3776071,LNC
2013-04-18,31.45,31.55,30.76,30.86,3691152,LNC
2013-04-19,31.1,31.28,30.69,31.22,2503084,LNC
2013-04-22,31.3,31.56,30.8,31.49,2739443,LNC
2013-04-23,31.8,32.5,31.73,32.37,4980785,LNC
2013-04-24,32.45,33.395,32.45,33.31,3861334,LNC
2013-04-25,33.4,34.3333,33.32,33.66,2581370,LNC
2013-04-26,33.66,33.69,33.0505,33.27,2192999,LNC
2013-04-29,33.37,33.64,33.09,33.64,2528988,LNC
2013-04-30,33.62,34.01,33.44,34.01,3137392,LNC
2013-05-01,33.59,34.04,33.26,33.32,3495161,LNC
2013-05-02,31.72,32.4,31.01,31.98,8658871,LNC
2013-05-03,32.48,33.59,32.44,32.96,4715066,LNC
2013-05-06,33.12,33.98,33.0,33.89,3038354,LNC
2013-05-07,34.11,34.51,33.97,34.24,3625594,LNC
2013-05-08,34.17,34.75,34.1,34.65,2351095,LNC
2013-05-09,34.65,34.9,34.2,34.3,3548829,LNC
2013-05-10,34.36,34.92,34.21,34.86,2800462,LNC
