date,open,high,low,close,volume,Name
2016-10-07,79.71,79.96,79.25,79.61,521985,VRSK
2016-10-10,79.8,80.42,79.8,80.1,373454,VRSK
2016-10-11,79.82,80.07,79.16,79.4,648135,VRSK
2016-10-12,79.25,79.8,79.05,79.52,546100,VRSK
2016-10-13,79.05,79.66,78.604,79.36,560580,VRSK
2016-10-14,79.47,80.14,79.3,79.37,580196,VRSK
2016-10-17,79.42,79.82,79.32,79.47,385374,VRSK
2016-10-18,79.97,81.4899,79.71,80.34,926937,VRSK
2016-10-19,80.18,81.25,80.18,80.45,739507,VRSK
2016-10-20,80.5,80.92,79.75,80.08,651052,VRSK
2016-10-21,79.84,81.28,79.31,81.26,877967,VRSK
2016-10-24,81.82,82.43,81.76,82.22,830350,VRSK
2016-10-25,82.23,82.28,81.76,82.09,670990,VRSK
2016-10-26,82.02,82.585,81.4,81.43,1298854,VRSK
2016-10-27,81.58,81.93,81.05,81.25,1233271,VRSK
2016-10-28,81.43,82.19,81.26,81.35,718815,VRSK
2016-10-31,81.68,82.1003,81.54,81.55,813209,VRSK
2016-11-01,81.68,81.68,80.67,80.94,1130995,VRSK
2016-11-02,81.4,83.29,81.12,82.21,1829029,VRSK
2016-11-03,82.57,82.99,82.08,82.41,1092256,VRSK
2016-11-04,81.83,82.85,81.73,81.76,780158,VRSK
2016-11-07,82.86,83.2,82.48,83.1,1228458,VRSK
2016-11-08,82.95,83.23,82.58,82.89,676408,VRSK
2016-11-09,80.88,83.4,80.88,83.33,933323,VRSK
2016-11-10,83.58,84.29,82.65,83.12,979419,VRSK
2016-11-11,82.83,83.71,82.83,83.13,1231396,VRSK
2016-11-14,83.39,83.6,82.73,82.83,1291181,VRSK
2016-11-15,83.01,83.58,82.5,82.69,2155447,VRSK
2016-11-16,82.68,83.06,82.06,82.3,852902,VRSK
2016-11-17,82.5,83.025,82.44,83.0,1277355,VRSK
2016-11-18,82.83,83.53,82.82,83.16,1905749,VRSK
2016-11-21,83.4,83.91,83.16,83.75,791019,VRSK
2016-11-22,84.0,84.005,83.68,83.96,845041,VRSK
2016-11-23,83.79,84.76,82.5,83.89,669550,VRSK
2016-11-25,83.96,84.3,83.35,84.11,522694,VRSK
2016-11-28,84.41,84.85,84.07,84.15,761024,VRSK
2016-11-29,84.2,84.4,83.62,83.88,765968,VRSK
2016-11-30,84.19,84.415,83.03,83.08,1380659,VRSK
2016-12-01,83.23,83.52,81.95,82.36,976081,VRSK
2016-12-02,82.42,82.66,81.6475,82.2,892402,VRSK
2016-12-05,82.69,83.28,82.66,82.91,868306,VRSK
2016-12-06,82.89,83.15,82.34,83.04,1170217,VRSK
2016-12-07,83.04,83.14,82.18,83.14,1241228,VRSK
2016-12-08,83.19,83.52,82.77,83.19,647749,VRSK
2016-12-09,83.35,83.53,82.88,82.93,940804,VRSK
2016-12-12,82.7,83.13,82.44,83.03,829274,VRSK
2016-12-13,83.28,83.95,82.975,83.57,1200802,VRSK
2016-12-14,83.74,83.74,81.95,82.05,1211918,VRSK
2016-12-15,82.01,82.25,81.24,81.28,645193,VRSK
2016-12-16,81.4,82.19,80.9,81.78,1619880,VRSK
2016-12-19,81.85,82.66,81.8401,82.11,484509,VRSK
2016-12-20,82.36,82.49,82.1,82.37,445858,VRSK
2016-12-21,82.37,82.985,82.37,82.43,412307,VRSK
2016-12-22,82.27,82.48,81.75,82.07,346166,VRSK
2016-12-23,82.01,82.41,81.87,82.11,267096,VRSK
2016-12-27,82.41,82.97,81.995,82.15,300040,VRSK
2016-12-28,82.42,82.53,81.53,81.65,348716,VRSK
2016-12-29,81.52,82.01,81.52,81.7,389786,VRSK
2016-12-30,81.99,81.99,80.96,81.17,524897,VRSK
2017-01-03,81.59,82.08,81.05,81.32,545814,VRSK
2017-01-04,81.28,82.01,81.23,81.96,651822,VRSK
