date,open,high,low,close,volume,Name
2014-11-14,49.74,50.045,49.39,49.58,29081657,MSFT
2014-11-17,49.41,49.705,49.14,49.46,30318648,MSFT
2014-11-18,49.13,49.325,48.7,48.74,23996457,MSFT
2014-11-19,48.66,48.7549,47.93,48.22,26177450,MSFT
2014-11-20,48.0,48.7,47.87,48.7,21510587,MSFT
2014-11-21,49.02,49.05,47.57,47.98,42884795,MSFT
2014-11-24,47.99,48.0,47.39,47.59,35434245,MSFT
2014-11-25,47.66,47.97,47.45,47.47,28007993,MSFT
2014-11-26,47.49,47.99,47.28,47.75,27164877,MSFT
2014-11-28,47.95,48.195,47.61,47.81,21534426,MSFT
2014-12-01,47.88,48.78,47.71,48.62,31191575,MSFT
2014-12-02,48.84,49.05,48.2,48.46,25773478,MSFT
2014-12-03,48.44,48.5,47.805,48.08,23534752,MSFT
2014-12-04,48.39,49.06,48.2,48.84,30345132,MSFT
2014-12-05,48.82,48.97,48.38,48.42,27313449,MSFT
2014-12-08,48.26,48.35,47.445,47.695,26663107,MSFT
2014-12-09,47.11,47.92,47.05,47.59,24330506,MSFT
2014-12-10,47.58,47.66,46.7001,46.9,30431788,MSFT
2014-12-11,47.08,47.74,46.68,47.17,29061918,MSFT
2014-12-12,46.78,47.73,46.67,46.95,34248371,MSFT
2014-12-15,47.2,47.67,46.55,46.67,29247761,MSFT
2014-12-16,45.9,46.34,45.13,45.16,47801392,MSFT
2014-12-17,45.05,45.945,44.9,45.74,34970865,MSFT
2014-12-18,46.58,47.52,46.3386,47.52,40105550,MSFT
2014-12-19,47.63,48.1,47.17,47.66,64551182,MSFT
2014-12-22,47.78,48.12,47.71,47.98,26565984,MSFT
2014-12-23,48.37,48.8,48.13,48.45,23656529,MSFT
2014-12-24,48.64,48.64,48.08,48.14,11442790,MSFT
2014-12-26,48.41,48.41,47.82,47.88,13197817,MSFT
2014-12-29,47.7,47.78,47.26,47.45,14439518,MSFT
2014-12-30,47.44,47.62,46.84,47.02,16384692,MSFT
2014-12-31,46.73,47.44,46.45,46.45,21552450,MSFT
2015-01-02,46.66,47.42,46.54,46.76,27913852,MSFT
2015-01-05,46.37,46.73,46.25,46.325,39673865,MSFT
2015-01-06,46.38,46.749,45.54,45.65,36447854,MSFT
2015-01-07,45.98,46.46,45.49,46.23,29114061,MSFT
2015-01-08,46.75,47.7499,46.72,47.59,29645202,MSFT
2015-01-09,47.61,47.82,46.9,47.19,23944181,MSFT
2015-01-12,47.42,47.54,46.36,46.6,23651887,MSFT
2015-01-13,46.97,47.91,46.06,46.355,35270601,MSFT
2015-01-14,45.96,46.24,45.62,45.955,29719580,MSFT
2015-01-15,46.22,46.38,45.41,45.48,32750779,MSFT
2015-01-16,45.31,46.28,45.17,46.24,35695289,MSFT
2015-01-20,46.3,46.65,45.57,46.39,36161860,MSFT
2015-01-21,45.94,46.14,45.48,45.92,39081143,MSFT
2015-01-22,46.38,47.135,46.08,47.13,35898035,MSFT
2015-01-23,47.36,47.39,46.8,47.18,26211594,MSFT
2015-01-26,47.0,47.1339,46.2399,47.01,42525530,MSFT
2015-01-27,42.95,43.2,42.105,42.66,169163953,MSFT
2015-01-28,42.74,42.79,41.16,41.19,84507078,MSFT
2015-01-29,40.93,42.12,40.79,42.01,63585273,MSFT
2015-01-30,41.55,41.58,40.35,40.4,78004944,MSFT
2015-02-02,40.59,41.37,40.23,41.28,50352532,MSFT
2015-02-03,41.63,41.93,41.045,41.6,52082448,MSFT
2015-02-04,41.94,42.21,41.36,41.84,41614812,MSFT
2015-02-05,42.22,42.64,41.855,42.45,36548168,MSFT
2015-02-06,42.68,42.79,42.15,42.41,34616554,MSFT
2015-02-09,42.24,42.74,42.21,42.36,31381061,MSFT
2015-02-10,42.74,42.77,42.18,42.6,29670676,MSFT
2015-02-11,42.65,42.65,42.21,42.38,38262509,MSFT
2015-02-12,42.66,43.09,42.51,43.09,33268831,MSFT
