date,open,high,low,close,volume,Name
2018-02-01,1445.0,1459.88,1385.14,1390.0,9113808,AMZN
2018-02-02,1477.39,1498.0,1414.0,1429.95,11125722,AMZN
2018-02-05,1402.62,1458.98,1320.72,1390.0,11494985,AMZN
2018-02-06,1361.46,1443.99,1351.79,1442.84,11066819,AMZN
2018-02-07,1449.0,1460.99,1415.15,1416.78,7162741,AMZN
2013-02-08,52.46,54.01,52.46,53.86,3366384,ANDV
2013-02-11,54.44,55.0,54.0,54.55,3681623,ANDV
2013-02-12,54.7,54.95,53.095,53.49,4234809,ANDV
2013-02-13,53.55,54.49,53.4,54.07,2664552,ANDV
2013-02-14,54.15,55.5799,53.73,55.18,3266120,ANDV
2013-02-15,55.1,55.395,54.14,54.64,2564154,ANDV
2013-02-19,54.91,55.16,54.135,55.13,3346185,ANDV
2013-02-20,54.98,55.37,51.74,52.02,3724020,ANDV
2013-02-21,51.73,53.82,50.07,53.28,7007284,ANDV
2013-02-22,53.77,54.65,52.54,54.6,2326477,ANDV
2013-02-25,54.89,55.45,52.79,52.81,4842729,ANDV
2013-02-26,52.4,54.38,51.66,54.29,3443936,ANDV
2013-02-27,54.24,56.0,54.03,55.55,3984585,ANDV
2013-02-28,55.7,57.04,55.57,56.24,4581884,ANDV
2013-03-01,55.85,58.3,55.05,58.29,5366715,ANDV
2013-03-04,58.26,59.09,57.55,58.97,5159665,ANDV
2013-03-05,59.45,59.56,56.9101,58.3,4235977,ANDV
2013-03-06,58.62,59.342,57.67,57.7,3114092,ANDV
2013-03-07,57.89,58.455,56.93,57.75,3797430,ANDV
2013-03-08,58.0,58.75,57.37,58.4,2788952,ANDV
2013-03-11,58.17,58.17,55.93,57.5,3664093,ANDV
2013-03-12,57.23,58.55,57.01,57.79,2536200,ANDV
2013-03-13,57.0,57.47,55.05,56.0,6087329,ANDV
2013-03-14,56.3,57.065,55.89,56.95,3915184,ANDV
2013-03-15,56.77,57.86,56.48,56.5,4115428,ANDV
2013-03-18,55.92,57.57,55.67,56.86,3147337,ANDV
2013-03-19,56.83,57.75,56.0,56.83,2419449,ANDV
2013-03-20,57.27,59.06,57.18,58.88,3698021,ANDV
2013-03-21,58.43,58.78,57.36,58.0,2895319,ANDV
2013-03-22,58.13,59.09,57.85,58.87,2578165,ANDV
2013-03-25,59.2,59.9,57.6,57.85,3493109,ANDV
2013-03-26,58.18,58.98,57.895,58.5,2422489,ANDV
2013-03-27,58.22,58.82,57.5435,57.96,2087785,ANDV
2013-03-28,57.97,58.94,57.73,58.55,2166659,ANDV
2013-04-01,58.27,58.45,56.48,56.85,3098805,ANDV
2013-04-02,57.1,57.14,54.16,55.02,5327380,ANDV
2013-04-03,54.84,54.89,51.22,52.26,6665542,ANDV
2013-04-04,52.1,53.41,51.66,52.98,3209516,ANDV
2013-04-05,51.75,53.78,51.07,53.24,3498184,ANDV
2013-04-08,53.43,53.84,51.86,53.81,2928639,ANDV
2013-04-09,53.81,54.81,52.95,54.05,2704869,ANDV
2013-04-10,54.12,54.43,53.39,53.94,2051544,ANDV
2013-04-11,53.91,54.15,51.96,52.09,4550703,ANDV
2013-04-12,51.59,52.46,50.75,51.46,3325555,ANDV
2013-04-15,50.91,50.91,48.06,48.37,5504135,ANDV
2013-04-16,48.9,50.93,48.9,50.92,3653588,ANDV
2013-04-17,50.08,50.08,47.98,49.14,4611827,ANDV
2013-04-18,49.07,50.68,48.21,49.61,2945109,ANDV
2013-04-19,49.85,50.72,49.03,50.67,2234024,ANDV
2013-04-22,50.85,52.64,50.34,51.55,3512601,ANDV
2013-04-23,52.73,54.27,52.25,53.82,4147425,ANDV
2013-04-24,53.76,55.97,53.75,55.2,3334949,ANDV
2013-04-25,55.48,55.7,54.24,54.56,3344937,ANDV
2013-04-26,54.39,54.5,53.02,53.84,2193338,ANDV
2013-04-29,54.2,54.76,53.52,53.86,2055392,ANDV
2013-04-30,54.36,54.5,52.43,53.4,4150989,ANDV
