date,open,high,low,close,volume,Name
2014-01-17,74.7,74.98,74.43,74.73,12355954,QCOM
2014-01-21,75.0,75.57,74.86,75.46,8806816,QCOM
2014-01-22,75.5,75.86,75.12,75.78,7270174,QCOM
2014-01-23,75.49,75.9,75.16,75.87,8084877,QCOM
2014-01-24,75.29,75.44,74.06,74.08,12014630,QCOM
2014-01-27,74.01,74.36,72.74,73.2,12669803,QCOM
2014-01-28,72.0,73.14,71.75,71.99,18191271,QCOM
2014-01-29,71.4,72.08,70.98,71.12,16638871,QCOM
2014-01-30,72.65,73.395,71.97,73.26,17743735,QCOM
2014-01-31,72.68,74.49,72.62,74.22,15421279,QCOM
2014-02-03,73.67,73.95,72.93,73.32,15940060,QCOM
2014-02-04,73.4,73.45,72.275,72.51,11708002,QCOM
2014-02-05,72.1,72.66,72.03,72.37,10488791,QCOM
2014-02-06,72.74,73.33,72.324,73.24,8178699,QCOM
2014-02-07,73.4,74.47,73.2,74.41,9005085,QCOM
2014-02-10,74.2,74.73,73.8902,74.69,7599653,QCOM
2014-02-11,74.81,75.73,74.53,75.62,8948317,QCOM
2014-02-12,75.66,76.65,75.66,76.42,11498577,QCOM
2014-02-13,76.0,76.75,76.0,76.44,9047172,QCOM
2014-02-14,76.01,76.42,75.82,76.28,8342325,QCOM
2014-02-18,76.25,76.25,75.53,75.6,8855041,QCOM
2014-02-19,75.37,75.985,75.11,75.77,8535909,QCOM
2014-02-20,75.96,76.2,75.68,75.95,7194165,QCOM
2014-02-21,76.18,76.545,75.57,75.61,8740159,QCOM
2014-02-24,75.97,75.99,75.3923,75.43,9191882,QCOM
2014-02-25,75.62,75.88,74.74,74.91,6999268,QCOM
2014-02-26,75.15,75.5,74.9,75.05,5551595,QCOM
2014-02-27,74.89,75.26,74.5,75.19,9465155,QCOM
2014-02-28,75.41,75.43,74.85,75.29,9451958,QCOM
2014-03-03,74.62,74.64,73.04,73.63,11401355,QCOM
2014-03-04,75.5,76.79,75.35,76.11,13528165,QCOM
2014-03-05,76.44,76.96,75.79,76.67,6786176,QCOM
2014-03-06,77.0,77.18,76.5411,77.0,7757672,QCOM
2014-03-07,77.1,77.2,76.44,76.79,7284997,QCOM
2014-03-10,76.79,77.07,76.55,77.07,7704915,QCOM
2014-03-11,77.09,77.2,76.58,76.71,8272877,QCOM
2014-03-12,76.59,77.14,76.31,76.97,6897278,QCOM
2014-03-13,77.0,77.12,75.385,75.63,8956118,QCOM
2014-03-14,75.23,75.91,74.5,74.74,10513381,QCOM
2014-03-17,75.72,77.31,75.53,77.02,13851487,QCOM
2014-03-18,77.19,77.75,76.9,77.45,7932128,QCOM
2014-03-19,77.22,77.57,76.415,76.805,7808222,QCOM
2014-03-20,76.78,78.37,76.7,78.1,10264175,QCOM
2014-03-21,79.03,79.03,77.51,78.19,27476101,QCOM
2014-03-24,78.44,78.7,77.31,77.74,11314015,QCOM
2014-03-25,78.13,78.76,77.99,78.56,8131874,QCOM
2014-03-26,78.82,79.62,78.31,78.31,14203416,QCOM
2014-03-27,78.42,79.72,78.31,79.05,10373216,QCOM
2014-03-28,79.5,79.5,78.1,79.28,8550917,QCOM
2014-03-31,79.49,79.61,78.81,78.86,7769891,QCOM
2014-04-01,79.42,80.16,78.99,80.1,10589571,QCOM
2014-04-02,79.98,80.26,79.75,80.14,7410438,QCOM
2014-04-03,80.21,81.3,80.21,80.55,8724235,QCOM
2014-04-04,81.09,81.358,78.46,78.53,11250736,QCOM
2014-04-07,78.0,79.26,77.6,78.08,10082600,QCOM
2014-04-08,77.71,78.94,77.48,78.89,9079082,QCOM
2014-04-09,79.26,79.94,78.85,79.93,8476204,QCOM
2014-04-10,80.1,80.3,77.85,78.07,10322035,QCOM
2014-04-11,77.53,78.9167,77.53,78.01,9288880,QCOM
2014-04-14,78.7,79.2,78.03,79.14,8170520,QCOM
2014-04-15,78.99,79.935,78.5,79.49,8785784,QCOM
