date,open,high,low,close,volume,Name
2015-02-09,74.05,74.83,73.45,74.44,16194322,FB
2015-02-10,74.85,75.34,74.5,75.19,15811344,FB
2015-02-11,75.09,76.75,75.03,76.51,20877427,FB
2015-02-12,76.86,76.87,75.89,76.23,17234976,FB
2015-02-13,76.46,76.48,75.5,75.74,18621860,FB
2015-02-17,75.3,76.91,75.08,75.6,25254400,FB
2015-02-18,75.94,76.9,75.45,76.71,22426421,FB
2015-02-19,76.986,79.84,76.95,79.42,45851177,FB
2015-02-20,79.55,80.34,79.2,79.895,36931698,FB
2015-02-23,79.96,80.19,78.38,78.84,24139056,FB
2015-02-24,78.5,79.48,78.1,78.45,18897133,FB
2015-02-25,78.5,80.2,78.5,79.56,25593800,FB
2015-02-26,79.88,81.37,79.72,80.41,31111891,FB
2015-02-27,80.68,81.23,78.62,78.97,30739197,FB
2015-03-02,79.0,79.855,78.52,79.75,21662537,FB
2015-03-03,79.61,79.7,78.52,79.6,18634973,FB
2015-03-04,79.3,81.15,78.85,80.895,28126686,FB
2015-03-05,81.23,81.99,81.05,81.21,27825733,FB
2015-03-06,80.9,81.33,79.83,80.005,24488581,FB
2015-03-09,79.68,79.91,78.63,79.44,18925097,FB
2015-03-10,78.5,79.26,77.55,77.55,23067057,FB
2015-03-11,77.8,78.43,77.26,77.57,20215704,FB
2015-03-12,78.1,79.05,77.91,78.93,16093319,FB
2015-03-13,78.6,79.38,77.68,78.05,18557296,FB
2015-03-16,77.96,78.12,77.36,78.07,19305406,FB
2015-03-17,78.36,79.78,78.34,79.365,22169969,FB
2015-03-18,79.25,81.24,79.17,80.91,36912446,FB
2015-03-19,81.12,83.0,81.0,82.75,42099523,FB
2015-03-20,83.39,84.6,83.07,83.8,44466323,FB
2015-03-23,83.92,84.96,83.3,84.43,27357333,FB
2015-03-24,84.71,86.0699,84.52,85.31,32576522,FB
2015-03-25,85.5,85.52,82.92,82.92,37436147,FB
2015-03-26,82.72,83.77,82.14,83.01,32794800,FB
2015-03-27,83.38,83.95,82.88,83.3,18372582,FB
2015-03-30,83.81,84.34,82.41,83.195,24527686,FB
2015-03-31,82.9,83.5,82.21,82.215,19734277,FB
2015-04-01,82.5,82.72,80.87,81.665,22058167,FB
2015-04-02,82.25,82.56,81.44,81.555,19664053,FB
2015-04-06,80.8,82.81,80.8,82.44,19062934,FB
2015-04-07,82.65,83.42,82.22,82.32,17467042,FB
2015-04-08,82.63,83.1,81.84,82.275,18966732,FB
2015-04-09,82.5,82.8,81.71,82.17,15927281,FB
2015-04-10,82.21,82.61,81.91,82.04,12529738,FB
2015-04-13,81.93,83.94,81.92,83.01,26883094,FB
2015-04-14,83.17,83.69,82.44,83.515,19634173,FB
2015-04-15,83.55,83.66,82.27,82.705,22390943,FB
2015-04-16,82.47,83.07,82.15,82.31,13769687,FB
2015-04-17,81.48,82.11,80.37,80.775,24214983,FB
2015-04-20,81.54,83.15,81.24,83.09,28796761,FB
2015-04-21,84.0,84.49,83.54,83.62,27171852,FB
2015-04-22,84.32,84.74,83.65,84.63,45547963,FB
2015-04-23,84.1,85.59,82.41,82.41,73728080,FB
2015-04-24,82.77,82.94,81.48,81.53,29660356,FB
2015-04-27,81.87,82.93,81.63,81.91,25446032,FB
2015-04-28,81.83,81.9,80.23,80.68,23775344,FB
2015-04-29,80.01,81.39,79.52,80.465,26430258,FB
2015-04-30,80.01,80.96,78.32,78.77,28999005,FB
2015-05-01,79.24,79.76,78.11,78.99,24136358,FB
2015-05-04,79.33,79.69,78.6301,78.81,14691991,FB
2015-05-05,78.55,78.8,77.22,77.56,22311318,FB
2015-05-06,77.97,78.81,77.05,78.1,28663026,FB
