date,open,high,low,close,volume,Name
2016-09-27,51.33,52.13,50.87,52.1,1179492,XYL
2016-09-28,52.31,52.59,51.93,52.21,1213305,XYL
2016-09-29,51.93,52.36,51.64,51.82,1200471,XYL
2016-09-30,52.0,52.71,51.91,52.45,1070115,XYL
2016-10-03,52.11,52.8,51.82,52.47,884613,XYL
2016-10-04,53.25,53.25,51.99,52.26,1232370,XYL
2016-10-05,52.54,52.8,51.93,51.95,1063162,XYL
2016-10-06,51.87,51.93,51.22,51.83,993717,XYL
2016-10-07,51.83,51.83,50.57,50.76,1442606,XYL
2016-10-10,51.12,51.1992,50.3,50.38,1039452,XYL
2016-10-11,50.35,50.37,49.425,49.7,1023250,XYL
2016-10-12,49.84,50.31,49.67,50.11,1193657,XYL
2016-10-13,49.63,49.89,49.15,49.66,1289862,XYL
2016-10-14,49.99,50.15,49.46,49.47,931860,XYL
2016-10-17,49.58,49.72,49.15,49.2,1269347,XYL
2016-10-18,49.73,49.85,48.83,49.15,1541455,XYL
2016-10-19,49.33,49.58,49.0956,49.47,806610,XYL
2016-10-20,49.17,49.42,48.87,48.92,1152387,XYL
2016-10-21,48.52,48.88,48.34,48.84,1633856,XYL
2016-10-24,49.09,49.22,48.55,48.64,1093642,XYL
2016-10-25,48.58,48.64,47.97,48.03,1176467,XYL
2016-10-26,47.86,48.59,47.691,48.39,1182507,XYL
2016-10-27,48.57,48.57,47.83,48.03,1182873,XYL
2016-10-28,48.04,49.28,48.04,48.61,1443196,XYL
2016-10-31,48.74,48.85,48.29,48.33,1967135,XYL
2016-11-01,46.83,47.36,45.6,47.19,2936579,XYL
2016-11-02,47.57,48.08,46.895,46.96,1890113,XYL
2016-11-03,47.12,47.55,46.81,47.24,1385459,XYL
2016-11-04,47.27,47.89,47.06,47.4,1383470,XYL
2016-11-07,48.15,48.6,47.75,48.56,1342168,XYL
2016-11-08,48.49,49.5,48.45,49.3,1730458,XYL
2016-11-09,48.73,51.01,48.71,50.66,1953964,XYL
2016-11-10,51.1,52.855,51.08,52.74,2260394,XYL
2016-11-11,52.56,53.13,52.2,52.75,1333033,XYL
2016-11-14,52.97,53.2797,52.3,53.24,1418677,XYL
2016-11-15,53.06,54.79,52.65,54.75,2630428,XYL
2016-11-16,54.5,54.89,53.82,54.35,1966722,XYL
2016-11-17,54.73,54.99,53.99,54.01,1454406,XYL
2016-11-18,53.89,53.96,53.09,53.29,1517031,XYL
2016-11-21,53.53,53.7,53.06,53.46,895738,XYL
2016-11-22,53.49,53.635,52.92,52.92,1541035,XYL
2016-11-23,53.0,53.02,52.68,52.86,1926023,XYL
2016-11-25,52.95,52.965,52.59,52.92,1023379,XYL
2016-11-28,52.37,52.69,51.6,51.64,1901528,XYL
2016-11-29,51.49,51.84,50.78,51.34,1634227,XYL
2016-11-30,51.87,52.05,51.2,51.58,1520835,XYL
2016-12-01,51.9,52.05,51.49,51.81,1734067,XYL
2016-12-02,51.9,51.99,51.45,51.8,913272,XYL
2016-12-05,52.11,52.2204,51.62,51.72,1212208,XYL
2016-12-06,51.77,52.18,51.6,52.17,1474024,XYL
2016-12-07,52.2,52.4,51.46,52.06,1982022,XYL
2016-12-08,52.13,52.29,51.4,51.89,1317553,XYL
2016-12-09,51.85,51.85,51.12,51.48,814093,XYL
2016-12-12,51.41,51.53,50.91,50.99,1063287,XYL
2016-12-13,51.06,51.23,50.5,50.99,969004,XYL
2016-12-14,50.94,51.48,50.41,50.57,1095478,XYL
2016-12-15,50.4,51.02,50.085,50.14,1516977,XYL
2016-12-16,50.16,50.79,49.92,50.1,2503929,XYL
2016-12-19,50.09,50.81,49.88,50.76,1081113,XYL
2016-12-20,50.87,51.06,50.5478,50.92,954109,XYL
2016-12-21,50.85,51.14,50.66,50.83,1018344,XYL
