date,open,high,low,close,volume,Name
2017-07-12,43.37,43.68,42.91,43.2,1085744,PDCO
2017-07-13,43.5,43.5,43.085,43.13,1218680,PDCO
2017-07-14,43.21,43.535,43.185,43.4,1093324,PDCO
2017-07-17,43.42,43.5,43.04,43.1,945588,PDCO
2017-07-18,43.05,43.48,42.75,42.97,1057499,PDCO
2017-07-19,43.05,43.12,42.51,43.02,714628,PDCO
2017-07-20,43.05,43.17,42.86,42.94,505909,PDCO
2017-07-21,42.84,43.11,42.41,42.89,702071,PDCO
2017-07-24,43.0,43.2,42.72,43.0,692915,PDCO
2017-07-25,42.9,43.11,42.71,43.0,963428,PDCO
2017-07-26,42.98,43.1,42.43,42.89,1481681,PDCO
2017-07-27,42.78,42.78,42.19,42.37,996478,PDCO
2017-07-28,42.37,42.5431,41.96,42.19,1134987,PDCO
2017-07-31,41.64,42.38,41.64,41.72,890439,PDCO
2017-08-01,42.25,42.25,40.7,40.75,1601473,PDCO
2017-08-02,40.73,40.815,39.7,40.04,1550976,PDCO
2017-08-03,39.91,40.13,39.46,39.67,1465937,PDCO
2017-08-04,40.11,40.18,38.75,39.23,1086763,PDCO
2017-08-07,39.17,39.4,38.94,39.23,1016807,PDCO
2017-08-08,39.12,39.2,38.44,38.72,1606529,PDCO
2017-08-09,38.58,38.69,38.015,38.13,1241831,PDCO
2017-08-10,38.04,38.04,37.0,37.47,1434476,PDCO
2017-08-11,37.49,38.25,37.44,37.98,952350,PDCO
2017-08-14,38.26,38.51,37.84,37.9,835251,PDCO
2017-08-15,37.71,37.71,36.59,36.75,1722415,PDCO
2017-08-16,36.77,37.35,36.58,37.29,1733063,PDCO
2017-08-17,37.22,37.77,36.75,36.76,1054819,PDCO
2017-08-18,36.75,36.76,36.43,36.45,1050528,PDCO
2017-08-21,36.42,36.73,36.12,36.36,1870205,PDCO
2017-08-22,36.47,37.165,36.39,37.0,1680601,PDCO
2017-08-23,36.8,36.8,35.93,36.27,2565098,PDCO
2017-08-24,38.5,39.21,36.52,36.84,4079798,PDCO
2017-08-25,37.43,37.88,36.93,37.75,2391649,PDCO
2017-08-28,37.73,38.2399,37.58,37.65,1430074,PDCO
2017-08-29,37.47,37.95,37.47,37.91,1421821,PDCO
2017-08-30,37.88,38.38,37.82,38.29,1546363,PDCO
2017-08-31,38.44,38.615,38.1,38.5,1486995,PDCO
2017-09-01,38.53,38.74,37.68,37.88,1107062,PDCO
2017-09-05,37.7,37.94,37.5,37.7,842205,PDCO
2017-09-06,37.93,38.94,37.87,38.89,1630341,PDCO
2017-09-07,38.93,40.16,38.88,39.77,2109970,PDCO
2017-09-08,39.7,39.89,39.32,39.37,941929,PDCO
2017-09-11,39.59,40.4,39.57,40.24,1469434,PDCO
2017-09-12,40.26,40.78,40.05,40.65,1101321,PDCO
2017-09-13,40.64,40.9,39.295,39.44,1816998,PDCO
2017-09-14,39.45,39.5,37.95,38.23,2312427,PDCO
2017-09-15,38.22,38.94,38.15,38.53,2360566,PDCO
2017-09-18,38.55,38.55,37.795,37.94,1390876,PDCO
2017-09-19,37.95,37.95,37.05,37.18,1503029,PDCO
2017-09-20,37.3,37.85,37.09,37.82,941519,PDCO
2017-09-21,37.8,38.11,37.08,37.12,1040509,PDCO
2017-09-22,37.17,37.55,37.06,37.4,799695,PDCO
2017-09-25,37.41,38.18,37.38,37.99,990903,PDCO
2017-09-26,38.13,38.9,38.12,38.7,1475425,PDCO
2017-09-27,38.81,39.395,38.53,39.11,1086007,PDCO
2017-09-28,39.04,39.32,38.53,38.7,707296,PDCO
2017-09-29,38.81,38.93,38.59,38.65,1033179,PDCO
2017-10-02,38.75,38.75,37.94,38.59,1283413,PDCO
2017-10-03,38.66,38.8399,38.29,38.69,664636,PDCO
2017-10-04,38.54,38.74,38.46,38.5,1267459,PDCO
2017-10-05,38.51,38.78,38.21,38.5,838474,PDCO
