date,open,high,low,close,volume,Name
2015-06-18,131.6,132.7,130.675,132.11,446865,UHS
2015-06-19,132.05,135.16,131.81,134.72,961921,UHS
2015-06-22,135.39,136.26,134.93,135.17,728842,UHS
2015-06-23,135.06,135.7899,134.0755,134.37,609582,UHS
2015-06-24,134.36,134.6,130.2,130.68,954096,UHS
2015-06-25,130.63,144.0,130.63,140.78,4001262,UHS
2015-06-26,141.39,143.05,141.11,142.69,1293068,UHS
2015-06-29,141.09,143.9,140.65,141.32,774954,UHS
2015-06-30,143.06,143.06,141.25,142.1,738249,UHS
2015-07-01,143.46,144.0,142.65,143.09,696747,UHS
2015-07-02,143.33,143.85,142.06,142.71,611476,UHS
2015-07-06,141.94,143.33,141.6,142.41,800861,UHS
2015-07-07,142.54,143.0,139.43,141.65,883139,UHS
2015-07-08,140.4,141.25,139.14,139.98,665662,UHS
2015-07-09,141.5,141.8799,140.26,140.89,508896,UHS
2015-07-10,141.82,142.69,141.34,141.76,486999,UHS
2015-07-13,143.24,143.68,141.83,143.0,553398,UHS
2015-07-14,142.91,144.15,142.31,143.38,505718,UHS
2015-07-15,143.5,143.5,141.72,142.43,523188,UHS
2015-07-16,141.42,141.83,139.43,141.25,788768,UHS
2015-07-17,141.84,142.04,140.13,141.23,520854,UHS
2015-07-20,141.46,142.33,140.55,142.01,421878,UHS
2015-07-21,141.61,142.06,139.5,140.25,385973,UHS
2015-07-22,140.2,141.62,139.9615,141.02,350584,UHS
2015-07-23,141.74,142.635,141.35,141.79,405208,UHS
2015-07-24,141.45,141.88,140.31,140.99,500862,UHS
2015-07-27,140.8,141.07,139.35,140.29,645696,UHS
2015-07-28,140.74,141.51,138.2701,141.37,430907,UHS
2015-07-29,141.56,142.54,140.7,142.31,492812,UHS
2015-07-30,141.7,142.2099,140.37,141.44,690393,UHS
2015-07-31,143.01,148.28,143.01,145.23,1402686,UHS
2015-08-03,145.95,146.83,145.42,145.8,658050,UHS
2015-08-04,146.78,147.7,145.81,146.24,508228,UHS
2015-08-05,146.57,148.57,140.88,143.96,1222204,UHS
2015-08-06,143.93,145.0,140.48,142.52,768126,UHS
2015-08-07,143.0,143.82,140.97,142.74,420036,UHS
2015-08-10,143.7,145.09,142.62,143.28,397859,UHS
2015-08-11,142.44,142.91,139.9,141.4,497677,UHS
2015-08-12,140.65,142.42,138.77,142.09,536647,UHS
2015-08-13,143.2,143.74,141.72,142.28,391159,UHS
2015-08-14,142.4,143.38,142.205,143.09,567749,UHS
2015-08-17,142.67,145.87,142.01,145.5,398336,UHS
2015-08-18,145.01,145.81,144.18,145.45,499730,UHS
2015-08-19,144.74,146.8,143.7,145.97,531195,UHS
2015-08-20,144.63,145.49,141.1,141.14,595842,UHS
2015-08-21,139.79,141.9,137.75,140.69,1168870,UHS
2015-08-24,133.12,138.785,131.98,132.85,1495477,UHS
2015-08-25,135.57,136.9899,132.12,132.18,906645,UHS
2015-08-26,135.47,137.44,132.05,136.9,1104125,UHS
2015-08-27,138.02,141.51,137.835,140.97,756488,UHS
2015-08-28,140.27,140.68,138.59,140.37,514888,UHS
2015-08-31,140.17,141.58,136.81,137.14,536092,UHS
2015-09-01,134.73,135.04,131.08,131.78,955424,UHS
2015-09-02,133.15,136.36,132.075,136.34,778342,UHS
2015-09-03,137.12,138.55,134.78,135.19,531332,UHS
2015-09-04,134.16,135.808,133.27,135.02,609142,UHS
2015-09-08,137.37,138.55,136.0101,137.8,523744,UHS
2015-09-09,138.84,139.32,134.82,135.04,590733,UHS
2015-09-10,135.12,136.11,134.27,134.7,549846,UHS
2015-09-11,134.04,134.62,131.6,133.21,1210325,UHS
2015-09-14,133.9,135.49,133.33,135.26,750337,UHS
