date,open,high,low,close,volume,Name
2014-01-03,76.56,76.87,76.09,76.48,743727,TSCO
2014-01-06,77.0,77.3874,75.35,75.46,675571,TSCO
2014-01-07,75.9,76.61,75.64,75.93,733495,TSCO
2014-01-08,76.53,76.64,75.38,76.35,780054,TSCO
2014-01-09,76.67,76.94,76.08,76.7,589324,TSCO
2014-01-10,76.97,77.2,76.28,76.58,582216,TSCO
2014-01-13,76.62,76.814,73.09,73.4,1452381,TSCO
2014-01-14,73.47,74.6,72.61,74.35,982123,TSCO
2014-01-15,74.4,75.53,74.186,75.18,762307,TSCO
2014-01-16,75.07,75.475,73.71,74.31,855460,TSCO
2014-01-17,75.6,75.73,73.8401,74.17,2061000,TSCO
2014-01-21,74.39,74.91,72.79,72.91,2668881,TSCO
2014-01-22,73.1,73.53,71.3801,73.16,2519527,TSCO
2014-01-23,72.35,73.29,71.2,71.87,30011483,TSCO
2014-01-24,71.27,71.58,70.11,70.18,2583703,TSCO
2014-01-27,70.62,70.92,70.12,70.46,1641714,TSCO
2014-01-28,70.41,70.95,70.25,70.68,1306229,TSCO
2014-01-29,70.75,70.865,68.725,68.995,2395564,TSCO
2014-01-30,65.12,68.16,64.63,67.46,5140125,TSCO
2014-01-31,65.93,66.89,65.87,66.51,2098723,TSCO
2014-02-03,66.26,66.33,63.03,63.42,2283211,TSCO
2014-02-04,63.77,64.15,63.32,63.55,1608993,TSCO
2014-02-05,62.91,63.87,62.06,63.74,1627305,TSCO
2014-02-06,63.93,65.2,63.77,65.1,1627108,TSCO
2014-02-07,65.22,66.65,65.02,66.52,1649097,TSCO
2014-02-10,66.6,66.75,65.77,66.02,948251,TSCO
2014-02-11,65.96,66.445,65.58,65.67,1272793,TSCO
2014-02-12,65.5,66.15,65.5,66.0,998072,TSCO
2014-02-13,65.61,66.76,65.32,66.18,1148413,TSCO
2014-02-14,64.13,66.22,64.07,65.7,1266434,TSCO
2014-02-18,65.67,66.63,65.42,66.53,1230832,TSCO
2014-02-19,66.27,66.73,65.53,65.62,1233436,TSCO
2014-02-20,65.78,66.0,65.02,65.77,1313405,TSCO
2014-02-21,65.91,66.74,65.23,66.4,1190653,TSCO
2014-02-24,66.41,67.49,66.05,66.77,916835,TSCO
2014-02-25,67.99,69.6,67.87,69.2,1917921,TSCO
2014-02-26,69.36,70.93,68.7801,70.46,1799156,TSCO
2014-02-27,70.96,70.96,69.79,70.32,1013596,TSCO
2014-02-28,70.32,71.28,70.07,70.56,945016,TSCO
2014-03-03,69.93,70.29,69.0,70.15,1037266,TSCO
2014-03-04,70.96,72.21,70.96,71.74,1301868,TSCO
2014-03-05,71.44,72.49,71.44,71.74,851083,TSCO
2014-03-06,72.1,72.71,71.25,72.29,702243,TSCO
2014-03-07,72.59,72.99,72.01,72.72,802738,TSCO
2014-03-10,72.68,72.8673,72.09,72.55,880097,TSCO
2014-03-11,72.71,72.85,72.05,72.12,937328,TSCO
2014-03-12,71.84,72.12,71.42,72.09,621731,TSCO
2014-03-13,72.24,72.64,70.6,70.87,696365,TSCO
2014-03-14,70.85,71.87,70.79,71.06,772895,TSCO
2014-03-17,71.51,72.69,71.22,72.32,989219,TSCO
2014-03-18,72.63,74.11,72.45,74.01,1179660,TSCO
2014-03-19,73.99,74.26,72.94,73.56,968709,TSCO
2014-03-20,73.08,74.11,73.075,74.07,635579,TSCO
2014-03-21,74.25,74.69,73.61,74.37,2212123,TSCO
2014-03-24,74.53,74.89,72.14,73.2,1179512,TSCO
2014-03-25,73.73,73.73,71.7,71.84,1334750,TSCO
2014-03-26,71.98,72.27,70.38,70.43,1036723,TSCO
2014-03-27,70.39,70.88,69.74,70.24,1074029,TSCO
2014-03-28,70.44,71.49,70.255,70.77,660439,TSCO
2014-03-31,70.07,70.94,69.94,70.63,893702,TSCO
2014-04-01,70.78,71.77,70.67,71.72,830757,TSCO
