date,open,high,low,close,volume,Name
2013-02-21,70.22,70.56,68.97,70.15,1098074,RRC
2013-02-22,70.48,71.97,70.45,71.71,1116331,RRC
2013-02-25,72.1,72.73,70.47,70.47,1370802,RRC
2013-02-26,70.96,71.89,70.3,71.36,1196544,RRC
2013-02-27,71.37,74.65,71.37,74.21,2177155,RRC
2013-02-28,74.21,77.18,73.92,76.8,3149231,RRC
2013-03-01,76.36,78.22,75.67,77.39,1744913,RRC
2013-03-04,77.5599,78.25,76.71,77.25,1588767,RRC
2013-03-05,78.09,79.51,77.79,78.53,1695582,RRC
2013-03-06,78.61,79.08,77.5,77.63,1676020,RRC
2013-03-07,77.82,79.5,77.47,78.84,1760186,RRC
2013-03-08,79.7,79.75,78.45,78.84,1580211,RRC
2013-03-11,78.76,79.54,77.81,79.32,1247402,RRC
2013-03-12,79.22,79.52,78.46,79.3,1720013,RRC
2013-03-13,79.63,79.95,79.01,79.75,1230877,RRC
2013-03-14,79.91,82.16,79.64,82.07,1698988,RRC
2013-03-15,82.13,83.15,81.46,82.0,2004413,RRC
2013-03-18,81.14,82.78,81.14,82.2,1446726,RRC
2013-03-19,82.28,82.77,79.88,80.61,1560076,RRC
2013-03-20,81.07,81.33,79.85,80.86,1411679,RRC
2013-03-21,81.48,82.27,80.45,81.74,1498535,RRC
2013-03-22,82.04,82.45,80.25,80.76,1534802,RRC
2013-03-25,81.09,81.96,80.64,81.16,1545795,RRC
2013-03-26,81.4,82.76,81.08,82.46,1255795,RRC
2013-03-27,82.0,82.18,81.02,82.08,1292793,RRC
2013-03-28,82.0,82.19,80.5401,81.04,1330738,RRC
2013-04-01,80.11,81.0,79.3,80.34,1170843,RRC
2013-04-02,80.46,80.58,78.8,79.1,1091936,RRC
2013-04-03,79.32,79.78,75.98,76.49,1957962,RRC
2013-04-04,76.52,76.9,75.66,76.51,1062534,RRC
2013-04-05,76.11,79.34,75.7675,79.12,1439530,RRC
2013-04-08,79.25,80.64,79.15,80.64,1112409,RRC
2013-04-09,80.48,80.91,79.21,80.09,1652401,RRC
2013-04-10,80.26,80.6,79.6,79.86,1914659,RRC
2013-04-11,80.5,81.02,79.65,80.29,1320286,RRC
2013-04-12,80.05,80.25,78.47,78.91,1132314,RRC
2013-04-15,77.87,77.87,73.98,73.99,2131726,RRC
2013-04-16,75.5,75.73,73.28,74.92,2599566,RRC
2013-04-17,73.97,74.45,71.45,71.78,4428876,RRC
2013-04-18,72.06,75.09,71.14,74.55,3196364,RRC
2013-04-19,74.85,75.75,73.9,75.55,2106226,RRC
2013-04-22,75.3,75.65,74.07,75.32,1165138,RRC
2013-04-23,75.6,75.91,74.65,75.83,1114398,RRC
2013-04-24,75.72,76.54,74.54,75.19,2047101,RRC
2013-04-25,75.77,78.69,75.69,77.46,1801786,RRC
2013-04-26,76.58,76.72,73.07,74.0,2804470,RRC
2013-04-29,74.71,75.71,73.64,74.17,1906071,RRC
2013-04-30,74.13,74.13,72.67,73.52,1263074,RRC
2013-05-01,73.15,73.15,71.57,71.85,1343133,RRC
2013-05-02,72.05,73.095,71.435,72.49,2395344,RRC
2013-05-03,72.83,74.8,72.33,74.43,1200850,RRC
2013-05-06,74.0,74.885,73.87,74.16,1407312,RRC
2013-05-07,74.34,76.21,74.0225,75.4,1431323,RRC
2013-05-08,75.57,75.57,73.33,74.32,2372341,RRC
2013-05-09,74.32,76.5,74.09,75.96,1827521,RRC
2013-05-10,75.76,76.34,74.86,76.18,1524800,RRC
2013-05-13,75.72,77.05,75.03,75.29,1374028,RRC
2013-05-14,75.42,76.41,75.04,75.96,949079,RRC
2013-05-15,75.69,76.34,74.95,75.73,1114321,RRC
2013-05-16,75.46,76.05,74.71,74.86,666644,RRC
2013-05-17,75.23,76.82,74.93,76.5,1322363,RRC
