date,open,high,low,close,volume,Name
2018-01-24,154.3,155.86,153.17,154.99,1048429,CME
2018-01-25,154.99,155.1889,153.2769,154.17,1228140,CME
2018-01-26,154.56,155.54,153.71,155.16,1131286,CME
2018-01-29,155.28,156.49,153.38,153.45,1223368,CME
2018-01-30,153.0,154.52,152.23,153.33,1506052,CME
2018-01-31,152.91,155.32,152.91,153.48,2947732,CME
2018-02-01,155.4,159.09,153.86,158.91,2357252,CME
2018-02-02,160.12,163.0,158.95,159.11,3012924,CME
2018-02-05,158.99,160.79,153.88,153.96,3687657,CME
2018-02-06,153.2,157.76,149.379,157.65,4348375,CME
2018-02-07,158.67,162.0,156.85,159.93,2725560,CME
2013-02-08,316.77,321.4899,316.73,320.72,403264,CMG
2013-02-11,320.97,325.64,320.11,323.56,453220,CMG
2013-02-12,322.39,326.99,322.05,322.51,353599,CMG
2013-02-13,321.63,322.475,316.16,317.01,605608,CMG
2013-02-14,316.28,319.08,314.44,317.72,483832,CMG
2013-02-15,319.03,319.03,310.78,314.19,678216,CMG
2013-02-19,314.4,317.58,311.32,313.05,530537,CMG
2013-02-20,312.81,315.09,308.0,309.49,588188,CMG
2013-02-21,307.17,313.73,307.17,308.13,639141,CMG
2013-02-22,310.77,315.71,310.5,315.51,600207,CMG
2013-02-25,316.51,318.32,311.18,311.21,512884,CMG
2013-02-26,312.72,316.66,309.02,311.81,415128,CMG
2013-02-27,312.48,318.71,311.96,316.21,330537,CMG
2013-02-28,315.29,319.88,313.6,316.79,306386,CMG
2013-03-01,316.75,319.82,314.501,319.74,300757,CMG
2013-03-04,318.68,322.43,317.55,321.76,307211,CMG
2013-03-05,323.3,332.49,322.5,329.24,520227,CMG
2013-03-06,331.38,334.89,328.095,329.0,341441,CMG
2013-03-07,331.38,331.38,325.08,327.5,330531,CMG
2013-03-08,328.27,328.8799,320.6301,321.84,477790,CMG
2013-03-11,320.08,327.117,319.39,322.42,363793,CMG
2013-03-12,322.42,323.98,317.0,318.45,306360,CMG
2013-03-13,319.41,322.38,319.33,322.38,358434,CMG
2013-03-14,321.61,324.21,319.53,322.66,298613,CMG
2013-03-15,320.95,323.98,318.54,321.35,310927,CMG
2013-03-18,317.36,321.85,317.25,320.15,184722,CMG
2013-03-19,320.1,324.53,315.5,317.23,408041,CMG
2013-03-20,319.75,323.7,318.25,322.42,298839,CMG
2013-03-21,321.99,322.52,318.33,319.42,425498,CMG
2013-03-22,320.28,320.68,317.44,318.23,283465,CMG
2013-03-25,318.7,321.7,316.04,316.77,315454,CMG
2013-03-26,318.64,320.285,316.35,318.5,313704,CMG
2013-03-27,318.49,320.85,316.34,320.59,215130,CMG
2013-03-28,320.17,325.93,319.02,325.87,387865,CMG
2013-04-01,327.42,328.47,320.0034,321.06,421993,CMG
2013-04-02,321.91,323.6,321.64,323.09,240714,CMG
2013-04-03,327.05,330.0,321.87,323.79,412947,CMG
2013-04-04,323.63,326.34,321.86,323.16,415428,CMG
2013-04-05,318.11,328.78,316.87,328.0,469919,CMG
2013-04-08,327.01,337.92,326.8,337.5,730124,CMG
2013-04-09,337.18,337.22,330.55,332.67,521355,CMG
2013-04-10,334.18,350.0,334.18,343.55,947646,CMG
2013-04-11,340.0,344.24,330.5,331.33,1458320,CMG
2013-04-12,329.77,342.0,327.28,341.91,782502,CMG
2013-04-15,349.0,349.88,337.03,337.17,892040,CMG
2013-04-16,341.03,343.885,337.67,342.17,447834,CMG
2013-04-17,339.59,343.78,337.435,339.94,340166,CMG
2013-04-18,341.5,341.5,328.36,328.36,1010479,CMG
2013-04-19,344.91,366.73,343.31,366.25,2747297,CMG
2013-04-22,367.0,372.99,362.66,362.83,988994,CMG
