date,open,high,low,close,volume,Name
2015-07-22,114.96,115.15,113.96,114.7,232156,HII
2015-07-23,115.02,116.985,114.17,114.84,219983,HII
2015-07-24,114.94,115.52,111.715,112.04,249516,HII
2015-07-27,111.69,112.55,110.5,112.25,203073,HII
2015-07-28,113.22,114.99,112.27,114.86,299106,HII
2015-07-29,114.74,117.97,114.47,117.48,412146,HII
2015-07-30,117.0,117.76,115.04,116.61,249887,HII
2015-07-31,116.97,118.305,115.84,117.41,302930,HII
2015-08-03,117.03,117.03,115.06,115.73,278312,HII
2015-08-04,115.84,116.9,114.61,115.95,248167,HII
2015-08-05,116.65,118.8,115.77,117.12,444263,HII
2015-08-06,116.46,128.22,114.706,122.26,591258,HII
2015-08-07,121.61,122.31,113.54,115.81,658671,HII
2015-08-10,117.02,121.025,116.49,120.55,368941,HII
2015-08-11,119.55,120.748,118.38,118.98,349851,HII
2015-08-12,117.98,117.99,114.64,117.69,411184,HII
2015-08-13,117.4,118.73,116.76,117.18,359938,HII
2015-08-14,116.91,119.8,116.61,119.2,288853,HII
2015-08-17,118.59,120.53,117.755,120.13,330559,HII
2015-08-18,119.75,121.4,119.56,120.53,208478,HII
2015-08-19,119.81,120.37,117.74,118.31,368154,HII
2015-08-20,117.7,118.06,112.67,112.78,403840,HII
2015-08-21,111.91,114.04,109.98,110.07,484344,HII
2015-08-24,103.81,112.01,102.76,107.36,610134,HII
2015-08-25,110.33,110.33,104.56,104.87,430564,HII
2015-08-26,106.53,109.53,105.4,109.39,364763,HII
2015-08-27,110.35,113.62,110.13,113.13,385625,HII
2015-08-28,112.5,114.13,111.48,113.57,392997,HII
2015-08-31,112.93,114.38,111.91,112.58,285247,HII
2015-09-01,110.9,112.26,106.97,107.55,867180,HII
2015-09-02,109.4,114.34,108.4,114.26,765684,HII
2015-09-03,114.4,116.18,113.64,113.99,506099,HII
2015-09-04,112.43,113.77,111.85,112.61,221498,HII
2015-09-08,114.52,116.09,113.37,116.0,270516,HII
2015-09-09,116.95,117.26,114.55,114.79,238552,HII
2015-09-10,114.85,116.91,114.06,115.23,238494,HII
2015-09-11,114.1,115.65,113.8,115.54,130990,HII
2015-09-14,115.38,115.39,114.03,115.04,146667,HII
2015-09-15,115.64,116.45,114.99,116.3,138915,HII
2015-09-16,116.43,116.8,115.02,116.4,245457,HII
2015-09-17,116.29,117.185,115.04,115.28,167097,HII
2015-09-18,114.12,114.4,111.2,111.6,481639,HII
2015-09-21,112.6,112.6,110.34,110.83,280567,HII
2015-09-22,109.24,110.13,108.08,109.01,199509,HII
2015-09-23,109.85,109.89,107.05,107.24,116225,HII
2015-09-24,105.79,107.53,104.99,107.08,244677,HII
2015-09-25,108.15,108.3,105.14,105.72,161455,HII
2015-09-28,104.89,105.55,103.43,103.98,304336,HII
2015-09-29,104.48,105.66,103.51,105.35,240248,HII
2015-09-30,106.75,107.66,105.65,107.15,245479,HII
2015-10-01,106.85,107.615,104.52,105.75,317107,HII
2015-10-02,104.23,106.94,103.58,106.94,188663,HII
2015-10-05,108.23,108.9,107.48,108.3,295589,HII
2015-10-06,108.49,109.4,107.99,108.3,225921,HII
2015-10-07,109.22,110.98,108.06,110.22,307838,HII
2015-10-08,109.62,112.18,109.054,111.47,234199,HII
2015-10-09,112.25,113.7,111.12,113.51,221834,HII
2015-10-12,113.54,113.54,111.56,111.89,198799,HII
2015-10-13,111.01,112.13,109.42,109.52,230498,HII
2015-10-14,109.98,110.75,108.22,108.61,239984,HII
2015-10-15,108.58,109.06,106.65,108.3,207436,HII
