date,open,high,low,close,volume,Name
2016-12-30,62.18,62.19,61.34,61.68,1792891,TSN
2017-01-03,62.48,63.34,61.88,62.58,4199529,TSN
2017-01-04,62.75,63.6201,62.61,63.47,2615336,TSN
2017-01-05,63.51,64.0,62.89,63.8,2474537,TSN
2017-01-06,63.64,63.77,63.12,63.32,2726430,TSN
2017-01-09,63.12,63.15,61.715,62.65,3964066,TSN
2017-01-10,62.55,62.56,61.08,61.21,3908332,TSN
2017-01-11,61.35,61.77,61.0,61.46,2438036,TSN
2017-01-12,61.68,61.85,61.11,61.69,2158805,TSN
2017-01-13,61.67,62.12,61.5972,61.99,1466583,TSN
2017-01-17,61.95,62.56,61.77,62.32,1935245,TSN
2017-01-18,62.53,62.93,62.21,62.74,1908737,TSN
2017-01-19,62.61,62.79,61.84,62.34,2174999,TSN
2017-01-20,62.66,63.076,61.8703,62.57,2192239,TSN
2017-01-23,62.5,62.5,61.54,61.75,1651351,TSN
2017-01-24,61.92,62.51,61.557,62.36,1949627,TSN
2017-01-25,62.51,62.83,62.31,62.63,1845126,TSN
2017-01-26,62.65,62.66,61.67,61.71,2172518,TSN
2017-01-27,61.72,62.8,61.48,62.77,1325454,TSN
2017-01-30,62.57,62.82,62.05,62.57,1795245,TSN
2017-01-31,62.62,62.99,62.21,62.79,2315381,TSN
2017-02-01,62.56,64.54,62.28,64.3,2790504,TSN
2017-02-02,64.3,65.545,64.02,65.18,3505013,TSN
2017-02-03,65.54,66.09,64.94,65.39,4047146,TSN
2017-02-06,67.0,67.14,62.1,63.13,9131210,TSN
2017-02-07,63.41,66.28,63.15,64.65,6439992,TSN
2017-02-08,64.58,65.21,64.44,65.05,3491642,TSN
2017-02-09,64.78,65.94,64.74,65.39,2735953,TSN
2017-02-10,65.48,65.4897,64.75,65.06,2686406,TSN
2017-02-13,65.28,65.47,65.0,65.3,1748498,TSN
2017-02-14,65.0,65.46,64.69,65.0,2001742,TSN
2017-02-15,65.01,65.43,64.81,65.33,2342923,TSN
2017-02-16,65.24,65.36,63.85,64.9,3814992,TSN
2017-02-17,64.71,65.4,64.28,65.26,2850572,TSN
2017-02-21,65.37,65.87,63.16,63.31,6414478,TSN
2017-02-22,63.35,64.01,62.64,63.22,4538115,TSN
2017-02-23,63.26,63.59,62.49,62.82,2389492,TSN
2017-02-24,62.44,63.25,62.12,62.68,2895588,TSN
2017-02-27,62.63,62.82,62.02,62.36,2888637,TSN
2017-02-28,62.2,62.9297,62.16,62.56,2875241,TSN
2017-03-01,62.63,64.32,62.6,64.2,3967027,TSN
2017-03-02,64.36,64.36,63.03,63.1,2810005,TSN
2017-03-03,63.08,63.64,62.71,63.6,2265389,TSN
2017-03-06,61.7,62.3,61.01,61.99,4862001,TSN
2017-03-07,61.84,62.56,61.76,61.89,3232609,TSN
2017-03-08,62.02,62.8,61.7,61.92,2702435,TSN
2017-03-09,62.14,62.39,61.94,62.29,1495896,TSN
2017-03-10,62.39,63.66,62.39,63.55,2478460,TSN
2017-03-13,63.69,63.93,63.27,63.6,3591857,TSN
2017-03-14,63.61,63.73,62.25,62.67,2060754,TSN
2017-03-15,62.89,63.46,62.31,63.1,2005224,TSN
2017-03-16,62.9,62.9,61.21,62.0,4253602,TSN
2017-03-17,62.06,62.28,61.62,61.84,4124965,TSN
2017-03-20,61.84,62.475,61.55,62.36,2123989,TSN
2017-03-21,62.29,62.34,61.56,62.26,2470302,TSN
2017-03-22,62.27,62.82,61.69,62.72,1999946,TSN
2017-03-23,62.51,63.05,62.23,62.33,1695877,TSN
2017-03-24,62.51,62.79,62.31,62.57,1664179,TSN
2017-03-27,62.09,62.87,61.73,61.84,1892052,TSN
2017-03-28,61.73,61.98,61.2599,61.82,2129733,TSN
2017-03-29,61.88,62.21,61.611,61.88,1699448,TSN
