date,open,high,low,close,volume,Name
2018-01-26,54.84,55.45,54.59,55.45,4263851,BBT
2018-01-29,55.35,55.845,55.29,55.39,3917158,BBT
2018-01-30,54.91,55.65,54.83,55.03,4390847,BBT
2018-01-31,55.03,55.6401,54.93,55.19,3703133,BBT
2018-02-01,55.03,55.79,55.03,55.7,3413306,BBT
2018-02-02,55.57,55.99,54.94,55.11,4409807,BBT
2018-02-05,54.37,55.035,52.75,52.89,6967924,BBT
2018-02-06,51.72,53.83,51.09,53.71,7401401,BBT
2018-02-07,53.44,54.35,53.3,53.82,4511483,BBT
2013-02-08,15.61,15.65,15.12,15.29,4773498,BBY
2013-02-11,15.24,15.8,15.21,15.71,3858936,BBY
2013-02-12,15.62,15.7,15.28,15.43,4486675,BBY
2013-02-13,15.46,16.2,13.83,15.12,17292243,BBY
2013-02-14,15.05,16.36,15.0,15.71,14399742,BBY
2013-02-15,15.93,16.89,15.92,16.87,18403127,BBY
2013-02-19,17.53,17.76,17.2,17.33,16389663,BBY
2013-02-20,17.66,17.7,16.89,17.25,7947906,BBY
2013-02-21,17.17,17.5,16.9,17.41,8612691,BBY
2013-02-22,17.36,17.41,16.96,17.02,5180735,BBY
2013-02-25,17.06,17.34,16.84,17.0,8513712,BBY
2013-02-26,17.0,17.16,16.2,16.46,10840842,BBY
2013-02-27,16.3,16.64,16.25,16.6,4565576,BBY
2013-02-28,16.95,16.95,15.75,16.41,12782569,BBY
2013-03-01,17.38,17.46,16.12,17.16,32702159,BBY
2013-03-04,17.08,18.13,16.98,17.77,14175759,BBY
2013-03-05,18.01,18.45,17.69,18.4,12122199,BBY
2013-03-06,19.29,19.5,17.79,18.75,26687100,BBY
2013-03-07,18.84,19.33,18.56,19.26,10551567,BBY
2013-03-08,19.43,20.61,19.205,20.17,22783336,BBY
2013-03-11,20.28,20.45,19.99,20.08,20020148,BBY
2013-03-12,20.26,20.6,20.06,20.29,15192275,BBY
2013-03-13,20.34,21.26,20.3,20.96,11650013,BBY
2013-03-14,20.99,21.55,20.92,21.5,9246720,BBY
2013-03-15,21.61,21.8,21.14,21.45,12089573,BBY
2013-03-18,21.22,22.25,21.22,22.13,14980735,BBY
2013-03-19,21.9,22.35,21.76,22.25,11293355,BBY
2013-03-20,22.57,23.46,22.5199,23.07,16460248,BBY
2013-03-21,22.94,23.35,22.36,22.46,15834867,BBY
2013-03-22,22.58,22.98,21.833,22.78,15669142,BBY
2013-03-25,22.9,23.46,22.62,23.2,9792824,BBY
2013-03-26,23.1,23.24,22.27,22.7,9420625,BBY
2013-03-27,22.3,22.73,21.77,22.15,10647705,BBY
2013-03-28,22.18,22.53,22.0,22.15,8861663,BBY
2013-04-01,22.13,22.46,21.64,21.68,6090546,BBY
2013-04-02,21.75,22.2,21.57,21.64,7679190,BBY
2013-04-03,21.73,22.08,21.474,21.65,7599463,BBY
2013-04-04,21.72,25.2999,21.71,25.13,55333936,BBY
2013-04-05,24.85,25.46,24.31,25.45,25415157,BBY
2013-04-08,25.5,26.29,24.7499,25.96,31702484,BBY
2013-04-09,25.66,26.09,25.31,25.74,12262605,BBY
2013-04-10,25.76,25.76,24.4,24.82,14277873,BBY
2013-04-11,24.6,24.9,23.98,24.11,11818553,BBY
2013-04-12,24.07,24.23,23.42,24.09,14925692,BBY
2013-04-15,23.91,24.27,22.55,22.94,11304613,BBY
2013-04-16,23.03,23.73,22.92,23.66,7349352,BBY
2013-04-17,23.4,23.67,23.06,23.38,6153666,BBY
2013-04-18,23.5,23.71,22.78,22.97,6092339,BBY
2013-04-19,23.18,23.58,22.8,23.25,5040486,BBY
2013-04-22,23.14,23.94,22.87,23.68,5292391,BBY
2013-04-23,23.73,24.34,23.62,24.13,6209687,BBY
2013-04-24,24.15,24.38,23.53,23.77,4495140,BBY
