date,open,high,low,close,volume,Name
2013-03-11,51.38,51.78,51.34,51.74,276814,IT
2013-03-12,51.75,51.81,51.553,51.73,214809,IT
2013-03-13,51.68,52.13,51.53,52.12,273397,IT
2013-03-14,52.13,52.4,51.64,52.1,437134,IT
2013-03-15,51.93,52.43,51.9,52.09,750442,IT
2013-03-18,51.94,53.44,51.87,53.21,502723,IT
2013-03-19,53.45,53.49,52.3601,52.96,384520,IT
2013-03-20,53.14,53.95,53.1,53.68,417780,IT
2013-03-21,53.39,53.79,53.16,53.5,407461,IT
2013-03-22,53.76,53.78,53.29,53.56,255040,IT
2013-03-25,53.72,53.76,52.7,53.1,320826,IT
2013-03-26,53.37,53.77,53.06,53.24,228428,IT
2013-03-27,52.94,53.33,52.39,53.25,316186,IT
2013-03-28,53.12,54.52,53.12,54.41,292036,IT
2013-04-01,54.57,54.785,54.1,54.48,332540,IT
2013-04-02,54.75,54.95,54.4,54.63,395879,IT
2013-04-03,54.82,54.845,53.97,54.31,375989,IT
2013-04-04,54.25,54.25,53.38,53.81,279485,IT
2013-04-05,53.4,53.71,53.01,53.65,193863,IT
2013-04-08,53.8,54.44,53.78,54.43,196180,IT
2013-04-09,54.42,54.51,54.0,54.26,314191,IT
2013-04-10,54.95,57.61,54.78,57.37,1018183,IT
2013-04-11,57.53,57.53,57.16,57.39,471218,IT
2013-04-12,57.07,57.59,56.54,57.53,327301,IT
2013-04-15,57.34,57.34,55.56,55.6,378185,IT
2013-04-16,56.09,56.86,55.525,56.84,321400,IT
2013-04-17,56.49,56.62,56.02,56.36,493041,IT
2013-04-18,56.5,56.5,55.49,56.01,400298,IT
2013-04-19,56.21,56.41,55.63,56.33,366743,IT
2013-04-22,56.35,56.79,55.705,56.67,224465,IT
2013-04-23,56.95,57.31,56.16,57.12,729864,IT
2013-04-24,57.0,57.21,56.68,56.85,347930,IT
2013-04-25,57.12,57.4,56.92,57.06,313339,IT
2013-04-26,57.09,57.3,56.65,56.74,238698,IT
2013-04-29,57.02,57.06,56.64,57.0,513401,IT
2013-04-30,56.86,58.6,56.86,57.85,1283028,IT
2013-05-01,57.72,58.39,56.6775,56.8,586672,IT
2013-05-02,56.35,56.35,53.5,55.58,1581572,IT
2013-05-03,56.04,56.86,55.98,56.52,804516,IT
2013-05-06,56.4,56.55,56.04,56.33,353382,IT
2013-05-07,56.35,57.21,56.26,57.16,571533,IT
2013-05-08,57.14,57.69,56.77,57.69,666490,IT
2013-05-09,57.6,57.88,57.34,57.48,340437,IT
2013-05-10,57.47,57.94,57.43,57.83,364615,IT
2013-05-13,57.8,57.8799,56.8,57.07,305293,IT
2013-05-14,57.09,57.89,57.09,57.87,540224,IT
2013-05-15,58.0,58.6,57.905,58.51,656314,IT
2013-05-16,58.69,58.69,57.55,57.57,323289,IT
2013-05-17,57.57,57.81,57.26,57.81,337291,IT
2013-05-20,57.76,57.98,57.48,57.71,669138,IT
2013-05-21,57.79,58.28,57.672,58.19,411070,IT
2013-05-22,58.2,58.2,56.85,56.96,293406,IT
2013-05-23,56.28,56.73,56.19,56.73,323697,IT
2013-05-24,56.46,56.74,56.01,56.71,390215,IT
2013-05-28,57.19,57.57,56.9505,57.37,310271,IT
2013-05-29,57.01,57.38,56.33,57.08,219952,IT
2013-05-30,57.02,57.52,56.88,57.32,141527,IT
2013-05-31,57.14,57.57,56.6,56.61,229080,IT
2013-06-03,56.75,56.75,55.63,56.3,236139,IT
2013-06-04,56.41,56.94,56.09,56.09,301610,IT
2013-06-05,56.08,56.61,55.71,55.73,277707,IT
