date,open,high,low,close,volume,Name
2013-02-11,48.58,48.8,48.16,48.6,2358626,WDC
2013-02-12,48.47,48.7,47.905,48.18,1644351,WDC
2013-02-13,48.36,48.9,48.25,48.63,1590441,WDC
2013-02-14,48.56,49.22,48.36,48.81,2032534,WDC
2013-02-15,48.89,49.23,48.04,48.59,2287674,WDC
2013-02-19,48.59,49.24,48.41,48.57,2100761,WDC
2013-02-20,48.68,48.71,46.52,46.54,2234411,WDC
2013-02-21,46.44,46.72,45.17,45.74,3186014,WDC
2013-02-22,46.09,46.58,45.56,45.9,1650148,WDC
2013-02-25,46.19,46.35,44.8,44.81,2128835,WDC
2013-02-26,44.99,46.05,44.44,45.87,3207480,WDC
2013-02-27,45.82,47.315,45.36,47.01,2538849,WDC
2013-02-28,46.91,47.735,46.77,47.16,1564885,WDC
2013-03-01,47.0,48.27,46.44,48.18,2663003,WDC
2013-03-04,48.2,48.23,47.24,47.81,2354120,WDC
2013-03-05,48.15,48.59,47.63,48.37,2461062,WDC
2013-03-06,48.63,49.58,48.59,48.83,3130494,WDC
2013-03-07,48.75,48.8,46.75,47.27,4092863,WDC
2013-03-08,47.57,47.82,47.02,47.66,3137990,WDC
2013-03-11,47.41,48.08,47.17,48.01,1781134,WDC
2013-03-12,48.15,50.0,47.59,49.99,3902740,WDC
2013-03-13,50.0,50.85,49.545,50.39,3449053,WDC
2013-03-14,50.43,50.84,50.19,50.715,1936024,WDC
2013-03-15,50.5,51.0,49.81,50.16,2743186,WDC
2013-03-18,49.62,50.22,49.05,49.6,1607514,WDC
2013-03-19,49.63,49.88,48.37,48.86,2432516,WDC
2013-03-20,49.48,49.6,48.89,49.329,2173732,WDC
2013-03-21,49.0,49.05,47.44,48.1,2671582,WDC
2013-03-22,48.39,48.42,47.32,47.93,2007758,WDC
2013-03-25,48.2,48.25,46.95,47.53,1953354,WDC
2013-03-26,47.84,49.97,47.58,48.679,3987134,WDC
2013-03-27,48.72,50.255,48.57,50.14,3257413,WDC
2013-03-28,49.99,50.36,49.44,50.29,2586249,WDC
2013-04-01,50.41,50.9,50.1,50.4,2167820,WDC
2013-04-02,50.55,50.65,49.04,50.07,2438913,WDC
2013-04-03,50.25,51.435,50.18,50.6,2920204,WDC
2013-04-04,50.595,50.96,49.89,50.78,1654023,WDC
2013-04-05,50.07,50.07,48.97,49.8,2368793,WDC
2013-04-08,49.75,50.32,49.6,50.23,1667041,WDC
2013-04-09,50.32,51.89,50.32,51.57,2205650,WDC
2013-04-10,51.75,53.75,51.68,53.21,3713662,WDC
2013-04-11,52.37,52.6,51.46,52.39,6565742,WDC
2013-04-12,52.41,52.94,51.91,52.32,1712566,WDC
2013-04-15,52.22,53.67,51.08,51.16,2554257,WDC
2013-04-16,51.68,52.63,51.42,52.03,2287821,WDC
2013-04-17,51.69,52.21,50.18,50.57,2253885,WDC
2013-04-18,50.98,51.07,48.88,49.25,3543645,WDC
2013-04-19,49.04,50.13,48.78,49.93,3180880,WDC
2013-04-22,50.0,50.7925,49.33,50.51,1616205,WDC
2013-04-23,50.95,53.3399,50.76,53.24,3477845,WDC
2013-04-24,53.59,54.53,52.39,52.9,3672438,WDC
2013-04-25,55.07,57.96,52.01,52.6,7535127,WDC
2013-04-26,52.18,54.1,51.79,53.29,3638387,WDC
2013-04-29,53.18,54.97,52.65,54.12,3477695,WDC
2013-04-30,54.18,55.29,54.085,55.28,3617456,WDC
2013-05-01,55.2,55.52,54.5,54.8,3130940,WDC
2013-05-02,55.65,56.79,55.03,56.66,3421104,WDC
2013-05-03,57.3,57.98,56.79,57.15,2997360,WDC
2013-05-06,57.36,58.65,57.17,58.13,2791134,WDC
2013-05-07,57.78,59.28,57.78,58.83,3255601,WDC
2013-05-08,58.55,59.55,58.55,59.01,3766973,WDC
