date,open,high,low,close,volume,Name
2015-06-03,30.0,30.39,29.88,30.07,2147637,PWR
2015-06-04,29.85,29.85,29.07,29.18,2787891,PWR
2015-06-05,29.1,29.52,29.006,29.4,1586192,PWR
2015-06-08,29.38,29.55,28.8,28.83,2729991,PWR
2015-06-09,28.91,29.14,28.81,28.9,1504866,PWR
2015-06-10,29.16,29.515,29.08,29.33,1799550,PWR
2015-06-11,29.35,29.61,29.3,29.45,1175824,PWR
2015-06-12,29.38,29.93,29.15,29.74,1728609,PWR
2015-06-15,29.57,29.57,28.91,29.44,1964463,PWR
2015-06-16,29.44,30.065,29.22,29.92,2676372,PWR
2015-06-17,30.05,30.32,29.63,29.83,2521975,PWR
2015-06-18,29.87,30.17,29.77,29.8,2106257,PWR
2015-06-19,29.74,30.1265,29.7,29.84,3042293,PWR
2015-06-22,30.05,30.45,29.8001,30.41,2311455,PWR
2015-06-23,30.42,30.61,30.1,30.25,1963359,PWR
2015-06-24,30.23,30.35,29.571,29.6,1535158,PWR
2015-06-25,29.63,29.77,29.15,29.19,1598581,PWR
2015-06-26,29.21,29.82,29.0601,29.7,3213021,PWR
2015-06-29,29.35,29.49,28.73,28.83,2266457,PWR
2015-06-30,29.07,29.2,28.7,28.82,1694485,PWR
2015-07-01,29.03,29.1,28.66,28.74,2279760,PWR
2015-07-02,28.83,28.91,28.35,28.55,1853752,PWR
2015-07-06,28.16,28.5799,28.01,28.32,2095443,PWR
2015-07-07,28.3,28.88,27.55,28.79,3302076,PWR
2015-07-08,28.5,28.6948,27.43,27.7,3127683,PWR
2015-07-09,28.12,28.2572,27.87,27.93,2374318,PWR
2015-07-10,28.27,28.2701,27.94,28.09,1775360,PWR
2015-07-13,28.41,28.62,28.35,28.6,1663699,PWR
2015-07-14,28.61,28.98,28.49,28.9,1496029,PWR
2015-07-15,28.78,28.8699,28.24,28.29,2188363,PWR
2015-07-16,28.52,28.63,28.33,28.51,1528120,PWR
2015-07-17,28.51,28.62,28.07,28.19,1497253,PWR
2015-07-20,28.2,28.24,27.75,28.15,2650915,PWR
2015-07-21,28.14,28.3,27.94,28.11,3225979,PWR
2015-07-22,27.94,28.155,27.71,27.77,2526109,PWR
2015-07-23,27.85,28.01,27.4,27.46,1930937,PWR
2015-07-24,27.48,27.52,26.84,27.0,1640690,PWR
2015-07-27,26.8,26.97,26.503,26.63,2208910,PWR
2015-07-28,26.81,27.3574,26.8,27.21,2072523,PWR
2015-07-29,27.22,27.93,27.21,27.79,1525079,PWR
2015-07-30,27.73,27.88,27.47,27.78,1224194,PWR
2015-07-31,27.79,27.79,27.43,27.62,1774080,PWR
2015-08-03,27.54,27.86,27.2375,27.42,1658781,PWR
2015-08-04,27.46,27.63,27.19,27.33,2286222,PWR
2015-08-05,25.27,25.75,23.01,23.11,13492066,PWR
2015-08-06,23.15,23.77,22.675,23.34,6587656,PWR
2015-08-07,23.19,23.775,23.15,23.64,4275752,PWR
2015-08-10,23.84,24.725,23.8,24.48,4259955,PWR
2015-08-11,24.16,24.505,24.07,24.45,3676734,PWR
2015-08-12,24.2,25.05,24.18,24.94,3929169,PWR
2015-08-13,24.84,24.89,24.14,24.19,4153222,PWR
2015-08-14,24.18,24.71,24.165,24.53,2558189,PWR
2015-08-17,24.36,24.52,24.12,24.46,2927889,PWR
2015-08-18,24.38,24.5967,24.34,24.49,2330914,PWR
2015-08-19,24.35,24.53,24.14,24.18,3268416,PWR
2015-08-20,24.01,24.175,23.65,23.66,2873609,PWR
2015-08-21,23.44,23.72,23.055,23.06,3865067,PWR
2015-08-24,21.39,22.94,21.35,21.97,5594167,PWR
2015-08-25,22.71,22.97,21.81,21.83,4348198,PWR
2015-08-26,22.36,22.49,21.9,22.41,4251360,PWR
2015-08-27,22.81,23.83,22.68,23.65,3729902,PWR
