date,open,high,low,close,volume,Name
2013-12-10,155.18,155.9,154.125,154.7,1107593,PSA
2013-12-11,153.61,153.64,150.47,150.55,1189289,PSA
2013-12-12,150.33,151.125,149.67,149.71,835197,PSA
2013-12-13,150.09,152.07,149.38,149.54,749682,PSA
2013-12-16,150.64,151.59,149.48,151.01,917212,PSA
2013-12-17,149.84,150.29,148.25,149.52,870392,PSA
2013-12-18,149.31,152.4,147.14,152.15,1036306,PSA
2013-12-19,151.47,151.63,150.365,151.16,652608,PSA
2013-12-20,151.16,151.92,151.0,151.82,806021,PSA
2013-12-23,152.33,153.31,151.4,151.55,620662,PSA
2013-12-24,151.47,151.74,151.0,151.6,291508,PSA
2013-12-26,151.7,152.44,150.74,151.15,311120,PSA
2013-12-27,151.64,152.26,150.54,151.12,361809,PSA
2013-12-30,151.37,152.67,150.91,151.57,403500,PSA
2013-12-31,151.74,151.94,150.08,150.52,794422,PSA
2014-01-02,150.49,150.49,148.04,148.95,665493,PSA
2014-01-03,149.12,150.71,148.34,150.11,517915,PSA
2014-01-06,150.7,151.0,149.11,150.03,398122,PSA
2014-01-07,150.03,151.49,149.55,149.86,633078,PSA
2014-01-08,150.02,150.66,148.75,150.13,655947,PSA
2014-01-09,151.49,153.11,150.31,153.05,978827,PSA
2014-01-10,153.04,154.6,153.04,154.26,644426,PSA
2014-01-13,153.52,155.1,153.52,153.96,594749,PSA
2014-01-14,155.22,156.71,154.215,155.73,713503,PSA
2014-01-15,155.67,156.1,154.67,155.04,854866,PSA
2014-01-16,155.19,156.26,155.05,156.01,487639,PSA
2014-01-17,156.23,156.34,154.78,154.97,541441,PSA
2014-01-21,155.89,157.41,154.51,155.03,843945,PSA
2014-01-22,155.1,156.33,154.03,155.32,649298,PSA
2014-01-23,154.28,155.36,153.61,154.46,640510,PSA
2014-01-24,153.99,153.99,152.15,152.42,666713,PSA
2014-01-27,152.58,153.63,151.842,152.63,693233,PSA
2014-01-28,153.09,155.23,153.09,154.73,753993,PSA
2014-01-29,153.29,155.36,153.01,154.51,714959,PSA
2014-01-30,155.33,157.9,155.33,156.81,638732,PSA
2014-01-31,155.52,158.73,155.09,157.59,984345,PSA
2014-02-03,157.35,157.41,155.0,155.86,802507,PSA
2014-02-04,156.63,158.81,155.61,158.57,981412,PSA
2014-02-05,158.09,158.77,157.24,157.9,745127,PSA
2014-02-06,157.89,158.515,157.26,158.41,848522,PSA
2014-02-07,158.83,160.35,158.12,160.25,876309,PSA
2014-02-10,160.2,162.36,159.7,162.05,734337,PSA
2014-02-11,161.62,164.81,161.25,163.38,733241,PSA
2014-02-12,163.67,163.68,162.002,163.51,543239,PSA
2014-02-13,162.9,165.19,162.29,164.52,614665,PSA
2014-02-14,164.68,166.1,164.07,165.75,464953,PSA
2014-02-18,165.41,167.03,164.82,166.91,711457,PSA
2014-02-19,166.87,167.87,166.03,166.45,642718,PSA
2014-02-20,166.72,167.73,165.61,166.71,686115,PSA
2014-02-21,166.54,167.49,164.52,166.44,1213055,PSA
2014-02-24,166.57,167.82,166.57,166.7,868837,PSA
2014-02-25,166.75,168.74,166.6,167.66,776008,PSA
2014-02-26,166.44,168.68,165.85,167.11,929244,PSA
2014-02-27,167.24,168.43,165.79,166.54,680124,PSA
2014-02-28,166.73,169.6,166.73,169.0,1315870,PSA
2014-03-03,168.2,168.98,166.97,168.69,759816,PSA
2014-03-04,168.69,171.05,168.69,170.89,617727,PSA
2014-03-05,170.75,172.11,169.995,171.17,733249,PSA
2014-03-06,171.09,171.415,169.196,169.33,751566,PSA
2014-03-07,168.82,168.82,166.66,167.55,818689,PSA
2014-03-10,167.58,167.828,166.064,167.03,665491,PSA
