date,open,high,low,close,volume,Name
2017-06-29,32.29,32.39,30.64,31.47,53948379,MU
2017-06-30,32.12,32.15,29.7089,29.86,73308042,MU
2017-07-03,30.09,30.28,28.56,29.14,36830403,MU
2017-07-05,29.55,30.56,29.55,30.51,40444551,MU
2017-07-06,29.94,30.48,29.92,30.1,27143769,MU
2017-07-07,30.22,30.5,29.98,30.2,22023123,MU
2017-07-10,30.16,30.59,29.75,30.5,24907897,MU
2017-07-11,30.55,31.39,30.51,31.37,28530452,MU
2017-07-12,31.77,31.78,31.155,31.45,22258626,MU
2017-07-13,31.55,31.85,30.84,31.13,23772962,MU
2017-07-14,31.35,31.95,31.26,31.79,28887561,MU
2017-07-17,31.67,31.86,31.44,31.72,22320462,MU
2017-07-18,31.64,31.91,31.4,31.9,14044969,MU
2017-07-19,32.05,32.35,31.65,31.82,19984126,MU
2017-07-20,31.93,32.02,31.42,32.0,23179334,MU
2017-07-21,31.9,32.1,31.62,32.01,21146582,MU
2017-07-24,32.0,32.01,31.5,31.67,17415458,MU
2017-07-25,30.8,30.83,29.65,29.9,51216365,MU
2017-07-26,29.85,30.05,29.68,29.81,26387364,MU
2017-07-27,30.27,31.3,29.665,30.24,38966958,MU
2017-07-28,29.96,29.98,28.96,29.28,31854933,MU
2017-07-31,29.43,29.55,27.87,28.12,41112692,MU
2017-08-01,28.22,28.935,27.83,28.34,28221633,MU
2017-08-02,28.96,29.43,28.22,28.63,27225990,MU
2017-08-03,28.39,28.4,27.61,27.83,30288415,MU
2017-08-04,27.86,28.3,27.27,27.92,23947545,MU
2017-08-07,27.93,28.605,27.8,28.59,16589271,MU
2017-08-08,28.61,29.34,28.61,28.84,21903344,MU
2017-08-09,28.51,28.89,28.36,28.58,14181838,MU
2017-08-10,28.3,28.38,27.43,27.49,26147550,MU
2017-08-11,27.44,28.04,26.85,28.01,23375939,MU
2017-08-14,28.82,29.36,28.72,29.24,25254587,MU
2017-08-15,29.5,29.805,29.14,29.68,23973633,MU
2017-08-16,30.02,30.86,29.9608,30.69,37879476,MU
2017-08-17,30.32,30.5299,29.61,29.62,26152486,MU
2017-08-18,29.96,30.6,29.76,30.38,31178131,MU
2017-08-21,30.53,30.6,29.28,29.56,26247654,MU
2017-08-22,29.85,30.54,29.77,30.45,18821168,MU
2017-08-23,29.97,30.74,29.87,30.45,21200433,MU
2017-08-24,30.55,30.6295,30.11,30.22,18056826,MU
2017-08-25,30.3,30.39,30.05,30.29,13929789,MU
2017-08-28,30.43,31.21,30.42,31.08,22530969,MU
2017-08-29,30.75,31.53,30.7,31.48,23151883,MU
2017-08-30,31.65,31.68,31.38,31.61,17467885,MU
2017-08-31,31.61,32.02,31.48,31.97,25693965,MU
2017-09-01,32.13,32.88,32.13,32.6,26034048,MU
2017-09-05,32.45,32.74,31.65,32.07,28957631,MU
2017-09-06,32.07,32.7,32.06,32.25,29290247,MU
2017-09-07,32.47,32.9,32.4466,32.79,25353310,MU
2017-09-08,32.8,33.02,32.31,32.45,19649272,MU
2017-09-11,32.9,33.44,32.81,33.44,31012081,MU
2017-09-12,33.69,34.54,33.56,34.29,38685769,MU
2017-09-13,34.56,34.8,34.02,34.59,41588059,MU
2017-09-14,34.43,34.85,34.3,34.58,23007009,MU
2017-09-15,34.64,35.0,34.38,34.65,37417250,MU
2017-09-18,35.13,35.8,35.02,35.43,41330122,MU
2017-09-19,35.5,36.1,35.5,35.95,26392185,MU
2017-09-20,36.03,36.6,35.34,35.97,42243016,MU
2017-09-21,35.93,36.25,35.4,35.91,22464924,MU
2017-09-22,35.6,36.22,35.6,36.07,21559760,MU
2017-09-25,36.04,36.15,34.54,34.87,35607218,MU
