date,open,high,low,close,volume,Name
2016-08-22,798.51,799.3,794.33,796.95,853365,GOOGL
2016-08-23,800.48,801.0,795.99,796.59,917513,GOOGL
2016-08-24,796.86,798.46,790.76,793.6,1284437,GOOGL
2016-08-25,792.0,794.72,787.23,791.3,1202680,GOOGL
2016-08-26,792.49,799.4,789.4069,793.22,1248881,GOOGL
2016-08-29,793.05,798.52,790.32,795.82,773698,GOOGL
2016-08-30,792.88,798.0,789.47,791.92,1167413,GOOGL
2016-08-31,789.6,791.57,787.2,789.85,1071420,GOOGL
2016-09-01,791.98,792.89,786.33,791.4,1303460,GOOGL
2016-09-02,795.27,797.1,793.26,796.87,1349896,GOOGL
2016-09-06,798.39,810.89,795.43,808.02,1989537,GOOGL
2016-09-07,807.93,810.6,803.72,807.99,1145724,GOOGL
2016-09-08,805.22,808.42,801.0101,802.84,1177660,GOOGL
2016-09-09,798.77,801.75,788.05,788.48,1887633,GOOGL
2016-09-12,784.52,800.17,783.5,798.82,1863737,GOOGL
2016-09-13,794.01,795.79,784.33,788.72,1809044,GOOGL
2016-09-14,787.53,796.33,787.53,790.46,1313912,GOOGL
2016-09-15,790.01,803.645,788.66,801.23,1566360,GOOGL
2016-09-16,799.02,799.02,793.62,797.97,2130571,GOOGL
2016-09-19,801.11,803.99,793.56,795.39,1149522,GOOGL
2016-09-20,800.0,802.75,798.26,799.78,1050041,GOOGL
2016-09-21,801.26,805.91,796.03,805.03,1348476,GOOGL
2016-09-22,810.0,819.06,807.71,815.95,1759290,GOOGL
2016-09-23,815.14,817.0,812.73,814.96,1411673,GOOGL
2016-09-26,809.82,810.08,800.45,802.65,1472732,GOOGL
2016-09-27,801.83,813.49,801.83,810.73,1367271,GOOGL
2016-09-28,804.08,810.25,802.7803,810.06,1470280,GOOGL
2016-09-29,807.23,813.91,800.855,802.64,1349974,GOOGL
2016-09-30,803.6,808.09,801.5,804.06,1660201,GOOGL
2016-10-03,802.55,803.54,796.23,800.38,1489212,GOOGL
2016-10-04,805.0,806.5,799.67,802.79,1258706,GOOGL
2016-10-05,806.0,808.5,800.71,801.23,1213820,GOOGL
2016-10-06,804.08,806.945,800.51,803.08,1099909,GOOGL
2016-10-07,805.93,805.94,796.82,800.71,1163899,GOOGL
2016-10-10,803.93,817.38,802.24,814.17,1496115,GOOGL
2016-10-11,814.17,819.86,807.37,809.57,1721575,GOOGL
2016-10-12,811.96,814.5,808.5545,811.77,907876,GOOGL
2016-10-13,806.07,806.56,798.62,804.08,1368981,GOOGL
2016-10-14,807.45,810.09,802.32,804.6,1111934,GOOGL
2016-10-17,805.99,813.49,803.83,806.84,1056367,GOOGL
2016-10-18,814.21,828.81,813.33,821.49,2289265,GOOGL
2016-10-19,824.52,829.81,823.205,827.09,1500142,GOOGL
2016-10-20,827.56,828.465,820.55,821.63,1393870,GOOGL
2016-10-21,820.0,824.29,818.31,824.06,1615814,GOOGL
2016-10-24,830.09,837.94,829.04,835.74,1447616,GOOGL
2016-10-25,838.5,838.5,825.3005,828.55,1890712,GOOGL
2016-10-26,827.12,827.71,816.35,822.1,1794868,GOOGL
2016-10-27,823.01,826.58,814.61,817.35,2973486,GOOGL
2016-10-28,829.94,839.0,817.0,819.56,4354884,GOOGL
2016-10-31,822.43,822.63,808.0,809.9,2242679,GOOGL
2016-11-01,810.87,813.96,798.26,805.48,2355890,GOOGL
2016-11-02,806.76,806.76,785.0,788.42,2350736,GOOGL
2016-11-03,784.5,790.0,778.63,782.19,2175216,GOOGL
2016-11-04,771.3,788.48,771.0043,781.1,1970603,GOOGL
2016-11-07,794.95,805.0,792.9,802.03,1992570,GOOGL
2016-11-08,802.03,816.04,799.62,811.98,1769069,GOOGL
2016-11-09,801.83,811.71,792.035,805.59,3098510,GOOGL
2016-11-10,810.0,810.06,768.23,780.29,5909609,GOOGL
2016-11-11,776.81,777.29,765.54,771.75,3592641,GOOGL
2016-11-14,771.76,771.78,743.59,753.22,3688274,GOOGL
2016-11-15,765.47,780.2376,765.22,775.16,2943889,GOOGL
