date,open,high,low,close,volume,Name
2017-07-27,136.9,137.71,135.14,136.87,1257848,INTU
2017-07-28,136.48,137.01,135.4,135.64,979628,INTU
2017-07-31,135.56,137.41,135.51,137.21,1133216,INTU
2017-08-01,137.64,138.71,135.71,137.43,1009964,INTU
2017-08-02,137.49,137.59,135.83,136.53,1238340,INTU
2017-08-03,136.95,137.65,136.25,137.14,879567,INTU
2017-08-04,137.55,137.79,136.69,136.9,675694,INTU
2017-08-07,136.27,137.05,135.94,136.65,866302,INTU
2017-08-08,136.03,137.21,135.81,136.18,747127,INTU
2017-08-09,136.0,136.97,135.26,136.82,761658,INTU
2017-08-10,135.99,136.48,134.8,135.16,928321,INTU
2017-08-11,136.73,137.04,135.09,136.6,747234,INTU
2017-08-14,137.4,139.5825,137.4,138.89,1148906,INTU
2017-08-15,138.4,139.09,135.81,137.47,1547991,INTU
2017-08-16,137.34,138.21,137.07,137.92,1075484,INTU
2017-08-17,137.7,137.88,134.43,134.46,1272753,INTU
2017-08-18,133.95,135.085,133.77,134.11,1306185,INTU
2017-08-21,134.48,136.08,133.98,135.91,1778862,INTU
2017-08-22,136.14,138.35,135.58,138.15,2260866,INTU
2017-08-23,138.25,139.4,133.6,135.52,2557045,INTU
2017-08-24,135.27,135.8,133.71,135.33,1944156,INTU
2017-08-25,135.66,137.79,135.66,137.35,1530029,INTU
2017-08-28,137.29,138.18,136.48,137.9,1471306,INTU
2017-08-29,136.76,138.6,136.75,138.01,1019651,INTU
2017-08-30,137.79,140.14,137.76,139.97,1859200,INTU
2017-08-31,140.07,141.69,139.76,141.45,2337152,INTU
2017-09-01,141.83,142.26,141.06,141.9,1074863,INTU
2017-09-05,141.07,142.45,140.8502,141.54,1370288,INTU
2017-09-06,142.15,142.49,140.74,141.14,1185555,INTU
2017-09-07,140.99,141.76,140.07,141.0,1525680,INTU
2017-09-08,141.17,141.7,140.94,141.56,953284,INTU
2017-09-11,142.43,143.08,141.87,142.64,1096374,INTU
2017-09-12,142.93,143.0,140.53,142.38,1787892,INTU
2017-09-13,141.7,142.26,140.75,142.06,1231688,INTU
2017-09-14,141.34,142.09,140.58,142.08,1264800,INTU
2017-09-15,141.85,142.35,141.11,142.13,1423535,INTU
2017-09-18,142.07,144.06,141.61,143.8,1408407,INTU
2017-09-19,144.3,146.04,143.59,145.34,1740640,INTU
2017-09-20,145.33,145.91,143.995,144.97,1249836,INTU
2017-09-21,145.82,145.9,144.06,144.49,1162929,INTU
2017-09-22,144.07,146.72,144.07,146.32,1310969,INTU
2017-09-25,145.53,145.99,143.76,144.74,1324865,INTU
2017-09-26,145.23,145.61,144.1,144.77,1166329,INTU
2017-09-27,144.2,145.68,143.68,144.36,1567343,INTU
2017-09-28,143.46,144.02,141.6,142.31,1935373,INTU
2017-09-29,142.18,142.92,140.37,142.14,2566365,INTU
2017-10-02,142.26,143.29,141.18,141.74,1583872,INTU
2017-10-03,141.77,142.3,141.31,141.85,1244900,INTU
2017-10-04,141.75,142.89,140.21,142.67,1612168,INTU
2017-10-05,142.99,143.13,142.02,142.86,1068875,INTU
2017-10-06,142.35,144.24,142.04,144.18,992714,INTU
2017-10-09,144.34,144.34,143.41,143.96,786958,INTU
2017-10-10,143.95,144.72,143.46,144.18,778201,INTU
2017-10-11,144.17,144.68,143.18,143.66,1217024,INTU
2017-10-12,143.65,145.93,143.46,145.86,1094502,INTU
2017-10-13,146.81,146.99,145.25,145.65,1030226,INTU
2017-10-16,146.0,146.0,144.64,144.74,743080,INTU
2017-10-17,144.78,145.64,144.525,145.5,1143929,INTU
2017-10-18,145.61,146.46,145.1415,145.77,888208,INTU
2017-10-19,145.4,146.65,145.3775,146.62,874093,INTU
2017-10-20,146.46,148.42,146.46,147.97,1175841,INTU
