date,open,high,low,close,volume,Name
2015-12-28,47.2,47.52,46.6099,46.83,2995638,CBS
2015-12-29,47.12,47.41,46.74,47.29,2523381,CBS
2015-12-30,47.16,47.46,46.72,46.76,1990223,CBS
2015-12-31,46.49,47.52,46.34,47.13,3163592,CBS
2016-01-04,46.33,46.89,46.13,46.65,5456259,CBS
2016-01-05,46.6,46.76,45.945,46.12,4098330,CBS
2016-01-06,45.55,46.87,45.5,46.13,4444282,CBS
2016-01-07,45.34,46.39,44.75,45.34,6308459,CBS
2016-01-08,45.52,47.13,45.52,46.46,6530888,CBS
2016-01-11,46.69,47.07,45.67,46.78,6583682,CBS
2016-01-12,47.04,47.56,46.42,47.02,3884908,CBS
2016-01-13,47.06,47.23,44.91,44.94,5601490,CBS
2016-01-14,45.04,47.33,44.86,46.73,6171006,CBS
2016-01-15,45.56,46.35,45.08,45.88,4856615,CBS
2016-01-19,46.3,46.74,44.92,45.39,4918564,CBS
2016-01-20,44.64,44.7,42.18,44.02,7172355,CBS
2016-01-21,44.02,46.4601,43.86,45.77,7068933,CBS
2016-01-22,46.5,47.3,46.06,46.94,4554393,CBS
2016-01-25,46.65,46.935,45.84,46.29,4575662,CBS
2016-01-26,46.7,47.71,46.43,47.51,3746035,CBS
2016-01-27,47.35,48.41,47.0,47.34,3955245,CBS
2016-01-28,47.76,47.94,45.77,46.29,4273890,CBS
2016-01-29,46.62,47.8,46.48,47.5,3705919,CBS
2016-02-01,47.16,48.23,46.78,47.91,2779080,CBS
2016-02-02,47.36,47.65,46.53,46.63,2999404,CBS
2016-02-03,47.04,48.46,46.66,48.26,5453982,CBS
2016-02-04,49.8,50.3199,47.85,48.41,8107669,CBS
2016-02-05,48.22,48.54,46.05,46.25,6104796,CBS
2016-02-08,45.65,45.78,43.35,44.36,7405947,CBS
2016-02-09,43.3,44.19,42.59,42.65,7335762,CBS
2016-02-10,41.47,43.62,41.36,42.88,7267222,CBS
2016-02-11,42.12,43.925,41.9,43.57,7652879,CBS
2016-02-12,43.61,44.04,42.52,43.18,6762693,CBS
2016-02-16,43.78,45.62,43.54,44.92,6001984,CBS
2016-02-17,45.28,46.76,45.25,46.56,5567458,CBS
2016-02-18,46.49,46.64,45.41,45.79,4419335,CBS
2016-02-19,45.48,45.87,44.9,45.09,5359652,CBS
2016-02-22,45.47,46.98,45.41,46.87,5144626,CBS
2016-02-23,46.77,47.55,46.37,46.96,4322288,CBS
2016-02-24,46.26,47.7,45.78,47.48,4243821,CBS
2016-02-25,47.95,48.24,47.15,47.64,3584279,CBS
2016-02-26,48.03,48.81,47.75,48.3,3898028,CBS
2016-02-29,48.3,48.82,47.881,48.38,7813529,CBS
2016-03-01,48.67,50.28,48.55,50.25,6543690,CBS
2016-03-02,49.9,50.41,49.42,50.15,3757463,CBS
2016-03-03,50.25,51.65,50.19,51.48,5959045,CBS
2016-03-04,51.43,51.73,51.01,51.4,4298466,CBS
2016-03-07,51.0,52.02,50.89,52.0,4103566,CBS
2016-03-08,51.56,52.02,50.965,51.18,4530287,CBS
2016-03-09,52.73,53.1,51.59,52.1,7024906,CBS
2016-03-10,52.25,52.3,50.99,51.78,3730435,CBS
2016-03-11,52.11,53.16,52.08,53.12,4393947,CBS
2016-03-14,52.69,53.86,52.675,53.3,5128570,CBS
2016-03-15,52.73,53.19,51.83,52.59,6543771,CBS
2016-03-16,52.91,54.98,52.91,54.44,8553340,CBS
2016-03-17,54.39,54.75,54.01,54.25,4781493,CBS
2016-03-18,54.49,54.78,54.045,54.71,5924460,CBS
2016-03-21,54.62,54.77,53.425,54.02,4512849,CBS
2016-03-22,53.76,54.29,53.3,53.86,2903506,CBS
2016-03-23,53.85,53.94,53.28,53.5,2674054,CBS
2016-03-24,53.0,54.175,52.7464,54.06,3003688,CBS
