date,open,high,low,close,volume,Name
2016-01-08,39.94,40.18,39.75,39.8,4311077,SYY
2016-01-11,39.86,40.33,39.805,40.12,4573423,SYY
2016-01-12,40.31,40.71,40.2111,40.7,4563971,SYY
2016-01-13,40.7,40.87,40.0,40.04,4812942,SYY
2016-01-14,40.17,40.41,39.83,40.13,5017581,SYY
2016-01-15,39.3,39.97,39.17,39.86,6213568,SYY
2016-01-19,40.14,40.31,39.57,39.96,4386193,SYY
2016-01-20,39.57,40.0,38.835,39.66,4772857,SYY
2016-01-21,39.8,39.87,38.955,39.4,6134229,SYY
2016-01-22,39.77,39.77,39.33,39.59,4371974,SYY
2016-01-25,39.61,39.64,38.97,39.1,6492612,SYY
2016-01-26,39.17,39.61,39.05,39.25,3829792,SYY
2016-01-27,39.31,39.6,39.07,39.31,3412057,SYY
2016-01-28,39.43,39.7601,39.13,39.5,4968618,SYY
2016-01-29,39.57,39.96,39.41,39.81,6410099,SYY
2016-02-01,41.75,43.35,41.4,43.15,19429139,SYY
2016-02-02,42.52,43.24,42.35,42.79,13275917,SYY
2016-02-03,43.31,43.56,42.74,43.23,9385433,SYY
2016-02-04,43.16,43.735,43.0,43.44,6663143,SYY
2016-02-05,43.88,43.97,42.945,43.07,7310509,SYY
2016-02-08,42.75,43.21,42.56,43.12,6192917,SYY
2016-02-09,42.78,43.15,42.56,42.61,6732291,SYY
2016-02-10,42.95,43.38,42.61,42.71,6945581,SYY
2016-02-11,42.47,42.82,42.28,42.61,4739054,SYY
2016-02-12,42.77,43.325,42.57,43.21,4838574,SYY
2016-02-16,43.28,43.942,43.205,43.76,5512601,SYY
2016-02-17,43.93,44.53,43.66,44.38,4533408,SYY
2016-02-18,44.4,44.54,44.075,44.52,4169641,SYY
2016-02-19,44.36,45.11,44.34,44.99,5328942,SYY
2016-02-22,44.55,44.88,42.05,42.79,16023124,SYY
2016-02-23,42.85,43.15,42.48,42.9,5375430,SYY
2016-02-24,42.77,43.15,42.5,43.1,3690275,SYY
2016-02-25,43.11,43.71,43.0,43.56,3631114,SYY
2016-02-26,43.55,43.74,42.765,43.26,3888106,SYY
2016-02-29,43.35,44.32,43.09,44.13,6310051,SYY
2016-03-01,44.59,44.79,44.36,44.57,4581625,SYY
2016-03-02,44.43,45.07,44.26,45.03,3551249,SYY
2016-03-03,44.8,45.045,44.64,45.0,2667267,SYY
2016-03-04,44.81,45.335,44.72,45.02,2653011,SYY
2016-03-07,44.81,45.175,44.69,45.09,2504779,SYY
2016-03-08,45.04,45.39,44.77,44.87,3167376,SYY
2016-03-09,44.87,45.42,44.785,45.04,3558582,SYY
2016-03-10,45.27,45.61,44.71,45.1,6682678,SYY
2016-03-11,45.55,46.165,45.43,45.84,4269897,SYY
2016-03-14,45.63,45.93,45.53,45.8,3880627,SYY
2016-03-15,45.6,46.16,45.51,45.87,3683789,SYY
2016-03-16,45.79,46.17,45.58,46.04,2901461,SYY
2016-03-17,46.08,46.47,45.87,46.11,3562971,SYY
2016-03-18,46.13,46.66,46.01,46.63,9478229,SYY
2016-03-21,46.41,46.69,46.28,46.35,3504826,SYY
2016-03-22,46.25,46.65,46.16,46.34,3959301,SYY
2016-03-23,46.17,46.59,46.09,46.35,2954703,SYY
2016-03-24,46.24,46.4199,46.1,46.24,4348041,SYY
2016-03-28,46.26,46.47,46.14,46.24,2512665,SYY
2016-03-29,46.25,46.575,46.03,46.47,3694503,SYY
2016-03-30,46.18,46.78,46.1,46.63,2940102,SYY
2016-03-31,46.62,46.9,46.52,46.73,3243856,SYY
2016-04-01,46.57,47.15,46.42,47.08,4027068,SYY
2016-04-04,47.05,47.15,46.705,46.99,2334582,SYY
2016-04-05,46.92,47.15,46.53,46.7,3600316,SYY
2016-04-06,46.79,47.08,46.53,46.98,3200948,SYY
