date,open,high,low,close,volume,Name
2018-01-17,61.6,61.96,61.17,61.71,3045456,EIX
2018-01-18,61.67,62.64,61.59,61.92,3358988,EIX
2018-01-19,61.87,62.59,61.44,62.12,3222289,EIX
2018-01-22,62.35,62.58,61.8,62.14,2595179,EIX
2018-01-23,62.17,62.75,61.84,62.04,2948751,EIX
2018-01-24,62.12,62.13,61.52,61.7,3296099,EIX
2018-01-25,61.7,62.48,61.63,62.41,2682837,EIX
2018-01-26,62.74,62.84,61.58,62.46,2638257,EIX
2018-01-29,62.17,63.49,61.9,62.41,3377356,EIX
2018-01-30,62.4,62.98,62.2,62.5,2668036,EIX
2018-01-31,62.52,62.86,61.28,62.53,8259686,EIX
2018-02-01,62.45,67.56,61.5301,61.74,8274442,EIX
2018-02-02,61.46,61.95,61.16,61.6,4418230,EIX
2018-02-05,61.44,61.96,60.33,60.51,5521031,EIX
2018-02-06,59.91,60.81,58.76,60.36,4053804,EIX
2018-02-07,60.14,60.97,59.55,59.69,3077462,EIX
2013-02-08,63.11,63.51,62.44,62.75,1399907,EL
2013-02-11,62.4,62.4,61.48,61.78,2458549,EL
2013-02-12,61.97,62.78,61.7,62.67,1725537,EL
2013-02-13,62.68,63.435,62.65,63.3,1490072,EL
2013-02-14,63.25,63.78,62.84,63.54,1208225,EL
2013-02-15,63.43,64.1,62.99,63.11,2661426,EL
2013-02-19,63.1,63.62,62.5,63.6,2074210,EL
2013-02-20,63.9,64.29,63.65,63.71,1917819,EL
2013-02-21,63.31,63.86,62.57,63.03,1660119,EL
2013-02-22,63.26,63.62,62.66,63.31,1561570,EL
2013-02-25,63.64,63.64,61.73,61.78,1410824,EL
2013-02-26,61.71,62.468,61.3,62.33,1933467,EL
2013-02-27,62.12,64.04,62.09,63.93,1763133,EL
2013-02-28,63.66,64.6,63.61,64.1,1850973,EL
2013-03-01,63.68,64.48,63.17,64.47,1319790,EL
2013-03-04,64.44,64.89,64.09,64.89,1412239,EL
2013-03-05,65.0,66.51,64.97,65.85,2299253,EL
2013-03-06,65.89,66.17,65.68,65.92,1343514,EL
2013-03-07,65.82,66.23,65.68,65.9,1861704,EL
2013-03-08,66.0,66.0,64.9,65.7,1622196,EL
2013-03-11,65.48,65.96,65.29,65.75,578516,EL
2013-03-12,65.94,66.19,65.76,65.83,1538818,EL
2013-03-13,65.81,65.89,64.58,65.02,1407009,EL
2013-03-14,65.26,65.34,64.88,65.02,1031362,EL
2013-03-15,64.74,64.76,63.28,63.34,2207444,EL
2013-03-18,62.72,62.972,62.255,62.44,1908387,EL
2013-03-19,62.82,63.0,61.87,62.25,2333812,EL
2013-03-20,62.76,63.91,62.76,63.75,2397032,EL
2013-03-21,63.43,63.64,63.025,63.04,1365131,EL
2013-03-22,63.14,64.14,63.11,63.89,1167403,EL
2013-03-25,64.01,64.42,63.08,63.28,852369,EL
2013-03-26,63.67,64.01,63.31,63.99,870337,EL
2013-03-27,63.61,63.64,63.12,63.54,968927,EL
2013-03-28,63.79,64.11,63.125,64.03,1361637,EL
2013-04-01,63.98,64.13,63.32,63.66,769742,EL
2013-04-02,64.11,65.5999,64.05,65.28,1337124,EL
2013-04-03,65.32,65.41,64.49,64.88,1585842,EL
2013-04-04,64.92,65.16,64.37,64.53,1593376,EL
2013-04-05,63.64,63.8,62.29,63.17,2178329,EL
2013-04-08,63.07,64.39,63.04,64.39,1189172,EL
2013-04-09,64.53,64.6,63.69,64.48,1241465,EL
2013-04-10,64.56,65.87,64.45,65.49,1254480,EL
2013-04-11,65.57,67.78,65.4,67.56,2414767,EL
2013-04-12,67.27,68.26,66.901,68.24,1835254,EL
2013-04-15,67.89,68.08,67.04,67.4,2913114,EL
