date,open,high,low,close,volume,Name
2013-02-26,61.64,61.96,60.89,61.15,896602,SNI
2013-02-27,61.23,62.71,60.92,62.55,875971,SNI
2013-02-28,62.71,63.41,62.71,63.05,670941,SNI
2013-03-01,62.9,64.33,62.72,64.3,671424,SNI
2013-03-04,64.15,64.84,64.12,64.76,616578,SNI
2013-03-05,65.0,65.71,64.36,64.54,1166602,SNI
2013-03-06,64.63,65.35,63.85,63.9,905254,SNI
2013-03-07,64.07,64.38,63.64,63.88,914342,SNI
2013-03-08,64.26,64.5,63.57,64.34,942233,SNI
2013-03-11,64.26,64.645,64.23,64.32,414351,SNI
2013-03-12,64.27,64.62,63.99,64.21,447411,SNI
2013-03-13,64.25,64.74,64.18,64.34,737068,SNI
2013-03-14,64.55,64.88,64.39,64.52,539924,SNI
2013-03-15,64.24,64.83,63.96,64.3,681283,SNI
2013-03-18,63.46,65.0,63.46,64.99,697513,SNI
2013-03-19,65.03,65.32,64.61,64.99,863516,SNI
2013-03-20,65.19,65.81,64.96,65.38,594197,SNI
2013-03-21,64.99,65.57,64.29,64.52,493565,SNI
2013-03-22,64.68,65.01,64.52,64.81,378134,SNI
2013-03-25,65.09,65.1,63.73,63.99,593654,SNI
2013-03-26,64.27,64.68,63.9301,64.13,506809,SNI
2013-03-27,63.91,64.19,63.5,63.97,675090,SNI
2013-03-28,64.0,64.4,63.83,64.34,584740,SNI
2013-04-01,64.42,64.77,63.53,63.8,496646,SNI
2013-04-02,64.1,64.432,63.83,63.97,531130,SNI
2013-04-03,64.16,64.88,63.8,64.17,566030,SNI
2013-04-04,64.26,65.31,64.16,65.27,639361,SNI
2013-04-05,64.81,66.41,64.18,65.95,846833,SNI
2013-04-08,66.28,67.26,66.06,66.89,896313,SNI
2013-04-09,67.0,67.05,66.15,66.29,626248,SNI
2013-04-10,66.3,67.38,66.21,67.26,602455,SNI
2013-04-11,67.38,68.53,67.29,68.28,817869,SNI
2013-04-12,68.25,68.99,67.88,68.1,949220,SNI
2013-04-15,68.0,68.11,66.3,66.3,545134,SNI
2013-04-16,66.78,67.8099,66.78,67.56,491110,SNI
2013-04-17,66.83,67.68,66.52,67.39,723236,SNI
2013-04-18,67.41,67.46,66.22,66.54,463927,SNI
2013-04-19,66.65,67.43,66.65,67.04,568493,SNI
2013-04-22,67.15,67.83,66.68,67.49,453683,SNI
2013-04-23,67.78,67.78,66.7,67.43,808500,SNI
2013-04-24,67.5,67.98,66.5,66.59,707768,SNI
2013-04-25,66.85,67.11,66.09,66.33,1094880,SNI
2013-04-26,66.45,67.29,66.0223,66.66,647866,SNI
2013-04-29,66.86,67.34,66.33,66.39,487178,SNI
2013-04-30,66.39,66.88,66.2,66.58,584065,SNI
2013-05-01,66.37,68.01,66.08,66.8,931441,SNI
2013-05-02,67.25,71.05,67.01,68.73,1889390,SNI
2013-05-03,69.29,69.995,68.98,69.31,1195209,SNI
2013-05-06,69.25,69.5,68.5,68.78,1229144,SNI
2013-05-07,68.77,69.15,68.61,68.91,1082615,SNI
2013-05-08,68.83,69.15,68.67,69.1,649916,SNI
2013-05-09,69.01,69.24,68.65,68.91,485780,SNI
2013-05-10,68.94,69.24,68.57,68.99,472568,SNI
2013-05-13,68.9,68.92,68.15,68.49,619088,SNI
2013-05-14,68.62,68.76,68.09,68.14,708414,SNI
2013-05-15,68.14,68.74,68.07,68.64,707006,SNI
2013-05-16,68.45,69.03,68.16,68.32,569911,SNI
2013-05-17,68.52,69.1,68.03,69.05,838715,SNI
2013-05-20,68.85,69.12,68.22,68.29,646700,SNI
2013-05-21,68.19,69.15,68.085,68.86,665313,SNI
2013-05-22,68.8,69.38,67.57,67.88,486383,SNI
