date,open,high,low,close,volume,Name
2013-02-26,47.3,47.64,46.46,47.5,1806306,MCO
2013-02-27,47.35,48.49,47.35,48.4,2041561,MCO
2013-02-28,48.29,48.51,47.88,48.06,2771068,MCO
2013-03-01,47.79,48.96,47.74,48.93,2146087,MCO
2013-03-04,48.49,49.38,48.37,49.37,2411391,MCO
2013-03-05,49.5,50.35,49.5,50.06,3667730,MCO
2013-03-06,50.23,50.89,50.13,50.32,2512291,MCO
2013-03-07,50.37,50.56,50.07,50.23,1340291,MCO
2013-03-08,50.5,51.04,49.6,50.95,1747226,MCO
2013-03-11,50.78,51.44,50.345,51.32,1347216,MCO
2013-03-12,51.18,51.5,50.8,51.07,1414785,MCO
2013-03-13,51.01,51.77,50.72,51.7,1215109,MCO
2013-03-14,51.74,51.97,51.4,51.5,931292,MCO
2013-03-15,51.35,51.92,51.3,51.61,1471390,MCO
2013-03-18,51.03,51.705,50.65,51.42,703304,MCO
2013-03-19,51.44,51.666,50.35,50.67,1105118,MCO
2013-03-20,51.16,51.99,51.1,51.87,1604241,MCO
2013-03-21,51.38,51.92,51.04,51.32,811115,MCO
2013-03-22,51.45,52.2,51.105,51.32,1200122,MCO
2013-03-25,51.67,52.45,51.5001,52.21,963260,MCO
2013-03-26,52.27,52.38,51.22,52.08,1181662,MCO
2013-03-27,51.7,52.59,51.22,52.5,1118570,MCO
2013-03-28,52.56,53.37,52.25,53.32,1511774,MCO
2013-04-01,53.11,53.37,52.41,52.77,1533844,MCO
2013-04-02,52.91,53.39,52.44,52.91,943483,MCO
2013-04-03,53.0,53.34,51.78,52.23,1939111,MCO
2013-04-04,52.16,53.3,52.0,52.8,983290,MCO
2013-04-05,51.96,52.48,51.31,52.4,1140122,MCO
2013-04-08,52.44,53.01,51.87,52.99,1086503,MCO
2013-04-09,53.19,53.19,52.28,52.91,784232,MCO
2013-04-10,52.9,54.79,52.7,54.17,1741448,MCO
2013-04-11,54.06,54.89,53.23,54.36,1197819,MCO
2013-04-12,54.13,54.7,53.77,54.4,772781,MCO
2013-04-15,54.24,54.43,53.46,53.46,1471244,MCO
2013-04-16,53.85,54.67,53.694,54.63,1002471,MCO
2013-04-17,54.28,54.88,53.895,54.64,1408190,MCO
2013-04-18,54.72,54.98,53.87,54.23,1203087,MCO
2013-04-19,54.5,54.9,54.01,54.84,1061038,MCO
2013-04-22,54.97,54.98,54.2,54.83,591168,MCO
2013-04-23,55.0,55.24,54.53,55.07,986220,MCO
2013-04-24,55.16,55.56,54.22,54.3,2070160,MCO
2013-04-25,54.41,55.3,54.36,55.05,1120594,MCO
2013-04-26,55.14,55.36,54.77,55.12,1014854,MCO
2013-04-29,57.55,61.26,57.52,59.69,6036730,MCO
2013-04-30,59.83,61.5,59.5,60.85,3604080,MCO
2013-05-01,60.25,61.19,60.0896,60.8,2372572,MCO
2013-05-02,60.47,61.06,60.15,60.55,4352373,MCO
2013-05-03,61.33,62.97,58.09,62.75,3729027,MCO
2013-05-06,62.49,63.77,62.19,63.5,3017460,MCO
2013-05-07,63.5,64.22,63.28,64.12,1572315,MCO
2013-05-08,63.9,65.26,63.04,63.84,2278954,MCO
2013-05-09,63.84,64.36,63.84,64.17,1947214,MCO
2013-05-10,64.18,65.4,64.18,65.4,1375484,MCO
2013-05-13,65.18,65.6299,64.21,65.1,1675498,MCO
2013-05-14,65.19,66.7,65.19,66.68,1379389,MCO
2013-05-15,66.36,68.13,66.24,67.37,1683896,MCO
2013-05-16,67.16,67.599,66.72,66.81,988516,MCO
2013-05-17,66.72,68.01,66.72,67.91,1648934,MCO
2013-05-20,67.91,68.46,67.74,67.95,1194691,MCO
2013-05-21,67.87,69.18,67.837,68.62,1296515,MCO
2013-05-22,68.53,69.6992,66.43,66.98,1956244,MCO
