date,open,high,low,close,volume,Name
2014-12-10,535.9,539.36,527.49,528.04,2316204,GOOGL
2014-12-11,530.01,537.04,529.16,532.11,2073290,GOOGL
2014-12-12,527.44,532.24,521.46,521.51,2371543,GOOGL
2014-12-15,523.76,525.37,515.397,515.84,2621977,GOOGL
2014-12-16,513.6,515.58,497.19,498.16,4349882,GOOGL
2014-12-17,499.86,509.07,499.11,506.45,3639437,GOOGL
2014-12-18,515.99,516.25,506.56,514.62,3876732,GOOGL
2014-12-19,516.99,520.81,508.86,520.04,4872059,GOOGL
2014-12-22,520.61,532.97,520.59,532.3,3319461,GOOGL
2014-12-23,534.51,542.3,533.72,538.77,2877222,GOOGL
2014-12-24,538.82,540.29,535.1,536.93,737848,GOOGL
2014-12-26,536.93,543.25,535.49,541.52,1113464,GOOGL
2014-12-29,540.5,543.93,537.16,537.31,2218632,GOOGL
2014-12-30,534.96,537.84,533.61,535.28,1048631,GOOGL
2014-12-31,537.74,538.4,530.2,530.66,1236445,GOOGL
2015-01-02,532.6,535.8,527.88,529.55,1327870,GOOGL
2015-01-05,527.15,527.9899,517.75,519.46,2059119,GOOGL
2015-01-06,520.5,521.21,505.55,506.64,2731813,GOOGL
2015-01-07,510.95,511.49,503.65,505.15,2345875,GOOGL
2015-01-08,501.51,507.5,495.02,506.91,3662224,GOOGL
2015-01-09,508.18,508.6,498.65,500.72,2100024,GOOGL
2015-01-12,499.24,500.28,490.91,497.06,2856938,GOOGL
2015-01-13,502.57,508.6,497.26,501.8,3050295,GOOGL
2015-01-14,500.42,508.26,498.16,505.93,2639959,GOOGL
2015-01-15,508.89,509.75,502.01,504.01,2556682,GOOGL
2015-01-16,503.15,510.85,503.09,510.455,2482858,GOOGL
2015-01-20,512.77,515.61,509.37,509.94,2343612,GOOGL
2015-01-21,510.84,521.851,509.59,520.39,2317789,GOOGL
2015-01-22,523.0,538.84,521.91,537.3,2803401,GOOGL
2015-01-23,538.03,545.41,535.7508,541.95,2298290,GOOGL
2015-01-26,541.5,541.5,532.07,536.72,1546563,GOOGL
2015-01-27,531.4,532.78,520.8612,521.19,1957440,GOOGL
2015-01-28,525.0,525.69,512.35,512.43,1791077,GOOGL
2015-01-29,512.9,515.19,503.48,513.23,3950857,GOOGL
2015-01-30,519.0,543.1,518.18,537.55,6055445,GOOGL
2015-02-02,534.32,536.5,521.72,532.2,3768861,GOOGL
2015-02-03,529.94,537.45,526.81,533.3,2353096,GOOGL
2015-02-04,533.14,536.746,525.03,526.1,1694832,GOOGL
2015-02-05,527.93,530.69,525.64,529.83,1658751,GOOGL
2015-02-06,531.01,540.215,528.65,533.875,2146922,GOOGL
2015-02-09,531.06,533.88,527.55,529.28,1515687,GOOGL
2015-02-10,532.15,541.0,529.1725,540.16,2371468,GOOGL
2015-02-11,539.73,541.95,536.0,538.0,1915336,GOOGL
2015-02-12,539.66,548.34,537.0,546.01,2429520,GOOGL
2015-02-13,547.51,552.54,546.6,551.16,2369115,GOOGL
2015-02-17,551.16,553.0,543.26,545.01,1958679,GOOGL
2015-02-18,543.82,547.55,539.55,542.65,1558153,GOOGL
2015-02-19,542.47,546.86,540.75,546.45,1541669,GOOGL
2015-02-20,547.58,547.58,538.1,541.8,1911732,GOOGL
2015-02-23,539.0,539.3,532.0,535.0,1645276,GOOGL
2015-02-24,531.55,539.4,531.0,538.65,1421373,GOOGL
2015-02-25,538.44,549.57,538.01,547.33,2041827,GOOGL
2015-02-26,545.74,560.1299,545.09,559.29,2701584,GOOGL
2015-02-27,558.15,569.42,557.03,562.63,3416445,GOOGL
2015-03-02,567.0,575.99,563.15,575.02,2520304,GOOGL
2015-03-03,576.35,580.85,570.5,578.795,2526280,GOOGL
2015-03-04,576.97,581.63,572.52,578.33,1898150,GOOGL
2015-03-05,579.62,583.2,578.23,581.435,1795889,GOOGL
2015-03-06,582.0,582.78,572.06,572.9,1879619,GOOGL
2015-03-09,570.92,575.45,569.05,574.1,1174244,GOOGL
2015-03-10,568.475,569.762,559.82,559.85,2004024,GOOGL
