date,open,high,low,close,volume,Name
2013-03-28,36.56,36.99,36.42,36.94,303180,CBOE
2013-04-01,36.89,36.95,36.34,36.71,317012,CBOE
2013-04-02,36.96,36.97,36.75,36.86,358547,CBOE
2013-04-03,37.0,37.0,35.93,36.13,668340,CBOE
2013-04-04,36.24,36.4405,36.06,36.39,391481,CBOE
2013-04-05,36.09,36.41,35.76,36.41,421920,CBOE
2013-04-08,36.42,36.56,36.08,36.54,203171,CBOE
2013-04-09,36.66,36.67,36.12,36.15,444840,CBOE
2013-04-10,36.38,37.18,36.27,36.925,601354,CBOE
2013-04-11,36.95,37.478,36.92,37.24,436127,CBOE
2013-04-12,37.15,37.23,36.93,36.96,234651,CBOE
2013-04-15,36.91,37.17,36.18,36.19,502683,CBOE
2013-04-16,36.49,36.95,36.23,36.72,478474,CBOE
2013-04-17,36.48,36.48,35.94,36.21,424199,CBOE
2013-04-18,36.34,36.5,35.94,36.15,357444,CBOE
2013-04-19,36.22,36.71,36.22,36.61,344664,CBOE
2013-04-22,36.58,36.61,36.18,36.36,582714,CBOE
2013-04-23,36.4,36.81,36.13,36.45,549862,CBOE
2013-04-24,36.56,36.69,36.3,36.45,362702,CBOE
2013-04-25,36.48,36.75,36.31,36.61,414895,CBOE
2013-04-26,36.57,36.66,36.34,36.53,280627,CBOE
2013-04-29,36.65,37.09,36.48,37.04,426152,CBOE
2013-04-30,36.93,37.55,36.714,37.53,453389,CBOE
2013-05-01,37.48,37.95,37.27,37.3,400977,CBOE
2013-05-02,37.35,37.68,37.1101,37.51,422207,CBOE
2013-05-03,38.0,39.46,37.55,38.75,754442,CBOE
2013-05-06,39.295,39.518,38.77,38.92,686567,CBOE
2013-05-07,39.1,39.26,38.88,39.13,558179,CBOE
2013-05-08,39.22,39.44,38.88,39.21,537701,CBOE
2013-05-09,39.26,39.5,38.98,39.06,284327,CBOE
2013-05-10,39.11,39.46,39.05,39.31,281393,CBOE
2013-05-13,39.38,39.91,39.27,39.65,461845,CBOE
2013-05-14,39.59,39.99,39.545,39.99,441879,CBOE
2013-05-15,39.97,40.25,39.83,40.03,618476,CBOE
2013-05-16,40.04,40.52,39.85,40.27,392829,CBOE
2013-05-17,40.33,40.88,40.18,40.75,530037,CBOE
2013-05-20,40.79,40.96,40.54,40.62,369068,CBOE
2013-05-21,40.65,40.9201,40.58,40.81,265695,CBOE
2013-05-22,40.77,41.0,40.01,40.15,428657,CBOE
2013-05-23,39.94,40.54,39.65,40.54,367372,CBOE
2013-05-24,40.44,40.63,40.01,40.52,298027,CBOE
2013-05-28,40.93,41.0,40.56,40.73,371056,CBOE
2013-05-29,40.56,40.69,40.32,40.56,309201,CBOE
2013-05-30,40.72,40.8999,40.51,40.67,333324,CBOE
2013-05-31,40.7,40.87,40.1,40.14,568666,CBOE
2013-06-03,40.44,40.64,39.75,40.42,503224,CBOE
2013-06-04,40.63,40.7,39.73,39.97,839514,CBOE
2013-06-05,39.95,40.14,39.77,39.93,978047,CBOE
2013-06-06,39.88,40.62,39.88,40.5,498519,CBOE
2013-06-07,40.72,41.34,40.3648,41.2,659945,CBOE
2013-06-10,41.75,42.28,41.4,42.21,856847,CBOE
2013-06-11,41.99,42.62,41.61,41.81,428032,CBOE
2013-06-12,42.0,42.39,41.34,41.49,350528,CBOE
2013-06-13,41.36,42.35,41.0765,42.27,371694,CBOE
2013-06-14,42.41,43.1499,42.3,42.57,538231,CBOE
2013-06-17,42.94,43.18,42.8,43.13,606780,CBOE
2013-06-18,43.15,43.77,43.08,43.37,510622,CBOE
2013-06-19,43.49,43.7,42.94,42.94,416437,CBOE
2013-06-20,42.58,42.98,42.08,42.58,717953,CBOE
2013-06-21,42.69,43.13,41.97,42.61,703651,CBOE
2013-06-24,42.76,44.0,42.58,43.78,859648,CBOE
