date,open,high,low,close,volume,Name
2014-09-11,89.2,90.041,89.06,89.97,4102227,DIS
2014-09-12,90.1,90.2,89.25,89.67,3888474,DIS
2014-09-15,89.74,90.37,89.56,90.08,4909956,DIS
2014-09-16,89.71,90.43,89.46,90.27,4333970,DIS
2014-09-17,90.58,90.77,89.97,90.33,4058070,DIS
2014-09-18,90.31,90.5,89.91,90.34,4343618,DIS
2014-09-19,90.8,91.15,90.39,90.49,13382935,DIS
2014-09-22,90.49,90.61,89.19,89.29,5003007,DIS
2014-09-23,89.12,89.235,88.23,88.31,6155770,DIS
2014-09-24,88.36,89.64,88.24,89.45,5616214,DIS
2014-09-25,89.26,89.6,88.06,88.07,7081657,DIS
2014-09-26,88.15,88.89,87.91,88.74,5796117,DIS
2014-09-29,88.12,89.045,87.36,88.83,5190828,DIS
2014-09-30,88.84,89.54,88.54,89.03,4832868,DIS
2014-10-01,89.08,89.24,87.2,87.49,7512499,DIS
2014-10-02,87.5,87.66,84.65,86.79,11051144,DIS
2014-10-03,88.1,88.9,87.55,88.45,7552890,DIS
2014-10-06,88.79,89.18,88.07,88.56,4051853,DIS
2014-10-07,88.0,88.26,87.04,87.11,6225508,DIS
2014-10-08,87.06,88.15,86.33,88.11,7007965,DIS
2014-10-09,88.03,88.16,85.57,85.71,8727122,DIS
2014-10-10,85.92,87.0,85.4,86.27,12675546,DIS
2014-10-13,85.92,86.39,83.76,83.91,9039814,DIS
2014-10-14,84.75,85.52,83.9,84.14,8607117,DIS
2014-10-15,82.39,83.76,78.54,82.08,21844427,DIS
2014-10-16,79.93,82.47,79.55,81.74,13216697,DIS
2014-10-17,82.68,84.66,82.68,83.83,12386547,DIS
2014-10-20,84.23,85.61,84.145,85.52,8306147,DIS
2014-10-21,86.32,87.68,86.25,87.54,9170356,DIS
2014-10-22,87.94,88.61,86.98,87.1,9314515,DIS
2014-10-23,88.21,88.63,87.76,87.99,7245328,DIS
2014-10-24,87.91,88.655,87.58,88.61,4937482,DIS
2014-10-27,88.47,88.99,88.24,88.45,5644486,DIS
2014-10-28,89.04,89.96,88.9501,89.93,4554351,DIS
2014-10-29,89.84,90.25,88.9501,89.53,5442103,DIS
2014-10-30,89.44,90.54,88.91,90.22,4445329,DIS
2014-10-31,91.51,91.98,90.75,91.38,7472216,DIS
2014-11-03,91.24,91.82,91.0,91.71,5447877,DIS
2014-11-04,91.97,91.98,89.8,90.35,7928517,DIS
2014-11-05,91.6,91.6,89.59,91.0,7020959,DIS
2014-11-06,91.29,92.0,91.15,92.0,9938826,DIS
2014-11-07,89.39,90.02,88.65,90.0,16176328,DIS
2014-11-10,90.24,90.42,88.95,89.78,8155734,DIS
2014-11-11,90.01,90.03,89.13,89.98,5896789,DIS
2014-11-12,89.77,90.12,89.33,89.9,5262460,DIS
2014-11-13,90.1,90.71,90.03,90.49,5098761,DIS
2014-11-14,90.68,90.85,90.38,90.8,4281140,DIS
2014-11-17,90.5,90.78,90.05,90.41,4148400,DIS
2014-11-18,90.33,90.69,90.13,90.28,4466404,DIS
2014-11-19,90.26,90.28,89.185,89.82,7709962,DIS
2014-11-20,89.25,89.46,88.75,88.9,8603976,DIS
2014-11-21,89.69,89.8,88.76,88.96,7383521,DIS
2014-11-24,89.32,90.66,89.32,90.58,6504104,DIS
2014-11-25,90.71,91.92,90.71,91.65,7404151,DIS
2014-11-26,91.96,92.28,91.67,91.92,4607258,DIS
2014-11-28,92.53,92.96,92.23,92.51,3852961,DIS
2014-12-01,92.63,93.14,92.1,92.7,6714729,DIS
2014-12-02,92.65,93.81,92.42,93.47,6664201,DIS
2014-12-03,93.54,93.661,92.5,93.11,5492376,DIS
2014-12-04,93.61,93.63,92.565,93.23,6049063,DIS
2014-12-05,93.69,93.98,93.34,93.76,5226807,DIS
